table,design,n,n_G_R,method,rmse,rmse_mcse,coverage,guard_rate,harm_rate,reps,additional_check
regional_repair,hetero,4000,150.095,reference,0.0794,0.0014,0.035,0.00,,200,global quadratic outcome model
regional_repair,hetero,4000,150.095,regional,0.0207,0.0011,0.950,1.00,,200,adds visible-region interactions
regional_repair,hetero,4000,150.095,guarded,0.0207,0.0011,0.950,1.00,,200,honest regional screen
regional_repair,bump,4000,150.345,reference,0.0394,0.0015,0.640,0.00,,200,global quadratic outcome model
regional_repair,bump,4000,150.345,regional,0.0223,0.0011,0.915,1.00,,200,adds visible-region interactions
regional_repair,bump,4000,150.345,guarded,0.0225,0.0010,0.915,0.99,,200,honest regional screen
regional_repair,reverse,4000,148.615,reference,0.0713,0.0014,0.050,0.00,,200,global quadratic outcome model
regional_repair,reverse,4000,148.615,regional,0.0197,0.0009,0.950,1.00,,200,adds visible-region interactions
regional_repair,reverse,4000,148.615,guarded,0.0197,0.0009,0.950,1.00,,200,honest regional screen
regional_repair,homo,4000,150.780,reference,0.0199,0.0011,0.905,0.00,,200,homogeneous control
regional_repair,homo,4000,150.780,regional,0.0206,0.0011,0.910,1.00,,200,adds unnecessary visible-region interactions
regional_repair,homo,4000,150.780,guarded,0.0200,0.0011,0.915,0.21,,200,honest regional screen
observed_outcome_budget,regional_bump,600,22.2,reference,0.0977,0.0041,,,0.000,200,global quadratic outcome model
observed_outcome_budget,regional_bump,600,22.2,raw_repair,0.0617,0.0036,,,0.275,200,unprotected regional model
observed_outcome_budget,regional_bump,600,22.2,screened,0.0967,0.0041,,,0.035,200,honest regional screen
observed_outcome_budget,regional_bump,1200,45.1,reference,0.0860,0.0028,,,0.000,200,global quadratic outcome model
observed_outcome_budget,regional_bump,1200,45.1,raw_repair,0.0384,0.0018,,,0.155,200,unprotected regional model
observed_outcome_budget,regional_bump,1200,45.1,screened,0.0586,0.0034,,,0.140,200,honest regional screen
observed_outcome_budget,regional_bump,2400,89.1,reference,0.0829,0.0018,,,0.000,200,global quadratic outcome model
observed_outcome_budget,regional_bump,2400,89.1,raw_repair,0.0292,0.0013,,,0.100,200,unprotected regional model
observed_outcome_budget,regional_bump,2400,89.1,screened,0.0361,0.0025,,,0.100,200,honest regional screen
observed_outcome_budget,regional_bump,4800,181.0,reference,0.0775,0.0015,,,0.000,200,global quadratic outcome model
observed_outcome_budget,regional_bump,4800,181.0,raw_repair,0.0212,0.0011,,,0.025,200,unprotected regional model
observed_outcome_budget,regional_bump,4800,181.0,screened,0.0219,0.0012,,,0.025,200,honest regional screen
