n,method,rmse,rmse_mcse,mean_region_observed,harm_rate,harm_rate_se,reps
600,global_target,0.09772198680233685,0.004112339234661451,22.2,0.0,0.0,200
600,guarded_repair,0.09671830592653324,0.004125872388022481,22.2,0.035,0.012995191418367026,200
600,regional_target,0.06166225063045732,0.003634761129518347,22.2,0.275,0.031573327350787724,200
1200,global_target,0.08604138665599925,0.0027693865498192092,45.065,0.0,0.0,200
1200,guarded_repair,0.058617058480335334,0.0034112837256741525,45.065,0.14,0.024535688292770596,200
1200,regional_target,0.03836087908562103,0.0018016105104201189,45.065,0.155,0.02559052559053839,200
2400,global_target,0.08291458255778905,0.0018176301971128462,89.14,0.0,0.0,200
2400,guarded_repair,0.03607988902162385,0.0025061200846796306,89.14,0.1,0.021213203435596427,200
2400,regional_target,0.029187398187614084,0.0013413261107476564,89.14,0.1,0.021213203435596427,200
4800,global_target,0.07754571912625283,0.0014650465320018213,181.025,0.0,0.0,200
4800,guarded_repair,0.021909003750947478,0.0011646234449518283,181.025,0.025,0.011039701082909808,200
4800,regional_target,0.021177966250708207,0.001069402341207034,181.025,0.025,0.011039701082909808,200
