design,method,rmse,rmse_mcse,bias,coverage,coverage_se,guard_rate,guard_rate_se,mean_region_observed,reps
bump,global_target,0.03939690659118787,0.0015159408963776899,0.03134057550703359,0.64,0.03394112549695428,0.0,0.0,150.345,200
bump,guarded_repair,0.02245235171436012,0.0010459362254442734,0.001148830837910565,0.915,0.019719913792915014,0.99,0.007035623639735147,150.345,200
bump,regional_target,0.022322144827253542,0.0010523081852927046,0.0008822911453443382,0.915,0.019719913792915014,1.0,0.0,150.345,200
hetero,global_target,0.07936360151019858,0.0013656918691187076,-0.07686154196339222,0.035,0.012995191418367026,0.0,0.0,150.095,200
hetero,guarded_repair,0.020667015631261353,0.0010583977588245997,-0.0006244688315035743,0.95,0.015411035007422448,1.0,0.0,150.095,200
hetero,regional_target,0.020667015631261353,0.0010583977588245997,-0.0006244688315035743,0.95,0.015411035007422448,1.0,0.0,150.095,200
homo,global_target,0.019893604646335168,0.0010568147633970959,0.00022328514924297354,0.905,0.02073342711661533,0.0,0.0,150.78,200
homo,guarded_repair,0.019959853793203714,0.0010722708816252467,0.00023594899868615335,0.915,0.019719913792915014,0.21,0.028801041647829335,150.78,200
homo,regional_target,0.020608192486529193,0.001142386982400743,0.0004326763381326641,0.91,0.02023610634484806,1.0,0.0,150.78,200
reverse,global_target,0.0713082165972222,0.0013799356888447895,0.06834762209835141,0.05,0.015411035007422441,0.0,0.0,148.615,200
reverse,guarded_repair,0.019705198137297198,0.0008725755824916455,0.00027982826156818435,0.95,0.015411035007422448,1.0,0.0,148.615,200
reverse,regional_target,0.019705198137297198,0.0008725755824916455,0.00027982826156818435,0.95,0.015411035007422448,1.0,0.0,148.615,200
