paired_id,chunk,repair_region_label,design,mar_design,n,epsilon,strength,analysis_region,reference_method,propensity_mode,learner,propensity_learner,repair_mode,region_damp,region_damp_grid,validation_region_weight,validation_loss_se,selector,lepski_c,region_quantile,region_min_observed,region_kappa_floor,region_selector_ablation,region_detector_c,reps,bootstraps,rep,elapsed_s,ref_error,rt_error,shrink_error,delta,vd,gamma,weight,selected_tau,selected_region_damp,gl_original_bias_proxy,gl_selected_bias_proxy,gl_selected_variance_proxy,gl_selected_risk_proxy,global_dr_selected_bias_proxy,global_dr_selected_variance_proxy,global_dr_selected_risk_proxy,analysis_region_mass,true_region_mass,region_overlap_precision,region_overlap_recall,analysis_observed,true_region_observed,analysis_response_rate,true_region_response_rate,analysis_bias_ref,analysis_bias_repair,analysis_abs_bias_reduction,true_region_bias_ref,true_region_bias_repair,true_region_abs_bias_reduction,analysis_underfit_rmse_ref,analysis_underfit_rmse_repair,true_region_underfit_rmse_ref,true_region_underfit_rmse_repair
s0_chunk00_rep01,0,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,1,16.950060906005092,-0.023011731531957846,-0.023011731531957846,-0.023011731531957846,0.0,2.5129778217130097e-06,-4.403177732474075e-06,0.0,0.05,0.0,nan,nan,nan,nan,nan,nan,nan,0.098,0.098,1.0,1.0,14,14,0.047619047619047616,0.047619047619047616,-0.002994151370032211,-0.002994151370032211,0.0,-0.002994151370032211,-0.002994151370032211,0.0,0.6626294942739621,0.6626294942739621,0.6626294942739621,0.6626294942739621
s0_chunk00_rep02,0,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,2,34.103372020996176,-0.024944069347744735,-0.024944069347744735,-0.024944069347744735,0.0,0.0001105398449423806,3.1246772179344736e-06,0.0,0.05,0.0,nan,nan,nan,nan,nan,nan,nan,0.101,0.101,1.0,1.0,12,12,0.039603960396039604,0.039603960396039604,-0.0006080334320799591,-0.0006080334320799591,0.0,-0.0006080334320799591,-0.0006080334320799591,0.0,0.5789707592828904,0.5789707592828904,0.5789707592828904,0.5789707592828904
s0_chunk00_rep03,0,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,3,50.95710130198859,-0.026718283228154727,-0.026718283228154727,-0.026718283228154727,0.0,2.6208295794317646e-05,3.398966530039648e-05,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,0.097,0.097,1.0,1.0,7,7,0.024054982817869417,0.024054982817869417,-0.020883837974525685,-0.020883837974525685,0.0,-0.020883837974525685,-0.020883837974525685,0.0,0.7140775202390685,0.7140775202390685,0.7140775202390685,0.7140775202390685
s0_chunk00_rep04,0,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,4,67.92623398601427,0.020572536367136796,0.020572536367136796,0.020572536367136796,0.0,2.0368802596167253e-05,4.3978278606786585e-05,0.0,0.1,0.0,nan,nan,nan,nan,nan,nan,nan,0.11,0.11,1.0,1.0,17,17,0.051515151515151514,0.051515151515151514,0.008718381701468025,0.008718381701468025,0.0,0.008718381701468025,0.008718381701468025,0.0,0.6286738747731837,0.6286738747731837,0.6286738747731837,0.6286738747731837
s0_chunk01_rep01,1,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,1,17.164707460004138,-0.002053198719918492,-0.002053198719918492,-0.002053198719918492,0.0,0.00015850427512004725,-4.8883770024896276e-05,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,0.09566666666666666,0.09566666666666666,1.0,1.0,11,11,0.03832752613240418,0.03832752613240418,-0.013296749320872837,-0.013296749320872837,0.0,-0.013296749320872837,-0.013296749320872837,0.0,0.5969743970683307,0.5969743970683307,0.5969743970683307,0.5969743970683307
s0_chunk01_rep02,1,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,2,34.10396856701118,-0.0028093785415758132,0.019137123187538074,-0.0028093785415758132,0.021946501729113888,0.0002869300470759854,0.00011277931582414377,0.0,0.05,0.5,nan,nan,nan,nan,nan,nan,nan,0.10366666666666667,0.10366666666666667,1.0,1.0,17,17,0.05466237942122187,0.05466237942122187,0.0023940432768421085,0.0035612706603745754,-0.001167227383532467,0.0023940432768421085,0.0035612706603745754,-0.001167227383532467,0.5509098985714096,0.6536600863714934,0.5509098985714096,0.6536600863714934
s0_chunk01_rep03,1,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,3,51.39180289601791,0.0034908802576248954,0.0034908802576248954,0.0034908802576248954,0.0,1.2290323024913546e-06,4.8817934136480235e-06,0.0,0.05,0.0,nan,nan,nan,nan,nan,nan,nan,0.098,0.098,1.0,1.0,25,25,0.08503401360544217,0.08503401360544217,0.0006778897055724154,0.0006778897055724154,0.0,0.0006778897055724154,0.0006778897055724154,0.0,0.5809060967598376,0.5809060967598376,0.5809060967598376,0.5809060967598376
s0_chunk01_rep04,1,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,4,68.620094050013,0.023246505129104533,0.023246505129104533,0.023246505129104533,0.0,7.699723699281609e-05,-2.577258962719838e-05,0.0,0.05,0.0,nan,nan,nan,nan,nan,nan,nan,0.09566666666666666,0.09566666666666666,1.0,1.0,10,10,0.03484320557491289,0.03484320557491289,0.003340387456693539,0.003340387456693539,0.0,0.003340387456693539,0.003340387456693539,0.0,0.639207327329944,0.639207327329944,0.639207327329944,0.639207327329944
s0_chunk02_rep01,2,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,1,17.030811542004813,-0.046156861404160865,-0.046156861404160865,-0.046156861404160865,0.0,1.8141790910310932e-05,-1.785702294892675e-05,0.0,0.05,0.0,nan,nan,nan,nan,nan,nan,nan,0.10266666666666667,0.10266666666666667,1.0,1.0,23,23,0.07467532467532467,0.07467532467532467,-0.000704213598810811,-0.000704213598810811,0.0,-0.000704213598810811,-0.000704213598810811,0.0,0.57092580477056,0.57092580477056,0.57092580477056,0.57092580477056
s0_chunk02_rep02,2,low_response,regional_shift,box,3000,0.05,0.0,true,ctmle,estimated,xgboost,xgboost,targeting,1.0,0.0|0.25|0.5|1.0,-1.0,1.0,obsval,4.0,0.1,0,0.1,legacy,4.0,4,50,2,34.033761575003155,0.015471024329737793,0.015471024329737793,0.015471024329737793,0.0,3.574348364483661e-05,1.0015016555318143e-05,0.0,0.05,0.0,nan,nan,nan,nan,nan,nan,nan,0.103,0.103,1.0,1.0,18,18,0.05825242718446602,0.05825242718446602,7.170601536733723e-05,7.170601536733723e-05,0.0,7.170601536733723e-05,7.170601536733723e-05,0.0,0.5219261469119766,0.5219261469119766,0.5219261469119766,0.5219261469119766
