group,design,method,n,strength,reps,reference_mse,no_shrinkage_mse,c2_shrinkage_mse,no_shrinkage_gain,no_shrinkage_gain_ci_low,no_shrinkage_gain_ci_high,c2_shrinkage_gain,c2_shrinkage_gain_ci_low,c2_shrinkage_gain_ci_high,c2_minus_no_shrinkage_gain,c2_minus_no_shrinkage_gain_ci_low,c2_minus_no_shrinkage_gain_ci_high,path_activation,final_activation,no_shrinkage_harm,c2_shrinkage_harm,mean_shrink_weight
alignment,alignment_aligned,aipw,3000,0,96,0.00472961614261,0.00472961614261,0.00472961614261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,aipw,3000,3,96,0.0101918826553,0.0101918826553,0.0101918826553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,aipw,3000,5,96,0.01423142636,0.0141699052005,0.0142323373619,0.0043229088879,-0.00584387229281,0.0202137776378,-6.40133958376e-05,-0.000226302487601,0,-0.00438692228374,-0.020254221971,0.0057295538631,0.0625,0.0104166666667,0.0416666666667,0.0104166666667,0.00140798245165
alignment,alignment_aligned,aipw,3000,8,96,0.0253412499909,0.0249094193312,0.0252779676462,0.0170406219037,-0.000233670893539,0.0470491364356,0.00249720691631,0,0.00876333201207,-0.0145434149874,-0.0428531998606,0.000233670893539,0.0416666666667,0.0104166666667,0.0104166666667,0,0.00407970663661
alignment,alignment_aligned,ctmle,3000,0,96,0.00136539463519,0.00136539463519,0.00136539463519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,ctmle,3000,3,96,0.014803389877,0.014803389877,0.014803389877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,ctmle,3000,5,96,0.036016063181,0.036016063181,0.036016063181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,ctmle,3000,8,96,0.0864636877231,0.0864636877231,0.0864636877231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,cui_selective_ml,3000,0,96,0.00118424426316,0.00118396015664,0.00118424426316,0.000239905339198,-0.00166587407433,0.00251253578701,0,0,0,-0.000239905339198,-0.00251253578701,0.00166587407433,0.0208333333333,0,0.0104166666667,0,0
alignment,alignment_aligned,cui_selective_ml,3000,3,96,0.0103163955641,0.0102565477946,0.0102885634509,0.00580122865364,-0.0107489367177,0.0226266429381,0.00269785246409,-0.00047247945569,0.00839536657833,-0.00310337618955,-0.0171498494721,0.0121758747226,0.302083333333,0.0416666666667,0.114583333333,0.0104166666667,0.019180922586
alignment,alignment_aligned,cui_selective_ml,3000,5,96,0.0251071778274,0.0245206413985,0.0249390678158,0.023361304602,0.00012615390221,0.0485534508698,0.00669569526296,0,0.0185611135883,-0.0166656093391,-0.0390829116841,0.0041551817588,0.34375,0.03125,0.104166666667,0,0.0185116273525
alignment,alignment_aligned,cui_selective_ml,3000,8,96,0.0601233155799,0.0593977216977,0.059068960095,0.0120684276173,-0.0344074996833,0.0503271405121,0.017536549252,0.00533070469198,0.0330145846518,0.00546812163469,-0.024561014484,0.048498419601,0.354166666667,0.0833333333333,0.09375,0,0.0440392057538
alignment,alignment_aligned,ma_dr_bc,3000,0,96,0.00557335202013,0.00557335202013,0.00557335202013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,ma_dr_bc,3000,3,96,0.0282652565744,0.0282652565744,0.0282652565744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,ma_dr_bc,3000,5,96,0.0698216810719,0.0698216810719,0.0698216810719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,ma_dr_bc,3000,8,96,0.160477916112,0.160477916112,0.160477916112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,tmle,3000,0,96,0.00151548698672,0.00151548698672,0.00151548698672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,tmle,3000,3,96,0.0103650238966,0.0103650238966,0.0103650238966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_aligned,tmle,3000,5,96,0.0234266588557,0.0233624793916,0.0234266588557,0.00273959101454,-0.00236039082953,0.00858642187985,0,0,0,-0.00273959101454,-0.00858642187985,0.00236039082953,0.0520833333333,0,0.0104166666667,0,0
alignment,alignment_aligned,tmle,3000,8,96,0.0531422489831,0.0531696039302,0.0531422489831,-0.0005147495187,-0.0121631015643,0.0106409842783,0,0,0,0.0005147495187,-0.0106409842783,0.0121631015643,0.0625,0,0.0416666666667,0,0
alignment,alignment_disjoint,aipw,3000,3,96,0.0193723595275,0.0193806980765,0.0193723595275,-0.000430435382022,-0.00150698695598,0,0,0,0,0.000430435382022,0,0.00150698695598,0.0104166666667,0,0.0104166666667,0,0
alignment,alignment_disjoint,aipw,3000,5,96,0.0266046694948,0.0265628063134,0.0266046694948,0.00157352758842,0,0.0054729010508,0,0,0,-0.00157352758842,-0.0054729010508,0,0.0104166666667,0,0,0,0
alignment,alignment_disjoint,aipw,3000,8,96,0.062053360009,0.062053360009,0.062053360009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,ctmle,3000,3,96,0.00254504010734,0.00254504010734,0.00254504010734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,ctmle,3000,5,96,0.00481589531256,0.00481589531256,0.00481589531256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,ctmle,3000,8,96,0.0114174760492,0.0114174760492,0.0114174760492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,cui_selective_ml,3000,3,96,0.00217243932617,0.00216448274742,0.00217243932617,0.00366250907526,0,0.012530419841,0,0,0,-0.00366250907526,-0.012530419841,0,0.0208333333333,0,0,0,0
alignment,alignment_disjoint,cui_selective_ml,3000,5,96,0.00438571298702,0.00437258912127,0.00437534152576,0.00299241327068,-0.0308689583273,0.0387653260189,0.00236482899939,-0.0180803120697,0.02887225187,-0.000627584271289,-0.0164096769722,0.0156857558412,0.125,0.03125,0.0729166666667,0.0208333333333,0.022680448205
alignment,alignment_disjoint,cui_selective_ml,3000,8,96,0.00815822466749,0.00806266710443,0.00802741769451,0.0117130340179,-0.0435552335473,0.0668077444019,0.0160337546845,-0.0162235720333,0.0613955623968,0.00432072066656,-0.0194339961731,0.0334638043168,0.135416666667,0.03125,0.0625,0.0104166666667,0.020319719052
alignment,alignment_disjoint,ma_dr_bc,3000,3,96,0.0222330468673,0.0221835031841,0.0222330468673,0.00222838027763,0,0.00717920485998,0,0,0,-0.00222838027763,-0.00717920485998,0,0.0104166666667,0,0,0,0
alignment,alignment_disjoint,ma_dr_bc,3000,5,96,0.0531218828393,0.0529568745988,0.0531218828393,0.00310621972854,0,0.00991175258456,0,0,0,-0.00310621972854,-0.00991175258456,0,0.0104166666667,0,0,0,0
alignment,alignment_disjoint,ma_dr_bc,3000,8,96,0.122886030678,0.122886030678,0.122886030678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,tmle,3000,3,96,0.00465980372027,0.00465987553687,0.00465980372027,-1.54119364502e-05,-5.27631737354e-05,0,0,0,0,1.54119364502e-05,0,5.27631737354e-05,0.0104166666667,0,0.0104166666667,0,0
alignment,alignment_disjoint,tmle,3000,5,96,0.00768946462713,0.00768946462713,0.00768946462713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alignment,alignment_disjoint,tmle,3000,8,96,0.0199371889334,0.0199065279691,0.0199434576045,0.00153787800306,-0.00361251787796,0.00890401442837,-0.000314421010478,-0.00112194382335,0,-0.00185229901354,-0.00904206262589,0.00271085768631,0.0208333333333,0.0104166666667,0.0104166666667,0.0104166666667,0.00752873788221
alignment,alignment_partial,aipw,3000,3,96,0.0163822190776,0.0164115621063,0.0163822190776,-0.00179115103738,-0.01053996818,0.00450288994291,0,0,0,0.00179115103738,-0.00450288994291,0.01053996818,0.0416666666667,0,0.0208333333333,0,0
alignment,alignment_partial,aipw,3000,5,96,0.0255389790561,0.025149859144,0.0253467220097,0.015236314309,-0.00324029056092,0.04389721494,0.00752798480757,0,0.0246254708038,-0.00770832950144,-0.0236147022751,0.00327060471008,0.03125,0.0104166666667,0.0104166666667,0,0.00660614588906
alignment,alignment_partial,aipw,3000,8,96,0.0631177978434,0.0625420327905,0.0630258803746,0.00912207131066,0,0.0311945049605,0.00145628447116,0,0.0050546748286,-0.00766578683949,-0.0261357828479,0,0.0208333333333,0.0104166666667,0,0,0.00150712207856
