method,family,cells,reps,no_shrinkage_gain,no_shrinkage_gain_ci_low,no_shrinkage_gain_ci_high,c2_shrinkage_gain,c2_shrinkage_gain_ci_low,c2_shrinkage_gain_ci_high,c2_minus_no_shrinkage_gain,c2_minus_no_shrinkage_gain_ci_low,c2_minus_no_shrinkage_gain_ci_high,path_activation,final_activation,no_shrinkage_harm,c2_shrinkage_harm,mean_shrink_weight
aipw,all,34,3264,0.0596469414293,0.0458587808624,0.0704106378791,0.0279144540494,0.0195689399394,0.0352814499466,-0.0317324873799,-0.0388977097932,-0.0225411828531,0.173100490196,0.0410539215686,0.0686274509804,0.00490196078431,0.0164244268281
aipw,kang_schafer,8,768,0.239942594538,0.182726664078,0.284055014234,0.112401762141,0.0774737239654,0.143541031865,-0.127540832397,-0.157502981774,-0.0892604441367,0.665364583333,0.157552083333,0.260416666667,0.0182291666667,0.0629285656418
aipw,alignment,10,960,0.00450738575803,0.000742187261571,0.00920497434744,0.00114174627992,-6.07566013814e-06,0.00295521248439,-0.00336563947811,-0.00727603610705,-0.00034871636931,0.021875,0.00416666666667,0.009375,0.00104166666667,0.00136009570559
aipw,real,12,1152,0.00260055845011,-0.00109425484676,0.0065890779683,0.00147026777854,4.64917250959e-05,0.00355357420254,-0.00113029067157,-0.00451404322592,0.00197657853616,0.0199652777778,0.00520833333333,0.00954861111111,0.000868055555556,0.00234476176582
aipw,anchor,4,384,0.00804367332783,-0.00138547220888,0.0224815757142,0.00520416610208,0,0.0141085725728,-0.00283950722575,-0.00866649990571,0.00169066117281,0.0260416666667,0.0078125,0.0104166666667,0,0.00331597219407
tmle,all,34,3264,-0.0683691641669,-0.0978438731346,-0.0453237340099,-0.00410353920309,-0.0120329864572,0.00234623933187,0.0642656249638,0.0446344190307,0.0899520694701,0.157169117647,0.0248161764706,0.0876225490196,0.0122549019608,0.00967878773037
tmle,kang_schafer,8,768,-0.29353131558,-0.418352112207,-0.196393834708,-0.0188638529804,-0.0526472493105,0.00862301622579,0.274667462599,0.191116873286,0.383589095798,0.611979166667,0.0924479166667,0.34765625,0.0494791666667,0.0348693189899
tmle,alignment,10,960,0.000635496220331,-0.00293148901643,0.00426074186706,-0.0002820886688,-0.00112075816425,0.000156551425583,-0.000917584889131,-0.00427658832541,0.00213551232634,0.021875,0.003125,0.0104166666667,0.00208333333333,0.00127618783977
tmle,real,12,1152,0.00112881303979,-0.00137651240596,0.003639768444,0.000754378357057,0.000139172936699,0.00164573961623,-0.000374434682737,-0.00252140163542,0.00192316398123,0.0164930555556,0.00520833333333,0.00607638888889,0,0.00253544581645
tmle,anchor,4,384,0.000949556070933,-0.00263177533935,0.00555052106899,0.0012897093353,0,0.00409508825157,0.000340153264367,-0.00163438574621,0.00278049600508,0.0078125,0.00260416666667,0.00520833333333,0,0.00173425067965
ctmle,all,34,3264,0.000205763360923,-0.000658444918796,0.00126265182061,0.000283792467922,-0.000402899786557,0.00118516548806,7.80291069995e-05,-0.000163635261846,0.000401581738746,0.00398284313725,0.00122549019608,0.00245098039216,0.000612745098039,0.000883384054726
ctmle,kang_schafer,8,768,0.0011183537773,-0.00251464043679,0.00560586887938,0.00143607898591,-0.00143497107047,0.00527083625597,0.000317725208607,-0.000713203052853,0.00169167450774,0.015625,0.00390625,0.00911458333333,0.00130208333333,0.00251834478776
ctmle,alignment,10,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ctmle,real,12,1152,-0.000162572995584,-0.000540775392414,0,-0.00015330733149,-0.000509954510272,0,9.26566409383e-06,0,3.08208821416e-05,0.000868055555556,0.000868055555556,0.000868055555556,0.000868055555556,0.000824024963217
ctmle,anchor,4,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cui_selective_ml,all,34,3264,0.0439927552265,0.034135663614,0.0530498891472,0.0172335211175,0.011839800464,0.0225203999264,-0.026759234109,-0.03340404729,-0.0196675527415,0.271139705882,0.0579044117647,0.0983455882353,0.0107230392157,0.0268134841202
cui_selective_ml,kang_schafer,8,768,0.113113127344,0.0775537718488,0.144877402628,0.0453907863386,0.025362203009,0.0650790190839,-0.0677223410054,-0.0905929868845,-0.0422544303221,0.515625,0.12890625,0.1875,0.03125,0.0572197543151
cui_selective_ml,alignment,10,960,0.0149231036997,0.00476044790718,0.0247505532587,0.00604631268832,0.00122427206492,0.0117938827078,-0.00887679101141,-0.0159904396279,-0.00126126036344,0.164583333333,0.0291666666667,0.0604166666667,0.00520833333333,0.0152166633548
cui_selective_ml,real,12,1152,0.0292079652818,0.0181391900314,0.0408203351932,0.0111497404237,0.00571180562396,0.0172419204895,-0.0180582248581,-0.0263466851269,-0.0100991032692,0.197916666667,0.0373263888889,0.0772569444444,0.00520833333333,0.0179150134964
cui_selective_ml,anchor,4,384,0.0227805096422,0.0122283790606,0.033946863994,0.00713835382927,0.00354716536755,0.0114808566852,-0.0156421558129,-0.0251353899618,-0.00650485757856,0.268229166667,0.0494791666667,0.078125,0,0.0216884075153
ma_dr_bc,all,34,3264,0.0379656661283,0.0297677321928,0.0454222977078,0.0299899878989,0.0233726249994,0.0365564675682,-0.00797567822945,-0.01104387372,-0.00457443872688,0.123774509804,0.0674019607843,0.0425857843137,0.0143995098039,0.0440533311151
ma_dr_bc,kang_schafer,8,768,0.160056598017,0.125182933324,0.191873809486,0.126932797994,0.0988240180428,0.1546595751,-0.033123800023,-0.0460577820329,-0.0188097560986,0.515625,0.28515625,0.178385416667,0.0611979166667,0.18622447282
