dataset,design,setting,n,strength,bin_by,bin,rep_bins,mean_units,sd_units,mean_responders,sd_responders,mean_response_rate,sd_response_rate,mean_mean_true_pi,sd_mean_true_pi,mean_mean_pi_hat,sd_mean_pi_hat,mean_p_label_rmse,sd_p_label_rmse,mean_p_label_skill,sd_p_label_skill,mean_p_true_rmse,sd_p_true_rmse,mean_p_true_nrmse,sd_p_true_nrmse,mean_p_calibration_error,sd_p_calibration_error,mean_m_observed_rmse,sd_m_observed_rmse,mean_m_observed_skill,sd_m_observed_skill,mean_m_true_rmse,sd_m_true_rmse,mean_m_true_nrmse,sd_m_true_nrmse,mean_m_observed_label_fraction,sd_m_observed_label_fraction
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,pi_hat,1,32,600.0,0.0,175.96875,13.192053420051785,0.29328125,0.02198675570008631,0.292238602092446,0.016519045214160873,0.06947531539942133,0.009017910752607727,0.48576650484393546,0.015790438799295786,-0.14136518620890584,0.028655975842147817,0.3799145435036832,0.012442079245564898,1.4080779801983958,0.06345585561399465,-0.22380593460057868,0.0157600284182131,1.1759739046007525,0.06215140509044924,0.28834568737862126,0.07503706095297732,0.683518894225859,0.03803405432501311,0.686004488942056,0.037283728937664046,0.29328125,0.02198675570008631
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,pi_hat,2,32,600.0,0.0,429.34375,10.315671860693321,0.7155729166666667,0.017192786434488867,0.7193873287032216,0.010442367725770386,0.6368158200119312,0.024393129014399256,0.4660364986558692,0.008940965583203005,-0.06943389609809308,0.03127687156171229,0.22353591662439343,0.015874942243045406,0.8276691481692859,0.05234794330881289,-0.0787570966547355,0.027643493165021422,1.2083151526451203,0.04303020838602787,0.25950863239205285,0.05037962562480268,0.6708371771789052,0.041208072973942515,0.6735661693016817,0.04544075161124271,0.7155729166666667,0.017192786434488867
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,pi_hat,3,32,600.0,0.0,461.8125,9.412217791254088,0.7696875,0.015687029652090144,0.770355862493925,0.005871590689976525,0.8950236976022522,0.009204409768067898,0.4405659227270559,0.013440578517283606,-0.09687671612031591,0.018900680435921777,0.1686463920457234,0.013705618447562863,0.6250434126552957,0.05441711267101751,0.12533619760225218,0.014796058306412788,1.1963060601801467,0.03738766959262411,0.2468300598210254,0.05183600405156951,0.6918598116216756,0.036340424077344606,0.6945812036212884,0.03946807796353989,0.7696875,0.015687029652090144
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,pi_hat,4,32,600.0,0.0,472.4375,10.758535855310424,0.7873958333333333,0.017930893092184045,0.788117885705235,0.004885881842861172,0.9597756178211421,0.003633554994830712,0.4436553160080082,0.01759207436658103,-0.1786125005544819,0.021797538832383865,0.18998734287323138,0.008196402424054674,0.7039011199995701,0.032327984438481214,0.17237978448780872,0.0156874493810373,1.2479517616322127,0.04097461363313592,0.17718456561705348,0.07282689385996988,0.7761891465633419,0.034731609639709476,0.779177532812561,0.037453543650340045,0.7873958333333333,0.017930893092184045
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,pi_hat,5,32,600.0,0.0,483.875,9.971051850231248,0.8064583333333334,0.01661841975038541,0.8116780160817192,0.005495372684859359,0.9866520463861524,0.0013656309169238943,0.43378475821933205,0.018368931510983188,-0.20835707963168892,0.023411486219191806,0.18787219115151943,0.006979591431778483,0.696087238412502,0.02849686503274545,0.18019371305281917,0.015767330095644155,1.2684002784064872,0.05382481046026584,0.19010552981340262,0.0742770141580524,0.8025891648858829,0.03509939455598231,0.8055129937826798,0.034678431707932236,0.8064583333333334,0.01661841975038541
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,true_pi,1,32,600.0,0.0,123.625,13.644481485201261,0.20604166666666668,0.022740802475335435,0.20691587397156844,0.017912897904827148,0.2622064884895209,0.023785534957021556,0.3834591754821531,0.02176750543415883,0.09430140506178467,0.08473527494790843,0.2395919279382188,0.018326755082213337,0.8880212223486212,0.07378141618771478,0.05616482182285419,0.009236527650062066,1.260688142999014,0.10150420483383248,0.30028391137143284,0.1257991765450918,0.7284796309719934,0.04146484256137965,0.7312519929712507,0.042875189818782584,0.20604166666666668,0.022740802475335435
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,true_pi,2,32,600.0,0.0,427.375,9.532018411648187,0.7122916666666668,0.01588669735274698,0.7177771035114213,0.0020818245389302137,0.7557985372312335,0.017755622040679524,0.5324210054441121,0.012554799560447303,-0.38600334582717766,0.05366191062373672,0.28176772883004214,0.008420185360885216,1.0439842421634409,0.03606610778137127,0.04350687056456688,0.015726065772997542,1.2212207106397546,0.035471281855133575,0.23162117028870097,0.05892859178047108,0.7225254614681849,0.040343498810190816,0.7252078765935309,0.04104405580312614,0.7122916666666668,0.01588669735274698
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,true_pi,3,32,600.0,0.0,460.6875,11.547287289662451,0.7678125,0.019245478816104087,0.7681784836492398,0.002524709895973706,0.803424821535106,0.015548685014826886,0.49065494436011037,0.017790616412391807,-0.3556195915482868,0.07246905714261899,0.25240352579812897,0.009513967065281258,0.93518246687575,0.038568954613931186,0.035612321535105976,0.014935030073525183,1.222271486627917,0.049367945870102584,0.17348602787013007,0.07417647281740178,0.7287746527871327,0.04325776723984818,0.7314036911269397,0.042234708749943325,0.7678125,0.019245478816104087
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,true_pi,4,32,600.0,0.0,489.25,10.32593821403169,0.8154166666666667,0.01720989702338616,0.8179151849875026,0.002387342428179909,0.8441924195376487,0.012355223124960362,0.45291951472181047,0.017602312202682272,-0.36851623120577837,0.05785301745434177,0.2298549753367788,0.011070394285598282,0.8516746285237317,0.044252955692553955,0.02877575287098201,0.012499984417441124,1.2155774494369123,0.050218443663854244,0.1293739987479437,0.08508837397218252,0.7116750422404559,0.033666565386604036,0.7143854339544238,0.03547713473044412,0.8154166666666667,0.01720989702338616
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,true_pi,5,32,600.0,0.0,522.5,7.0622234459127675,0.8708333333333333,0.011770372409854615,0.8709910489568147,0.001387555186299664,0.8821202304273903,0.012830606648774112,0.39423949921219903,0.018426208762302925,-0.3859768253745158,0.061491060981393,0.2017019863683546,0.01431631822343302,0.7473152498456181,0.0541065517652019,0.011286897094056864,0.007675418188775041,1.2375777200559108,0.04796575744025946,0.19856139565184538,0.06019358073291834,0.7430778599734589,0.024027971477881813,0.7461454986031134,0.03272893559065039,0.8708333333333333,0.011770372409854615
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,pi_hat,1,32,600.0,0.0,174.875,16.347304823731648,0.2914583333333333,0.027245508039552745,0.2877894020559953,0.020436059203044605,0.07010884112878614,0.012237051155964603,0.48347640709324585,0.020344919321781313,-0.13643220086364338,0.03855332321620726,0.37635627903833596,0.01465399743807676,1.3892342726437572,0.0659471633041224,-0.2213494922045472,0.02066327534122152,1.2524033968170276,0.06327104818580234,0.31602332726133103,0.0797830988956358,0.76311332153516,0.038782543902992204,0.6910633251242482,0.03158400431193794,0.2914583333333333,0.027245508039552745
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,pi_hat,2,32,600.0,0.0,435.125,16.293691263799005,0.7252083333333335,0.02715615210633167,0.7211689012271749,0.014841718559890226,0.6441398012180192,0.03516809100650072,0.4630841028977848,0.011494159386492194,-0.08210737903742593,0.03981612378652215,0.22369039996219647,0.022762135215242518,0.824637475668867,0.07622177743920751,-0.08106853211531416,0.022601900917251012,1.2385224115516502,0.053170900018416525,0.31319623596130974,0.05950903703255893,0.734554272924911,0.03847885514143569,0.6654910183779776,0.037330272013735004,0.7252083333333335,0.02715615210633167
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,pi_hat,3,32,600.0,0.0,463.125,10.481382303875764,0.771875,0.017468970506459614,0.7702692260292996,0.004973396554730842,0.8996564641532798,0.013407302816716399,0.4390606470274005,0.014978335489385864,-0.09729815832669289,0.021339970401562224,0.17221660953815035,0.01377666064523076,0.6357850616764008,0.05461150827463255,0.12778146415327987,0.01539335053034851,1.244293096023497,0.05006918972463869,0.27681909787182646,0.0663847039955735,0.7345158165005893,0.04128916427215842,0.6653456809380227,0.03762787110291415,0.771875,0.017468970506459614
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,pi_hat,4,32,600.0,0.0,470.15625,11.113362944559132,0.78359375,0.01852227157426522,0.7884069083914811,0.0038601701407093235,0.9614038127101958,0.004935923330889109,0.4480252735654081,0.018198989061417436,-0.18672479354824184,0.02325252874626693,0.19178552942036164,0.008609404436454481,0.7077358742895907,0.0328801033385371,0.17781006271019578,0.016450816435448715,1.2779958149526653,0.04059933673527514,0.2343655055733674,0.04802404054582304,0.8042870507943559,0.03506560736828401,0.7286693695743733,0.03489395287507177,0.78359375,0.01852227157426522
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,pi_hat,5,32,600.0,0.0,487.59375,9.591204874128172,0.8126562500000001,0.01598534145688029,0.8127728168610706,0.004630271556588805,0.9872716289665551,0.0018123187650413567,0.42701386547122167,0.01765876439400231,-0.20037325504188688,0.02124361759044133,0.18688951206936172,0.005200156671837742,0.6897504976649524,0.02362580492079913,0.174615378966555,0.01471683459653904,1.294167144592865,0.058713955052444866,0.2374276312532697,0.07727819229526084,0.8188037062884387,0.03355415809601472,0.7416742058257193,0.030335345084511058,0.8126562500000001,0.01598534145688029
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,true_pi,1,32,600.0,0.0,120.75,13.667936932836644,0.20124999999999998,0.022779894888061075,0.203104290555787,0.019539129819298885,0.2586916981673014,0.027203555712513757,0.3802771058977573,0.023890600050607343,0.09187845659878376,0.10454102303062002,0.2416913656968651,0.017402319163851872,0.8921676792556741,0.06873622011507086,0.05744169816730145,0.01206351467634206,1.2906396411698147,0.09154477289198983,0.38569931329634777,0.08543675559233384,0.7969359347253743,0.03761500964717311,0.7218037942632636,0.032619515639134754,0.20124999999999998,0.022779894888061075
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,true_pi,2,32,600.0,0.0,432.8125,10.780298871088872,0.7213541666666667,0.017967164785148124,0.7180456643147262,0.0017449180524098107,0.767196105487225,0.01963501228223604,0.5313448270909118,0.01933133288683125,-0.40803155634506083,0.07392157784906563,0.27612624163473876,0.009649624069485017,1.018822949000084,0.03354205603740625,0.045841938820558426,0.013204098060368503,1.2546133018705088,0.051877828660017083,0.30786615243846327,0.056896804693700356,0.7627398214352026,0.032558083600849504,0.690877703219061,0.029162116891574795,0.7213541666666667,0.017967164785148124
