dataset,bin_by,settings,mean_low_mean_true_pi,mean_high_mean_true_pi,mean_low_response_rate,mean_high_response_rate,mean_low_p_true_nrmse,mean_high_p_true_nrmse,mean_low_m_true_nrmse,mean_high_m_true_nrmse,mean_low_high_ratio_p_true_nrmse,mean_low_high_ratio_m_true_nrmse,mean_low_response_excess_p_true_nrmse,mean_low_response_excess_m_true_nrmse,mean_low_response_excess_gap_m_minus_p,mean_slope_p_true_nrmse_vs_true_pi,mean_slope_m_true_nrmse_vs_true_pi,mean_slope_gap_m_minus_p,mean_slope_p_label_skill_vs_true_pi,mean_slope_m_observed_skill_vs_true_pi
ACIC 2016,pi_hat,4,0.2902154303790877,0.8126056705580001,0.2913411458333333,0.8112630208333333,1.4007675552645316,0.6917800886779357,0.7588842033462864,0.7712805291708503,2.0248725895356965,0.9885316039360816,0.708987466586596,-0.012396325824564014,-0.7213837924111599,-1.4253155180561758,-0.052502571673049794,1.3728129463831262,-0.03437924320056862,-0.12316411153739817
ACIC 2016,true_pi,4,0.20623742709852116,0.871379012347688,0.20567708333333332,0.871953125,0.8860160609219873,0.7576961862353485,0.8043037744214172,0.7270689364007328,1.1694488670033434,1.108945507018988,0.12831987468663866,0.07723483802068434,-0.05108503666595432,-0.06948728080549334,-0.1509532721796246,-0.08146599137413127,-0.7736204465836541,-0.20648275141431222
ACIC 2017,pi_hat,4,0.29093492428424766,0.814422399041628,0.29071614583333333,0.8123567708333332,1.4100654646502218,0.6855196949016404,0.7581302896433723,0.7801072125539263,2.0569426438822873,0.9762589353728547,0.7245457697485813,-0.02197692291055403,-0.7465226926591353,-1.4455240772621099,-0.0389145781827495,1.40660949907936,-0.029086179808816684,-0.13048869859181278
ACIC 2017,true_pi,4,0.20635466322592205,0.8720089010804084,0.20609375,0.8716015624999999,0.8791840227744775,0.7652011870589237,0.8021064309596759,0.7273031002569561,1.1491584172694025,1.1057157237170683,0.11398283571555387,0.07480333070272,-0.039179505012833876,-0.046715361330059046,-0.13823753056245575,-0.09152216923239671,-0.7832451459532775,-0.22562046856415102
IHDP,pi_hat,4,0.26466789404602326,0.8285770920604336,0.2656119791666667,0.8279947916666667,1.2092322479268338,0.618064874970415,1.3942352058660565,1.3715174694839014,1.9564250481634984,1.0400191605008664,0.5911673729564189,0.022717736382155018,-0.5684496365742638,-1.0674548987250054,0.1442764506534768,1.2117313493784825,-0.2781224552371747,-0.1579465873436469
IHDP,true_pi,4,0.20669140555183202,0.8746847900608803,0.20670572916666666,0.8755989583333333,0.7146628338406795,0.7096814931162407,1.4805433855031453,1.4724088013754872,1.0070229189229307,1.0254236073389924,0.0049813407244388985,0.008134584127658051,0.0031532434032191525,0.12552313597288278,-0.006514826821300473,-0.13203796279418328,-0.9225149648380855,0.06214794369501544
Kang-Schafer,pi_hat,8,0.28421791572727995,0.7176411202566643,0.28619140625000006,0.7125781250000001,1.2987684613278738,1.2950618356730912,0.5187070722854508,0.3359770179752437,1.0033006434100098,1.5463513131040125,0.0037066256547824694,0.18273005431020706,0.1790234286554246,-0.00365468270099835,-0.4153465307572143,-0.41169184805621584,-0.012744786262489096,0.3250236402114652
Kang-Schafer,true_pi,8,0.18043106356698252,0.8204064313892994,0.18630859375,0.81875,0.998477203725249,0.988465124738613,0.5477803436514019,0.3722209602256395,1.0094683391931727,1.4802034400053756,0.010012078986636072,0.17555938342576238,0.1655473044391263,-0.017932656003397687,-0.25514857687536313,-0.23721592087196544,0.018148898874920993,8.535742521124911
Twins,pi_hat,4,0.07866567567804332,0.821837433772514,0.07888020833333334,0.8202604166666667,0.4451698368068701,0.548007092998607,0.9558996753458937,0.8559281836721514,0.8124420970205539,1.118345194713162,-0.10283725619173682,0.09997149167374222,0.20280874786547903,0.09099965774846933,-0.16085383581087193,-0.2518534935593412,-0.14897162866709968,0.06086972018650848
Twins,true_pi,4,0.050501231811531995,0.8724291029176012,0.05074218750000001,0.8736588541666666,0.38636150654334106,0.47876933039748576,0.9546012748508984,0.8445338987783946,0.8069967998428531,1.1322530540042375,-0.0924078238541447,0.11006737607250391,0.2024751999266486,0.21523353954370106,-0.15407594084807558,-0.3693094803917766,0.12805979357093844,0.4068162227739734
