dataset,bin_by,bin,rep_bins,mean_units,sd_units,mean_responders,sd_responders,mean_response_rate,sd_response_rate,mean_mean_true_pi,sd_mean_true_pi,mean_mean_pi_hat,sd_mean_pi_hat,mean_p_label_rmse,sd_p_label_rmse,mean_p_label_skill,sd_p_label_skill,mean_p_true_rmse,sd_p_true_rmse,mean_p_true_nrmse,sd_p_true_nrmse,mean_p_calibration_error,sd_p_calibration_error,mean_m_observed_rmse,sd_m_observed_rmse,mean_m_observed_skill,sd_m_observed_skill,mean_m_true_rmse,sd_m_true_rmse,mean_m_true_nrmse,sd_m_true_nrmse,mean_m_observed_label_fraction,sd_m_observed_label_fraction
ACIC 2016,pi_hat,1,128,600.0,0.0,174.8046875,14.913845598213218,0.2913411458333333,0.02485640933035536,0.2902154303790877,0.018855577343403235,0.07021213110567141,0.010902368972010157,0.4840297461538948,0.01876199277214095,-0.13854452755773106,0.03654347980860938,0.37840754206787053,0.014034457909542218,1.4007675552645318,0.0664825587129551,-0.22112901472766194,0.019351646311659258,1.2122576009079749,0.06961625270149994,0.2812146197729043,0.08237018651101212,0.7934643474890541,0.14071954340599058,0.7588842033462863,0.11791108068194642,0.2913411458333333,0.02485640933035536
ACIC 2016,pi_hat,2,128,600.0,0.0,431.5078125,14.279025315645454,0.7191796875,0.023798375526075756,0.7207882446907763,0.012110061795285006,0.6425366178244197,0.030004863446730565,0.46477451936167286,0.011055277673195958,-0.0741313565667967,0.03744725265132394,0.22325781116897167,0.0175723428879771,0.8256232256564161,0.05887489002215861,-0.0766430696755803,0.026503501951315133,1.2128937299275593,0.050865448509273783,0.2739941423324319,0.06186227290162337,0.7043613650440357,0.048340293860580676,0.6756631638044766,0.04220113350362025,0.7191796875,0.023798375526075756
ACIC 2016,pi_hat,3,128,600.0,0.0,463.1171875,10.010635823455159,0.7718619791666667,0.016684393039091937,0.7707684281540739,0.004992976643784991,0.8986715363509332,0.011479414252372998,0.43902921172598947,0.014182078016859872,-0.09685759751551745,0.01939362774933085,0.16992586680910882,0.013214518060474235,0.62900501169532,0.05222526940568781,0.12680955718426654,0.015196312234411613,1.2203596763049103,0.04923818370147203,0.24485451079394197,0.0665981242414138,0.7043311215794277,0.04158762187803265,0.6760233447165869,0.04138165649178827,0.7718619791666667,0.016684393039091937
ACIC 2016,pi_hat,4,128,600.0,0.0,473.03125,11.110902233279708,0.7883854166666666,0.018518170388799517,0.7886533652928209,0.004230100940990892,0.9612039481289685,0.004443906976661264,0.4430894363131507,0.018472239845661573,-0.17985036612164038,0.023456327808142885,0.19052636486075553,0.007643000799457401,0.7050517363918645,0.03013733040193716,0.1728185314623018,0.016630450643679663,1.2637243695218834,0.047567621588355445,0.19152815591171463,0.06785949476424376,0.7876949619847678,0.03769074739384845,0.7564723586625608,0.04638189299343152,0.7883854166666666,0.018518170388799517
ACIC 2016,pi_hat,5,128,600.0,0.0,486.7578125,10.408639810986053,0.8112630208333333,0.017347733018310083,0.8126056705580001,0.005083935147867104,0.9872876277534912,0.0016616043154208757,0.4285507279566989,0.019360528171875165,-0.2026102283674448,0.02393375200371366,0.18692663419072825,0.006030359289252031,0.6917800886779355,0.025946957448461958,0.17602460692015787,0.016408921593420327,1.2749728469890758,0.05320086265357785,0.2095690847070048,0.0756710215759636,0.8031457101652004,0.036066420041115634,0.7712805291708502,0.04467871267705095,0.8112630208333333,0.017347733018310083
ACIC 2016,true_pi,1,128,600.0,0.0,123.40625,13.34016345242816,0.20567708333333334,0.022233605754046933,0.20623742709852114,0.01868197565340765,0.2617197413124953,0.02571718741562737,0.38146848080810797,0.02267183710419081,0.10141868452782421,0.09999962232559573,0.23934377734713685,0.01708503725509216,0.8860160609219873,0.06880217645778175,0.05604265797916198,0.011265884729157887,1.28170883696851,0.10025758630103117,0.3112598774097691,0.11876438683782725,0.840647528389476,0.14897423585141029,0.8043037744214172,0.12624594669113687,0.20567708333333334,0.022233605754046933
ACIC 2016,true_pi,2,128,600.0,0.0,431.0546875,10.732040662303874,0.7184244791666666,0.017886734437173125,0.7180290746719435,0.0018827615131975994,0.7640414925105172,0.01905041384375717,0.528492378617577,0.017137185517181814,-0.3841430539143398,0.06695220724770647,0.2789066419267635,0.00953199874291722,1.0320997543076726,0.03834880884462589,0.045617013343850585,0.013719663901448378,1.2351858602203485,0.04946894701873405,0.24684023954003445,0.06956723906747825,0.7341054436928585,0.03631737581147462,0.7048097038232399,0.04071993510955563,0.7184244791666666,0.017886734437173125
ACIC 2016,true_pi,3,128,600.0,0.0,460.9296875,10.715922435905542,0.7682161458333334,0.017859870726509235,0.7687997993039644,0.002309752677707894,0.8051279568462693,0.016703940141911816,0.49152032023183007,0.016527779617001775,-0.36123522974566263,0.0657282492961024,0.2528290673562476,0.009808950743889835,0.9356261739860343,0.03932902841840034,0.03691181101293599,0.01302132735629658,1.239581298250813,0.05127536784508397,0.183781145865012,0.0777883914143283,0.7360284250367318,0.045935458665873743,0.7066093047481854,0.04811556222355036,0.7682161458333334,0.017859870726509235
ACIC 2016,true_pi,4,128,600.0,0.0,490.65625,9.418596548185935,0.8177604166666667,0.01569766091364323,0.8185858256526418,0.0021898116848081527,0.8464838499555601,0.014796236317319883,0.44867786816150573,0.018213899334397772,-0.3554055826111011,0.06273747753649764,0.22846469269047845,0.011907861913994428,0.845497118643425,0.046736461333120025,0.028723433288893527,0.012178775224113342,1.231522109185296,0.05187599428850067,0.1439681542021597,0.06937983528146638,0.724359621871131,0.04142809428039367,0.6953103197118378,0.04231564162828201,0.8177604166666667,0.01569766091364323
ACIC 2016,true_pi,5,128,600.0,0.0,523.171875,7.935392805928072,0.871953125,0.013225654676546792,0.8713790123476881,0.0012022532345220013,0.882538820538642,0.012847516137053887,0.3935943848494796,0.01914653778564872,-0.39337577435167514,0.06762930312721052,0.20475085092491896,0.013836370198643129,0.7576961862353486,0.05242650178888386,0.010585695538641932,0.008670056619735876,1.2487090542804546,0.0482228726673665,0.2000330830063174,0.06096818886665288,0.7573085538134134,0.03162835497253217,0.7270689364007329,0.03682278472338935,0.871953125,0.013225654676546792
