dataset,design,setting,n,strength,bin_by,low_mean_true_pi,high_mean_true_pi,low_response_rate,high_response_rate,low_p_true_nrmse,high_p_true_nrmse,low_m_true_nrmse,high_m_true_nrmse,low_high_ratio_p_true_nrmse,low_high_ratio_m_true_nrmse,low_response_excess_p_true_nrmse,low_response_excess_m_true_nrmse,low_response_excess_gap_m_minus_p,slope_p_true_nrmse_vs_true_pi,slope_m_true_nrmse_vs_true_pi,slope_gap_m_minus_p,slope_p_label_skill_vs_true_pi,slope_m_observed_skill_vs_true_pi
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,pi_hat,0.292238602092446,0.8116780160817192,0.29328125,0.8064583333333334,1.4080779801983958,0.696087238412502,0.686004488942056,0.8055129937826798,2.0228469974678194,0.8516367758645168,0.7119907417858938,-0.11950850484062381,-0.8314992466265176,-1.447499190159641,0.14206981105605962,1.5895690012157007,-0.03148116882267025,-0.16325473405373164
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,true_pi,0.20691587397156844,0.8709910489568147,0.20604166666666668,0.8708333333333333,0.8880212223486212,0.7473152498456181,0.7312519929712507,0.7461454986031134,1.188281949996431,0.9800394083194961,0.1407059725030031,-0.014893505631862758,-0.15559947813486585,-0.07537322647280635,0.0009525404942416988,0.07632576696704806,-0.7634215777103174,-0.20274318045452783
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,pi_hat,0.2877894020559953,0.8127728168610706,0.2914583333333333,0.8126562500000001,1.3892342726437572,0.6897504976649524,0.6910633251242482,0.7416742058257193,2.014111301618198,0.9317613039472971,0.6994837749788048,-0.05061088070147113,-0.7500946556802759,-1.391801546003031,0.0392115620728172,1.4310131080758484,-0.04277211873253261,-0.12299753909663437
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,true_pi,0.203104290555787,0.8713028893720058,0.20124999999999998,0.8707291666666667,0.8921676792556741,0.7648120544374073,0.7218037942632636,0.7050075885789673,1.1665188513692415,1.0238241487842012,0.1273556248182668,0.016796205684296295,-0.1105594191339705,-0.0801341445479959,-0.042180337414525114,0.03795380713347079,-0.7609438235723617,-0.280221152143116
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,pi_hat,0.2901113659046727,0.8126378137367216,0.29229166666666667,0.8167708333333333,1.4068510253567859,0.6914790154863322,0.7061784553343013,0.796075446305036,2.0345534627212323,0.8870747849491034,0.7153720098704537,-0.08989699097073467,-0.8052690008411884,-1.440122883317934,0.10206606822677855,1.5421889515447127,-0.015437701278449626,-0.0712427468075871
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,true_pi,0.20710624294851765,0.8715005903717976,0.20802083333333332,0.8725520833333333,0.8732928768723304,0.7608345939378898,0.7544854841551021,0.7471038469527795,1.1478091083534787,1.0098803362242479,0.1124582829344406,0.007381637202322544,-0.10507664573211806,-0.04146214554161648,-0.03445684788357467,0.007005297658041809,-0.8036016473539394,-0.2147353450214915
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=3,3000,3.0,pi_hat,0.2907223514632368,0.8133340355524892,0.28833333333333333,0.8091666666666667,1.3989069428591874,0.6898036031479561,0.9522905439845395,0.741859470769966,2.0279785963355366,1.2836535509834093,0.7091033397112313,0.21043107321457355,-0.49867226649665775,-1.4218384527440973,-0.49335772804785455,0.9284807246962428,-0.047825983968622,-0.13516142619163962
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=3,3000,3.0,true_pi,0.2078233009182115,0.871721520690134,0.20739583333333333,0.8736979166666666,0.8905824652113233,0.7578228467204792,1.0096738262960523,0.710018811468071,1.1751855582942226,1.4220381347480067,0.13275961849084417,0.2996550148279813,0.16689539633713713,-0.08097960665955463,-0.5281284439146403,-0.4471488372550857,-0.766514737697998,-0.12823132803811355
ACIC 2017,acic2017_misaligned,off-response outcome shift; strength=0,3000,0.0,pi_hat,0.29013206103265926,0.8158018284857819,0.2924479166666667,0.8134895833333333,1.4081180539695248,0.68102165226301,0.7087266669433055,0.8144076338904418,2.067655337081281,0.8702357854354875,0.7270964017065148,-0.10568096694713625,-0.832777368653651,-1.4367772642869643,0.11073051654850155,1.5475077808354658,-0.0209377046223724,-0.16944906367032664
ACIC 2017,acic2017_misaligned,off-response outcome shift; strength=0,3000,0.0,true_pi,0.206053209020998,0.8721144385363397,0.20656249999999998,0.8760416666666666,0.8829215393821048,0.751319666076489,0.745043095910142,0.7530223383285239,1.1751609591066101,0.9894037108698616,0.1316018733056158,-0.007979242418381993,-0.13958111572399778,-0.060684898009872895,-0.0055009063443780095,0.05518399166549488,-0.7864027913176558,-0.29262984072569304
