dataset,setting,bin_by,low_mean_true_pi,high_mean_true_pi,low_response_rate,high_response_rate,low_responders,high_responders,low_p_true_rmse,high_p_true_rmse,low_m_true_rmse,high_m_true_rmse,low_p_true_nrmse,high_p_true_nrmse,low_m_true_nrmse,high_m_true_nrmse,low_p_label_skill,high_p_label_skill,low_m_observed_skill,high_m_observed_skill,low_m_observed_rmse,high_m_observed_rmse
ACIC 2016,low-response outcome shift; strength=0,pi_hat,0.2901113659046727,0.8126378137367216,0.29229166666666667,0.8167708333333333,175.375,490.0625,0.3798956264654304,0.18673495257986383,0.7059562096673788,0.7957719045024374,1.4068510253567859,0.6914790154863322,0.7061784553343013,0.796075446305036,-0.14577296814794852,-0.19548432021621343,0.24226267405484264,0.19584508718578014,1.199307470756573,1.271149950949427
ACIC 2016,low-response outcome shift; strength=0,true_pi,0.20710624294851765,0.8715005903717976,0.20802083333333332,0.8725520833333333,124.8125,523.53125,0.2358031240140986,0.20547432871253182,0.7542903841747026,0.7467220378351108,0.8732928768723304,0.7608345939378898,0.7544854841551021,0.7471038469527795,0.11262003982632955,-0.4091304791646059,0.3072474731591148,0.2059444892525617,1.2658008687599307,1.24188037960772
ACIC 2016,low-response outcome shift; strength=3,pi_hat,0.2907223514632368,0.8133340355524892,0.28833333333333333,0.8091666666666667,173.0,485.5,0.3774637192640323,0.18620988096216795,1.0212689645278188,0.7954180649840422,1.3989069428591874,0.6898036031479561,0.9522905439845395,0.741859470769966,-0.13060775501042649,-0.20622625857999,0.27822679039682224,0.21489809057556666,1.2213456314575466,1.2661740140075242
ACIC 2016,low-response outcome shift; strength=3,true_pi,0.2078233009182115,0.871721520690134,0.20739583333333333,0.8736979166666666,124.4375,524.21875,0.24028869173936496,0.2045451440699083,1.0828841636858337,0.7611640176463982,0.8905824652113233,0.7578228467204792,1.0096738262960523,0.710018811468071,0.10687483662439888,-0.38531001306639345,0.25180881181218095,0.19079261115445784,1.3097066949452802,1.25117482147693
ACIC 2016,off-response outcome shift; strength=0,pi_hat,0.292238602092446,0.8116780160817192,0.29328125,0.8064583333333334,175.96875,483.875,0.3799145435036832,0.18787219115151943,0.683518894225859,0.8025891648858829,1.4080779801983958,0.696087238412502,0.686004488942056,0.8055129937826798,-0.14136518620890584,-0.20835707963168892,0.28834568737862126,0.19010552981340262,1.1759739046007525,1.2684002784064872
ACIC 2016,off-response outcome shift; strength=0,true_pi,0.20691587397156844,0.8709910489568147,0.20604166666666668,0.8708333333333333,123.625,522.5,0.2395919279382188,0.2017019863683546,0.7284796309719934,0.7430778599734589,0.8880212223486212,0.7473152498456181,0.7312519929712507,0.7461454986031134,0.09430140506178467,-0.3859768253745158,0.30028391137143284,0.19856139565184538,1.260688142999014,1.2375777200559108
ACIC 2016,off-response outcome shift; strength=3,pi_hat,0.2877894020559953,0.8127728168610706,0.2914583333333333,0.8126562500000001,174.875,487.59375,0.37635627903833596,0.18688951206936172,0.76311332153516,0.8188037062884387,1.3892342726437572,0.6897504976649524,0.6910633251242482,0.7416742058257193,-0.13643220086364338,-0.20037325504188688,0.31602332726133103,0.2374276312532697,1.2524033968170276,1.294167144592865
ACIC 2016,off-response outcome shift; strength=3,true_pi,0.203104290555787,0.8713028893720058,0.20124999999999998,0.8707291666666667,120.75,522.4375,0.2416913656968651,0.20728194454888108,0.7969359347253743,0.7782702997986863,0.8921676792556741,0.7648120544374073,0.7218037942632636,0.7050075885789673,0.09187845659878376,-0.3930857798011856,0.38569931329634777,0.20483383596640473,1.2906396411698147,1.2642032959812568
ACIC 2017,low-response outcome shift; strength=0,pi_hat,0.2881003824529289,0.8135195471098715,0.28651041666666666,0.8094791666666666,171.90625,485.6875,0.38064164529778255,0.1862061830424443,0.711634787271347,0.813457654064944,1.403791230990985,0.6862925672565203,0.7097528018072862,0.8119968682046586,-0.14640043620394366,-0.20489187001025358,0.2606333471967248,0.21051917571859058,1.2105623553614517,1.2875402411306562
ACIC 2017,low-response outcome shift; strength=0,true_pi,0.200969834403572,0.8717098411107238,0.20244791666666667,0.8704166666666666,121.46875,522.25,0.23509819898697365,0.20967864008916134,0.7596033132063431,0.7484231036654521,0.8667197089487529,0.7732111936387283,0.7576420792817129,0.7468069892705933,0.10740186242470283,-0.39776971166461417,0.2819314842838805,0.1838312225367884,1.2863128907472612,1.2503553451708491
ACIC 2017,low-response outcome shift; strength=3,pi_hat,0.28883868077347746,0.8147687554480475,0.28411458333333334,0.8146354166666666,170.46875,488.78125,0.37939363842280915,0.18461855283238107,0.9840251268890534,0.792383246616946,1.4027198893597266,0.6824474824421093,0.9276097479232948,0.7468882650269804,-0.132656588468121,-0.19623941108340676,0.24310711018857867,0.1987507438365141,1.243532855584825,1.2830604902479958
ACIC 2017,low-response outcome shift; strength=3,true_pi,0.20476661145978617,0.8721223118123353,0.19875,0.86875,119.25,521.25,0.23864959653859028,0.2086239434368661,1.0499793902807883,0.7509220066507984,0.8823895513411274,0.7709882973296524,0.9899183680696702,0.7076658314079134,0.08426453133698167,-0.38023590232668575,0.2571374557764608,0.1687768822725104,1.340054189267173,1.248394774470102
ACIC 2017,off-response outcome shift; strength=0,pi_hat,0.29013206103265926,0.8158018284857819,0.2924479166666667,0.8134895833333333,175.46875,488.09375,0.3805327328294382,0.18412495826158537,0.708584242743798,0.8140561628488312,1.4081180539695248,0.68102165226301,0.7087266669433055,0.8144076338904418,-0.14829955331089992,-0.20071212812111397,0.2857543604827718,0.20301307148423217,1.1934344700654465,1.2882302463213873
ACIC 2017,off-response outcome shift; strength=0,true_pi,0.206053209020998,0.8721144385363397,0.20656249999999998,0.8760416666666666,123.9375,525.625,0.2385585051123557,0.20308551472095615,0.7448114538766466,0.7526623335507114,0.8829215393821048,0.751319666076489,0.745043095910142,0.7530223383285239,0.10718568309503537,-0.39402625979314776,0.3486953106818808,0.17397213372078135,1.2279278206971915,1.2502253388920206
ACIC 2017,off-response outcome shift; strength=3,pi_hat,0.29666857287792503,0.8135994651228111,0.2997916666666667,0.8118229166666666,179.875,487.09375,0.38293532956162124,0.1860035345724137,0.763822749659487,0.8310247201895514,1.4256326842806506,0.6923170776449221,0.6864319418996024,0.7471360830936243,-0.1456442239729678,-0.2012563698059846,0.3402311623633145,0.25532921549293525,1.2348969448736506,1.3089704602596774
ACIC 2017,off-response outcome shift; strength=3,true_pi,0.2136289980193321,0.8720890128622347,0.21661458333333333,0.8711979166666667,129.96875,522.71875,0.2376013998630449,0.20564597320769884,0.7964334517387099,0.7807072816900507,0.8847052914259248,0.7652855911908248,0.715822180577179,0.7017172420207933,0.12188678946550707,-0.3964467388825231,0.4025791019137096,0.21970325653402561,1.2696168607360718,1.2777067288627184
IHDP,low-response outcome shift; strength=0,pi_hat,0.2554452929512958,0.8284914292895442,0.25406249999999997,0.8269791666666667,152.4375,496.1875,0.32284139207448753,0.16813507112392334,0.5558203929357961,0.6435021206605283,1.180255844705197,0.6143791070923057,1.3708732099022176,1.5869180828461125,0.010537359348182462,-0.17793758093711692,-0.19463102544885927,-0.17478720761082922,1.1665197201398492,1.1917593345728341
IHDP,low-response outcome shift; strength=0,true_pi,0.19923336126005364,0.874658974251564,0.19776041666666666,0.8756770833333334,118.65625,525.40625,0.18923157628909693,0.19238646815899227,0.6007220618323514,0.6923419025203958,0.6921092764929042,0.7029207350586297,1.481666515244979,1.7073656355429767,0.23807419599921992,-0.322892250394444,-0.29005452547934024,-0.22375303088517426,1.181610346331269,1.2163425489444295
IHDP,low-response outcome shift; strength=3,pi_hat,0.2652994023681859,0.8282519087913316,0.26666666666666666,0.8281770833333333,160.0,496.90625,0.33019552197095536,0.16828116795013037,0.9547751111432707,0.6357451104058902,1.2151234852656358,0.6191756257313574,1.776864697857149,1.1841623635761533,-0.005215768218938387,-0.17713479691431058,-0.14899737445950084,-0.18900359273196848,1.1966260845193484,1.1785156572872173
IHDP,low-response outcome shift; strength=3,true_pi,0.2079799583891868,0.8747639884941913,0.20875,0.87546875,125.25,525.28125,0.19541710743968682,0.19239806870899478,0.9857856849196878,0.6824069788697598,0.719316385556424,0.7077367214653524,1.8342866542514618,1.2715964899403884,0.2343439510386625,-0.3524543689606488,-0.25694659111093543,-0.23550471165020392,1.2634080645147279,1.2007953065111368
IHDP,off-response outcome shift; strength=0,pi_hat,0.268716013181412,0.828787106233244,0.27265625000000004,0.8321875000000001,163.59375,499.3125,0.3307894476996081,0.16856114112593118,0.5636606422620043,0.6406663062701976,1.220213153189008,0.6216007813532843,1.398701407107235,1.5899880783961444,-0.008658332509788171,-0.17145426569681765,-0.14351184572075748,-0.2138295239212891,1.153350192090367,1.1944762683646795
IHDP,off-response outcome shift; strength=0,true_pi,0.21113418509830206,0.8745918063002682,0.21213541666666666,0.8763541666666668,127.28125,525.8125,0.19456279646922275,0.1952591023890703,0.6104650102951186,0.6826902027704956,0.717585338577803,0.7199841279110989,1.5145779954713077,1.6942839698878989,0.2183105173967806,-0.36935876781214183,-0.31892995714651606,-0.25965231978133907,1.2165582215045447,1.2234817344748974
IHDP,off-response outcome shift; strength=3,pi_hat,0.2692108676831993,0.8287779239276141,0.26906250000000004,0.8246354166666666,161.4375,494.78125,0.3314848672895132,0.1675968188099818,0.5850992732976594,0.6395158947769142,1.2213365085474948,0.6171039857047126,1.0305015085976246,1.1250013531171958,-0.004010224794048851,-0.18154803689958834,-0.08963835371845912,-0.0014271526087944637,1.2086975396429671,1.1914662094794637
