dataset,design,setting,n,strength,fit,formula,p_intercept,p_scarcity_slope,p_r2,m_intercept,m_scarcity_slope,m_r2,slope_gap_m_minus_p
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9534441269022055,0.14384881779267253,0.020931649404501984,0.9996033672667168,0.0012255199179880213,7.57780924642848e-06,-0.1426232978746845
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=3,3000,3.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9480373801400329,0.16041878430991235,0.031410577241834936,0.9601596929352374,0.12299483057409662,0.08410826376382263,-0.03742395373581574
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9765255656167399,0.0726474397705585,0.006051011400659112,0.9685634269058678,0.09728824614736323,0.050681687737740067,0.024640806376804728
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=3,3000,3.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9493904256681353,0.15674232509361402,0.027458241907181158,0.49387347690821404,1.5675185786141732,0.8571925461600035,1.4107762535205592
ACIC 2017,acic2017_misaligned,off-response outcome shift; strength=0,3000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9636726338469913,0.1123065381171706,0.013279241666851793,0.9943000262745331,0.01762154497437974,0.0015104325711630118,-0.09468499314279086
ACIC 2017,acic2017_misaligned,off-response outcome shift; strength=3,3000,3.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9682452178943994,0.09868144886080067,0.010173417467951196,0.967589585721339,0.10071889734784113,0.06004073400675869,0.0020374484870404608
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9921491437215805,0.024167816110597387,0.0006870408718112619,0.9666702025871451,0.10260134516684415,0.043225389610595744,0.07843352905624676
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=3,3000,3.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9686236374293206,0.09689289266611117,0.010945321676801067,0.5470304450301535,1.3988087488421403,0.8199985293610259,1.3019158561760291
IHDP,ihdp_misaligned,off-response outcome shift; strength=0,3000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.0968123243052708,-0.30465561066582403,0.08078642684191784,1.1118894612697356,-0.3521013713369291,0.29328169736337717,-0.047445760671105064
IHDP,ihdp_misaligned,off-response outcome shift; strength=3,3000,3.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.0804618555499133,-0.2525469502064183,0.05453337687594628,1.0996310684348996,-0.31271367416368334,0.25313296755969505,-0.06016672395726502
IHDP,ihdp_semisynth,low-response outcome shift; strength=0,3000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.112335584040577,-0.35015629137527304,0.09900446622181647,1.1302543435246484,-0.4060100657654226,0.4084316207742986,-0.055853774390149546
IHDP,ihdp_semisynth,low-response outcome shift; strength=3,3000,3.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.0903245304611455,-0.2835059890691529,0.06475370172860939,0.5527243274142328,1.4038858690502274,0.836756754902556,1.6873918581193803
Kang-Schafer,kang_schafer_cc,"outcome correct, response correct; n=1000",1000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.002406691425312,-0.004809809263702378,1.0658758510251332e-05,0.2227153954706122,1.5534150544098422,0.37604684666164145,1.5582248636735445
Kang-Schafer,kang_schafer_cc,"outcome correct, response correct; n=200",200,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9866395383009641,0.026875212021900685,0.00026702836277459063,0.36256364447585304,1.2822339220818575,0.2671653979100729,1.2553587100599568
Kang-Schafer,kang_schafer_ci,"outcome correct, response incorrect; n=1000",1000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.0323945728941966,-0.06469406331254372,0.0020353095755184514,0.22174877575312554,1.5542181753386357,0.3878446758371291,1.6189122386511794
Kang-Schafer,kang_schafer_ci,"outcome correct, response incorrect; n=200",200,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9489359786310876,0.10181285954190678,0.0040302308520990815,0.3618028610199902,1.2724551245503093,0.2895811315318997,1.1706422650084025
Kang-Schafer,kang_schafer_ic,"outcome incorrect, response correct; n=1000",1000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.0023700880978832,-0.004743338801509465,1.0476603745313007e-05,0.25870845504318624,1.4835722568986,0.5553594797040364,1.4883155957001095
Kang-Schafer,kang_schafer_ic,"outcome incorrect, response correct; n=200",200,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9989858941908634,0.002020372423362835,1.5568907779650587e-06,0.2943490825659345,1.4058470440265285,0.3197036965915462,1.4038266716031658
Kang-Schafer,kang_schafer_ii,"outcome incorrect, response incorrect; n=1000",1000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9771329303825169,0.04594518822258537,0.0010781026573969399,0.2820439103921574,1.4425384723263133,0.5596522334165377,1.3965932841037279
Kang-Schafer,kang_schafer_ii,"outcome incorrect, response incorrect; n=200",200,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),0.9898555543198296,0.02037925959950814,0.0001531685070873534,0.21911418349973869,1.5687278806312714,0.26874421872646614,1.5483486210317634
Twins,twins_misaligned,off-response outcome shift; strength=0,3000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.237798099672205,-0.6486147259411756,0.20001063754780157,0.9138930590077644,0.23486407170746515,0.29573700143553594,0.8834787976486408
Twins,twins_misaligned,off-response outcome shift; strength=3,3000,3.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.2241871081371762,-0.6131885635351458,0.17276529819956277,0.9234631871995704,0.2093407541968795,0.2686443959915854,0.8225293177320253
Twins,twins_semisynth,low-response outcome shift; strength=0,3000,0.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.230026730339225,-0.6287346220190676,0.173762663972437,0.9109802050743812,0.24331879617744395,0.2622055441200477,0.8720534181965116
Twins,twins_semisynth,low-response outcome shift; strength=3,3000,3.0,normalized_squared_true_error_on_response_scarcity,error_over_mean = intercept + scarcity_slope * (1 - true_pi),1.227531160238635,-0.6195363498347495,0.16938453586229607,0.705381039967142,0.8022072884409858,0.8501989839142282,1.4217436382757351
