dataset,design,setting,n,epsilon,strength,rep,seed,bin_by,bin,bins,units,responders,response_rate,mean_true_pi,mean_pi_hat,p_label_rmse,p_label_skill,p_true_rmse,p_true_nrmse,p_calibration_error,m_observed_rmse,m_observed_skill,m_true_rmse,m_true_nrmse,m_observed_label_fraction
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,pi_hat,1,5,600,194,0.3233333333333333,0.3329297333888773,0.08173018814277991,0.5053127116705027,-0.16706537462910442,0.4035583155844791,1.537667225880192,-0.24160314519055343,1.2518312776363596,0.13417375026463518,0.663581011158332,0.6587369580764609,0.3233333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,pi_hat,2,5,600,430,0.7166666666666667,0.721912927862251,0.6280763092637062,0.47172353238003994,-0.09587295157861742,0.22724817058167665,0.8658774966353701,-0.08859035740296047,1.19879836741164,0.3272171236339344,0.7796489461737732,0.7739576126109002,0.7166666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,pi_hat,3,5,600,461,0.7683333333333333,0.7733632541831563,0.8911075273156166,0.43924696460051865,-0.08393767892565318,0.1672100450438563,0.6371158669584285,0.12277419398228327,1.1718012400509212,0.27546643396709714,0.6343828188432089,0.629751908679973,0.7683333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,pi_hat,4,5,600,459,0.765,0.7889332777893495,0.9599231322606404,0.4666187194798939,-0.21114186827454273,0.19126950911246937,0.7287889856673502,0.19492313226064045,1.321618373212304,0.23561314847124915,0.8237368909209357,0.8177237212279826,0.765
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,pi_hat,5,5,600,492,0.82,0.8105903596472958,0.9877247827251753,0.4191387561416649,-0.190225588753266,0.1889461355661938,0.7199362989115072,0.16772478272517521,1.1977651275069046,0.2954248712093892,0.8328993701227099,0.8268193155507916,0.82
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,true_pi,1,5,600,137,0.22833333333333333,0.24246873220856766,0.30144008913717696,0.39826487907623664,0.09978765893617647,0.2573566452414303,0.9805989951590597,0.07310675580384365,1.1689906450656171,0.4407856818578846,0.7058013312233526,0.7006490754230651,0.22833333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,true_pi,2,5,600,421,0.7016666666666667,0.7219435048253837,0.733051144387573,0.5454431170955975,-0.4212363464922064,0.2932617606846709,1.1174072757133935,0.031384477720906336,1.1996516963199753,0.2958867609655784,0.7025241528957504,0.6973958200611757,0.7016666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,true_pi,3,5,600,459,0.765,0.7722737554676109,0.8004582515937121,0.49058429856591884,-0.33874539841142837,0.25863062620790245,0.9854532100343056,0.035458251593712097,1.231042262412298,0.19771622154442936,0.8152697650103042,0.8093184042098184,0.765
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,true_pi,4,5,600,498,0.83,0.8190124904533779,0.8412524074564377,0.45345089477451367,-0.45724815004824304,0.23146685007100434,0.8819518158520044,0.011252407456437746,1.2604453085816612,0.07847673411665312,0.7753201561278753,0.7696604221563258,0.83
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,1,332727150,true_pi,5,5,600,521,0.8683333333333333,0.8720310699159897,0.8723600471330186,0.4022418102247872,-0.41518138442257957,0.20504464126358332,0.7812759954078355,0.004026713799685239,1.2256558713608665,0.2995303344016472,0.7519413447214375,0.7464522729622471,0.8683333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,pi_hat,1,5,600,187,0.31166666666666665,0.2848545198916892,0.0632034056550765,0.5071076942510435,-0.19870203525397234,0.3795636627955433,1.3741369531015548,-0.24846326101159016,1.2286609571205696,0.21873233127375113,0.7469429265856458,0.7390794913891636,0.31166666666666665
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,pi_hat,2,5,600,415,0.6916666666666667,0.6911288134416441,0.6005409695953131,0.4740544354488361,-0.053753680191954256,0.24437809577978192,0.8847237100261547,-0.0911256970713536,1.2947928276590608,0.30635596931503806,0.7243656435510354,0.7167398905063435,0.6916666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,pi_hat,3,5,600,464,0.7733333333333333,0.7710143234048463,0.8823249300320943,0.4345258569116211,-0.07715167528081146,0.15449572420179272,0.5593219386657323,0.10899159669876099,1.2130498876556421,0.17882881732938694,0.7188358938645661,0.7112683552118506,0.7733333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,pi_hat,4,5,600,447,0.745,0.7839130007637298,0.9548804174860318,0.4843153980322281,-0.2346961693439431,0.18950652975305463,0.6860718001026973,0.20988041748603184,1.3581994480668644,0.10047958849935457,0.8092461941493252,0.8007268618426642,0.745
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,pi_hat,5,5,600,485,0.8083333333333333,0.8190087238769702,0.9854559337099393,0.4316526252646325,-0.2026290632581933,0.17925214902444603,0.6489477946418696,0.177122600376606,1.3140448683913812,0.10193440484232485,0.772678916940336,0.7645445463280832,0.8083333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,true_pi,1,5,600,105,0.175,0.17812174199819486,0.2360621124166937,0.4076857207154073,-0.15122179653846657,0.23340949258031646,0.8450140000152353,0.06106211241669371,1.471376765085738,0.08315556003791036,0.8352108537184284,0.8264181786828207,0.175
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,true_pi,2,5,600,425,0.7083333333333334,0.7162141567728946,0.7523557353772533,0.5465044193319779,-0.4456490611869266,0.2829910196537798,1.0245143453355703,0.04402240204392001,1.2327240141301434,0.2161593999711353,0.7161567275325653,0.7086173937802277,0.7083333333333334
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,true_pi,3,5,600,463,0.7716666666666666,0.7677197111712837,0.7787786648732921,0.5000991161088577,-0.41942717812788466,0.2606491743704583,0.9436300083624941,0.007111998206625382,1.282212093050034,0.0734826729979785,0.7583756384272163,0.7503918454557471,0.7716666666666666
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,true_pi,4,5,600,484,0.8066666666666666,0.8168865722418942,0.8369632354254524,0.4617643234138767,-0.36722471744149177,0.22683640172004166,0.821217393720857,0.030296568758785725,1.2702464410661145,0.17190118243002472,0.7162780950793639,0.7087374836312275,0.8066666666666666
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,2,332727187,true_pi,5,5,600,521,0.8683333333333333,0.8709771991946124,0.8822459083857636,0.40420760976966835,-0.4290474755571094,0.20431730391893066,0.7396913482319264,0.013912575052430232,1.3198231178359072,0.15680859337983533,0.7433847777975642,0.7355588009816606,0.8683333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,3,332727224,pi_hat,1,5,600,174,0.29,0.2779418037908769,0.05949568931668182,0.4896363293208461,-0.16436976683240445,0.3783911756651153,1.3882757644854358,-0.23050431068331817,1.1812769191809789,0.29765943935202677,0.6788807754032175,0.6750829187929648,0.29
