dataset,design,setting,n,strength,method,role,bin,rep_bins,mean_mean_true_pi,sd_mean_true_pi,mean_response_rate,sd_response_rate,mean_outcome_rmse,sd_outcome_rmse,mean_outcome_nrmse,sd_outcome_nrmse,mean_mean_selected_p,sd_mean_selected_p,mean_floor_fraction,sd_floor_fraction,mean_selected_tau,sd_selected_tau
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,aipw,primary,1,16,0.21075708771610085,0.017400196102516762,0.205625,0.0258660746817998,0.7225131525998397,0.03863049541947847,0.721642755248521,0.041315519280059367,0.5822155750108262,0.009218488474543455,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,aipw,primary,2,16,0.7179768976081372,0.001703411626141435,0.7075,0.014080621040596502,0.7088952140599403,0.02786674749689388,0.7077681398111144,0.02445434114077078,0.8017642584070563,0.01565695174558903,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,aipw,primary,3,16,0.7679596559744498,0.0021649963132096186,0.7669791666666668,0.018570611770423115,0.716780423284771,0.048594230336790945,0.7153173165061796,0.041711073349752305,0.8351600993735095,0.011480440595392421,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,aipw,primary,4,16,0.8175481197493578,0.002246901619890265,0.8122916666666666,0.014042037581649071,0.6947403118828808,0.03037709298000441,0.6937554279845339,0.030237299365205566,0.8688414308552941,0.009412534718102519,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,aipw,primary,5,16,0.871016741303895,0.0014768483152072763,0.8716666666666667,0.012500000000000004,0.7314330930836148,0.025304931440646623,0.7305267379217507,0.028577672614308994,0.9003119804151356,0.008593494855757926,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,ctmle,primary,1,16,0.21075708771610085,0.017400196102516762,0.205625,0.0258660746817998,0.7233894872527324,0.038584866891757476,0.7225153471929882,0.041220827145493036,0.5822155750108262,0.009218488474543455,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,ctmle,primary,2,16,0.7179768976081372,0.001703411626141435,0.7075,0.014080621040596502,0.7091864184759655,0.02824018883822967,0.7080577287245433,0.024855172205666787,0.8017642584070563,0.01565695174558903,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,ctmle,primary,3,16,0.7679596559744498,0.0021649963132096186,0.7669791666666668,0.018570611770423115,0.716701093399083,0.04870062506645181,0.7152390031432951,0.041856366532034825,0.8351600993735095,0.011480440595392421,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,ctmle,primary,4,16,0.8175481197493578,0.002246901619890265,0.8122916666666666,0.014042037581649071,0.6948073883673381,0.03055385124559682,0.6938199228361757,0.030350678811731577,0.8688414308552941,0.009412534718102519,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,ctmle,primary,5,16,0.871016741303895,0.0014768483152072763,0.8716666666666667,0.012500000000000004,0.7315643263313558,0.025358388118520356,0.7306564309960585,0.028590523503150025,0.9003119804151356,0.008593494855757926,0.0,0.0,0.5,0.0
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,1,16,0.21075708771610085,0.017400196102516762,0.205625,0.0258660746817998,0.5372076153988846,0.06653782252318889,0.5367400287373341,0.06909007546126474,0.4372287858036484,0.06928100374881682,0.0078125,0.014406291425585175,nan,nan
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,2,16,0.7179768976081372,0.001703411626141435,0.7075,0.014080621040596502,0.47653014980064945,0.061606902933978344,0.47597332371382894,0.062344473875194886,0.6962347958492754,0.016529682980201854,0.0,0.0,nan,nan
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,3,16,0.7679596559744498,0.0021649963132096186,0.7669791666666668,0.018570611770423115,0.5246918841543409,0.07334466237070614,0.5234158632477235,0.06948314569257409,0.7232998778016355,0.021121855116878637,0.0,0.0,nan,nan
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,4,16,0.8175481197493578,0.002246901619890265,0.8122916666666666,0.014042037581649071,0.4692878857624897,0.045826122978828536,0.4686822143511016,0.04672528454889992,0.7521353102100421,0.024330498657754256,0.0,0.0,nan,nan
ACIC 2016,acic2016_misaligned,off-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,5,16,0.871016741303895,0.0014768483152072763,0.8716666666666667,0.012500000000000004,0.48427101713879805,0.050440633375194416,0.48393558499283285,0.05329555461483067,0.7598897187005829,0.034015995667749876,0.0,0.0,nan,nan
