dataset,method,role,settings,mean_low_mean_true_pi,mean_high_mean_true_pi,mean_low_response_rate,mean_high_response_rate,mean_low_outcome_nrmse,mean_high_outcome_nrmse,mean_low_high_outcome_nrmse_ratio,mean_low_mean_selected_p,mean_high_mean_selected_p,mean_low_floor_fraction,mean_high_floor_fraction,mean_mean_selected_tau
ACIC 2016,aipw,primary,4,0.20903772065715479,0.8714215240531487,0.20632812499999997,0.8719270833333335,0.8026330260006262,0.7213882916847612,1.1141800497882244,0.5834438280590499,0.8998221015712867,0.0,0.0,0.5
ACIC 2016,ctmle,primary,4,0.20903772065715479,0.8714215240531487,0.20632812499999997,0.8719270833333335,0.8012482363916876,0.7214806386483414,1.1121305166577855,0.5834438280590499,0.8998221015712867,0.0,0.0,0.5
ACIC 2016,cui_selective_ml,primary,4,0.20903772065715479,0.8714215240531487,0.20632812499999997,0.8719270833333335,0.6439579987969549,0.48246384015025306,1.3336364990658438,0.4154806815185056,0.7727614576620898,0.015208333333333332,2.604166666666667e-05,nan
ACIC 2016,ma_dr_bc,primary,4,0.20903772065715479,0.8714215240531487,0.20632812499999997,0.8719270833333335,0.8026330260006262,0.7213882916847612,1.1141800497882244,0.27957318227485906,0.8807920366936403,0.502734375,0.004765625000000001,0.05
ACIC 2016,tmle,diagnostic,4,0.20903772065715479,0.8714215240531487,0.20632812499999997,0.8719270833333335,0.7850720662821153,0.7216169360784137,1.0891693630370853,0.2795731826494254,0.8807920366971909,0.502734375,0.004765625000000001,0.05
ACIC 2017,aipw,primary,4,0.20730628268828455,0.8720740054286766,0.2067447916666667,0.8712499999999999,0.801554213348912,0.7326891326011032,1.095971427863042,0.5837713804685821,0.9033729166708265,0.0,0.0,0.5
ACIC 2017,ctmle,primary,4,0.20730628268828455,0.8720740054286766,0.2067447916666667,0.8712499999999999,0.8007380633743144,0.7326617333176875,1.0948702285291376,0.5837713804685821,0.9033729166708265,0.0,0.0,0.5
ACIC 2017,cui_selective_ml,primary,4,0.20730628268828455,0.8720740054286766,0.2067447916666667,0.8712499999999999,0.6404780182644483,0.4540514415285313,1.4167123286851522,0.41828845768169287,0.7708228498198814,0.033463541666666666,0.0,nan
ACIC 2017,ma_dr_bc,primary,4,0.20730628268828455,0.8720740054286766,0.2067447916666667,0.8712499999999999,0.801554213348912,0.7326891326011032,1.095971427863042,0.2741241201731997,0.8840987854920677,0.5375260416666666,0.004921875000000001,0.05
ACIC 2017,tmle,diagnostic,4,0.20730628268828455,0.8720740054286766,0.2067447916666667,0.8712499999999999,0.790559203101189,0.7326937899830062,1.0806628655610084,0.27412412057368785,0.884098785495735,0.5375260416666666,0.004921875000000001,0.05
IHDP,aipw,primary,4,0.2036122661137176,0.8746590356903485,0.20445312499999999,0.8765885416666667,1.4648453936207821,1.4781258453627715,1.010525897701593,0.5627659599141528,0.8832591697139045,0.0,0.0,0.5
IHDP,ctmle,primary,4,0.2036122661137176,0.8746590356903485,0.20445312499999999,0.8765885416666667,1.4580332587753224,1.4780126209635507,1.0052851916054932,0.5627659599141528,0.8832591697139045,0.0,0.0,0.5
IHDP,cui_selective_ml,primary,4,0.2036122661137176,0.8746590356903485,0.20445312499999999,0.8765885416666667,0.7995812214555675,0.5983650744233511,1.3962543099771376,0.43913642103424916,0.809767346124265,0.004218749999999999,0.0,nan
IHDP,ma_dr_bc,primary,4,0.2036122661137176,0.8746590356903485,0.20445312499999999,0.8765885416666667,1.4648453936207821,1.4781258453627715,1.010525897701593,0.2492490537415142,0.8720581147205667,0.5220052083333333,0.0009114583333333333,0.05
IHDP,tmle,diagnostic,4,0.2036122661137176,0.8746590356903485,0.20445312499999999,0.8765885416666667,1.415525359465049,1.4783718087082236,0.9686765650374558,0.2492490541304384,0.8720581147212458,0.5220052083333333,0.0009114583333333333,0.05
Kang-Schafer,aipw,primary,8,0.18176414252294598,0.8210952141550851,0.19015625,0.816875,0.541623053605942,0.37759551705144,1.4539544204304797,0.5256720546167344,0.8629764458606951,0.0,0.0,0.5
Kang-Schafer,ctmle,primary,8,0.18176414252294598,0.8210952141550851,0.19015625,0.816875,0.544941481925039,0.3759244008319311,1.469164685483547,0.5256720546167344,0.8629764458606951,0.0,0.0,0.5
Kang-Schafer,cui_selective_ml,primary,8,0.18176414252294598,0.8210952141550851,0.19015625,0.816875,0.36824602372188625,0.18610994104569906,1.6224049292826257,0.2449954403257104,0.7557575272314392,0.0170703125,0.0,nan
Kang-Schafer,ma_dr_bc,primary,8,0.18176414252294598,0.8210952141550851,0.19015625,0.816875,0.541623053605942,0.37759551705144,1.4539544204304797,0.1855017341019702,0.8372630360203912,0.4762109375,0.0069140625,0.05
Kang-Schafer,tmle,diagnostic,8,0.18176414252294598,0.8210952141550851,0.19015625,0.816875,0.5284240263341711,0.3780519084469508,1.4169066036209528,0.18550173445677504,0.8372630360255426,0.4762109375,0.0069140625,0.05
Twins,aipw,primary,4,0.0509039481495433,0.8723815282693252,0.050026041666666674,0.874375,0.9610465893783139,0.8447409347885872,1.1388575153198464,0.504280489742135,0.9004193588408331,0.0,0.0,0.5
Twins,ctmle,primary,4,0.0509039481495433,0.8723815282693252,0.050026041666666674,0.874375,0.9590362049110813,0.8446019973932497,1.1365757841825106,0.504280489742135,0.9004193588408331,0.0,0.0,0.5
Twins,cui_selective_ml,primary,4,0.0509039481495433,0.8723815282693252,0.050026041666666674,0.874375,0.7840662498490314,0.7438028970219313,1.0646426194814742,0.32026240925521765,0.7704271195057482,0.034453125,7.8125e-05,nan
Twins,ma_dr_bc,primary,4,0.0509039481495433,0.8723815282693252,0.050026041666666674,0.874375,0.9610465893783139,0.8447409347885872,1.1388575153198464,0.08352590067704053,0.8944356394372298,0.789921875,0.0011197916666666667,0.05
Twins,tmle,diagnostic,4,0.0509039481495433,0.8723815282693252,0.050026041666666674,0.874375,0.9528773092230092,0.8446334881311615,1.1287192343467156,0.0835259012655782,0.8944356394380641,0.789921875,0.0011197916666666667,0.05
