dataset,setting,method,role,low_mean_true_pi,high_mean_true_pi,low_response_rate,high_response_rate,low_outcome_nrmse,high_outcome_nrmse,low_high_outcome_nrmse_ratio,low_mean_selected_p,high_mean_selected_p,low_floor_fraction,high_floor_fraction,mean_selected_tau
ACIC 2016,low-response outcome shift; strength=0,aipw,primary,0.20842777329375825,0.8717020789939597,0.20854166666666668,0.869375,0.7483167765516383,0.7498094393923135,0.9980092770746058,0.5855853003946443,0.8999428912128011,0.0,0.0,0.5
ACIC 2016,low-response outcome shift; strength=0,ctmle,primary,0.20842777329375825,0.8717020789939597,0.20854166666666668,0.869375,0.7472350976421266,0.7500154998049382,0.9962928737292299,0.5855853003946443,0.8999428912128011,0.0,0.0,0.5
ACIC 2016,low-response outcome shift; strength=0,cui_selective_ml,primary,0.20842777329375825,0.8717020789939597,0.20854166666666668,0.869375,0.5276258755658043,0.4655184161637037,1.1334156872115237,0.4137846362701304,0.773942317047052,0.01875,0.0,nan
ACIC 2016,low-response outcome shift; strength=0,ma_dr_bc,primary,0.20842777329375825,0.8717020789939597,0.20854166666666668,0.869375,0.7483167765516383,0.7498094393923135,0.9980092770746058,0.2818556861345035,0.879644026734711,0.504375,0.005000000000000001,0.05
ACIC 2016,low-response outcome shift; strength=0,tmle,diagnostic,0.20842777329375825,0.8717020789939597,0.20854166666666668,0.869375,0.7494954962951708,0.7496866977452246,0.9997449581930307,0.2818556865102922,0.8796440267384362,0.504375,0.005000000000000001,0.05
ACIC 2016,low-response outcome shift; strength=3,aipw,primary,0.21304712581580226,0.8719680049295286,0.210625,0.8763541666666668,1.0171086754837728,0.7146328166171678,1.4232605218137397,0.5840675778749088,0.8980685262878736,0.0,0.0,0.5
ACIC 2016,low-response outcome shift; strength=3,ctmle,primary,0.21304712581580226,0.8719680049295286,0.210625,0.8763541666666668,1.0121857003936099,0.7145713460225867,1.4164935468341828,0.5840675778749088,0.8980685262878736,0.0,0.0,0.5
ACIC 2016,low-response outcome shift; strength=3,cui_selective_ml,primary,0.21304712581580226,0.8719680049295286,0.210625,0.8763541666666668,0.9336481935047839,0.48462663474335754,1.9265309138430113,0.40218123524600286,0.78152683454579,0.020729166666666667,0.0,nan
ACIC 2016,low-response outcome shift; strength=3,ma_dr_bc,primary,0.21304712581580226,0.8719680049295286,0.210625,0.8763541666666668,1.0171086754837728,0.7146328166171678,1.4232605218137397,0.2816619886235179,0.8791538877478646,0.50125,0.0046875,0.05
ACIC 2016,low-response outcome shift; strength=3,tmle,diagnostic,0.21304712581580226,0.8719680049295286,0.210625,0.8763541666666668,0.9376706472141656,0.7152783969154864,1.3109170516790483,0.28166198899697825,0.879153887751357,0.50125,0.0046875,0.05
ACIC 2016,off-response outcome shift; strength=0,aipw,primary,0.21075708771610085,0.871016741303895,0.205625,0.8716666666666667,0.721642755248521,0.7305267379217507,0.9878389356445686,0.5822155750108262,0.9003119804151356,0.0,0.0,0.5
ACIC 2016,off-response outcome shift; strength=0,ctmle,primary,0.21075708771610085,0.871016741303895,0.205625,0.8716666666666667,0.7225153471929882,0.7306564309960585,0.9888578496572293,0.5822155750108262,0.9003119804151356,0.0,0.0,0.5
ACIC 2016,off-response outcome shift; strength=0,cui_selective_ml,primary,0.21075708771610085,0.871016741303895,0.205625,0.8716666666666667,0.5367400287373341,0.48393558499283285,1.1091146123203222,0.4372287858036484,0.7598897187005829,0.0078125,0.0,nan
ACIC 2016,off-response outcome shift; strength=0,ma_dr_bc,primary,0.21075708771610085,0.871016741303895,0.205625,0.8716666666666667,0.721642755248521,0.7305267379217507,0.9878389356445686,0.27933958576937823,0.8824464256019177,0.4996875,0.005,0.05
ACIC 2016,off-response outcome shift; strength=0,tmle,diagnostic,0.21075708771610085,0.871016741303895,0.205625,0.8716666666666667,0.7276933367713355,0.7307363234598169,0.9958357254309274,0.2793395861416744,0.8824464256056429,0.4996875,0.005,0.05
ACIC 2016,off-response outcome shift; strength=3,aipw,primary,0.20391889580295772,0.8709992709852115,0.20052083333333331,0.8703125,0.7234638967185729,0.690584172807813,1.0476114646199837,0.5819068589558204,0.9009650083693366,0.0,0.0,0.5
ACIC 2016,off-response outcome shift; strength=3,ctmle,primary,0.20391889580295772,0.8709992709852115,0.20052083333333331,0.8703125,0.7230568003380258,0.6906792777697827,1.0468777964105,0.5819068589558204,0.9009650083693366,0.0,0.0,0.5
ACIC 2016,off-response outcome shift; strength=3,cui_selective_ml,primary,0.20391889580295772,0.8709992709852115,0.20052083333333331,0.8703125,0.5778178973798974,0.4957747247011181,1.165484782888518,0.40872806875424084,0.7756869603549343,0.013541666666666667,0.00010416666666666667,nan
ACIC 2016,off-response outcome shift; strength=3,ma_dr_bc,primary,0.20391889580295772,0.8709992709852115,0.20052083333333331,0.8703125,0.7234638967185729,0.690584172807813,1.0476114646199837,0.27543546857203666,0.8819238066900678,0.505625,0.004375,0.05
ACIC 2016,off-response outcome shift; strength=3,tmle,diagnostic,0.20391889580295772,0.8709992709852115,0.20052083333333331,0.8703125,0.7254287848477896,0.6907663261931265,1.0501797168453346,0.2754354689487567,0.8819238066933274,0.505625,0.004375,0.05
ACIC 2017,low-response outcome shift; strength=0,aipw,primary,0.20018831091159153,0.8715534915930576,0.2004166666666667,0.869375,0.7597874841237688,0.7491562766973499,1.0141909075010178,0.5793992695336541,0.9015638169273734,0.0,0.0,0.5
ACIC 2017,low-response outcome shift; strength=0,ctmle,primary,0.20018831091159153,0.8715534915930576,0.2004166666666667,0.869375,0.7601910153072626,0.7487176648507883,1.0153240012825941,0.5793992695336541,0.9015638169273734,0.0,0.0,0.5
ACIC 2017,low-response outcome shift; strength=0,cui_selective_ml,primary,0.20018831091159153,0.8715534915930576,0.2004166666666667,0.869375,0.5345054455762863,0.44672635282893414,1.196494100228212,0.4076036682590667,0.7699483941247403,0.03635416666666666,0.0,nan
ACIC 2017,low-response outcome shift; strength=0,ma_dr_bc,primary,0.20018831091159153,0.8715534915930576,0.2004166666666667,0.869375,0.7597874841237688,0.7491562766973499,1.0141909075010178,0.26576480595208707,0.8819140397089068,0.5373958333333334,0.0053125,0.05
ACIC 2017,low-response outcome shift; strength=0,tmle,diagnostic,0.20018831091159153,0.8715534915930576,0.2004166666666667,0.869375,0.764203294383395,0.7489751494059483,1.0203319762872305,0.2657648063524781,0.881914039712865,0.5373958333333334,0.0053125,0.05
ACIC 2017,low-response outcome shift; strength=3,aipw,primary,0.20791764828374404,0.8722376995196033,0.19854166666666667,0.8692708333333332,0.9966800073405255,0.7208377979596544,1.3826689029926675,0.5829191953502595,0.9029064269612233,0.0,0.0,0.5
ACIC 2017,low-response outcome shift; strength=3,ctmle,primary,0.20791764828374404,0.8722376995196033,0.19854166666666667,0.8692708333333332,0.9921486660845351,0.7208963250210587,1.376270944446211,0.5829191953502595,0.9029064269612233,0.0,0.0,0.5
