dataset,design,setting,n,strength,method,role,rep,bin_by,bin,bins,mean_true_pi,response_rate,outcome_rmse,outcome_nrmse,mean_selected_p,floor_fraction,selected_tau
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,1,true_pi,1,5,0.24246873220856766,0.22833333333333333,0.7452923341908391,0.7398517993237698,0.5976728694637616,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,1,true_pi,2,5,0.7219435048253837,0.7016666666666667,0.7147913236751333,0.7095734421262035,0.796615269680818,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,1,true_pi,3,5,0.7722737554676109,0.765,0.752269662237344,0.7467781938039753,0.8395377205808957,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,1,true_pi,4,5,0.8190124904533779,0.83,0.7286132869616411,0.723294506919943,0.8671747280160585,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,1,true_pi,5,5,0.8720310699159897,0.8683333333333333,0.723749868508678,0.7184665907745345,0.8959387564659118,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,2,true_pi,1,5,0.17812174199819486,0.175,0.7922439890586492,0.7839036473189637,0.5676585605740547,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,2,true_pi,2,5,0.7162141567728946,0.7083333333333334,0.7516442122107502,0.743731284270529,0.8028306017319361,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,2,true_pi,3,5,0.7677197111712837,0.7716666666666666,0.7606264949447633,0.7526190061007818,0.8320927050709724,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,2,true_pi,4,5,0.8168865722418942,0.8066666666666666,0.6905494405690195,0.6832796873086158,0.8706102178494135,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,2,true_pi,5,5,0.8709771991946124,0.8683333333333333,0.7629582031196268,0.7549261672380102,0.9010573451717695,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,3,true_pi,1,5,0.2005791918350344,0.195,0.7541275644609321,0.7499087554160587,0.5752221669753392,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,3,true_pi,2,5,0.719448017774075,0.7083333333333334,0.6808778651557063,0.6770688362442299,0.7953638342022896,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,3,true_pi,3,5,0.7716499409845172,0.7566666666666667,0.7272505409183303,0.7231820897643024,0.8302380174398423,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,3,true_pi,4,5,0.8228776504894815,0.815,0.7450899173283059,0.7409216675114256,0.8747425315777461,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,3,true_pi,5,5,0.8729898562799417,0.8766666666666667,0.7591666585160349,0.7549196593126533,0.9021852427721023,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,4,true_pi,1,5,0.2113276331319864,0.19666666666666666,0.8147404998875722,0.8114598716219648,0.5879807568589847,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,4,true_pi,2,5,0.7199418454488649,0.7,0.738891624578116,0.735916408850966,0.7929774163166682,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,4,true_pi,3,5,0.7724248975907797,0.775,0.646689756184008,0.6440857998402288,0.8314499461650848,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,4,true_pi,4,5,0.8225584878150386,0.8616666666666667,0.7510263923356968,0.7480023148395447,0.8793315881490708,0.0,0.5
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,4,true_pi,5,5,0.8736733180587377,0.88,0.7692219853292893,0.7661246415886183,0.9102618546287219,0.0,0.5
