block,panel,dataset,method,method_label,design,n,strength,native_cell,c,reps,relative_mse_reduction,ci_lo,ci_hi,activation,harm,gross_harm_mse,gross_benefit_mse
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",0,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",1,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",2,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",3,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",4,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",5,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",6,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",8,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",0,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",1,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",2,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",3,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",4,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",5,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",6,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",8,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,2,"breast cancer, s=2",0,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,2,"breast cancer, s=2",1,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,2,"breast cancer, s=2",2,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,2,"breast cancer, s=2",3,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,2,"breast cancer, s=2",4,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,2,"breast cancer, s=2",5,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,2,"breast cancer, s=2",6,96,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,real_breast_cancer_aligned,6000,2,"breast cancer, s=2",8,96,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",0,96,0.0047083538199427233,-0.013261612340672529,0.024593570685607507,0.11458333333333333,0.072916666666666671,0.0098937457135651365,0.014602099533507712
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",1,96,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",2,96,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",3,96,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",4,96,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",5,96,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",6,96,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,0,"breast cancer, s=0",8,96,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",0,96,0.0031481102373476233,-0.0027832506235357158,0.01112305436514602,0.083333333333333329,0.03125,0.0021256336249545209,0.0052737438623021741
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,real_breast_cancer_aligned,6000,1,"breast cancer, s=1",1,96,0,0,0,0,0,0,0
