block,panel,dataset,method,method_label,c,cells,equal_cell_relative_mse_reduction,ci_lo,ci_hi,mean_activation,mean_harm_rate,equal_cell_gross_harm_mse,equal_cell_gross_benefit_mse
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,0,2,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,1,2,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,2,2,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,3,2,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,4,2,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,5,2,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,6,2,0,0,0,0,0,0,0
emphasized,aligned_breast_ctmle,aligned breast cancer,ctmle,C-TMLE,8,2,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,0,2,0.007352438758951918,-0.0015454289553978595,0.016822688050840015,0.21875,0.072916666666666657,0.0065976159588996795,0.013950054717851651
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,1,2,0.00030131222051216211,-0.0019547918189694174,0.0023706374342417321,0.020833333333333332,0.005208333333333333,0.00077045946628704406,0.0010717716867992429
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,2,2,-0.00048549505029704676,-0.0016282975050623482,0,0.005208333333333333,0.005208333333333333,0.00048549505029708097,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,3,2,-0.00025458378698817175,-0.00085973737676312283,0,0.005208333333333333,0.005208333333333333,0.00025458378698812512,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,4,2,-7.7725676360107521e-05,-0.00026137567919159446,0,0.005208333333333333,0.005208333333333333,7.7725676360176611e-05,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,5,2,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,6,2,0,0,0,0,0,0,0
emphasized,aligned_breast_cui,aligned breast cancer,cui_selective_ml,selective ML,8,2,0,0,0,0,0,0,0
emphasized,aligned_digits_ctmle,aligned digits,ctmle,C-TMLE,0,2,0,0,0,0,0,0,0
emphasized,aligned_digits_ctmle,aligned digits,ctmle,C-TMLE,1,2,0,0,0,0,0,0,0
emphasized,aligned_digits_ctmle,aligned digits,ctmle,C-TMLE,2,2,0,0,0,0,0,0,0
emphasized,aligned_digits_ctmle,aligned digits,ctmle,C-TMLE,3,2,0,0,0,0,0,0,0
emphasized,aligned_digits_ctmle,aligned digits,ctmle,C-TMLE,4,2,0,0,0,0,0,0,0
emphasized,aligned_digits_ctmle,aligned digits,ctmle,C-TMLE,5,2,0,0,0,0,0,0,0
emphasized,aligned_digits_ctmle,aligned digits,ctmle,C-TMLE,6,2,0,0,0,0,0,0,0
emphasized,aligned_digits_ctmle,aligned digits,ctmle,C-TMLE,8,2,0,0,0,0,0,0,0
emphasized,aligned_digits_cui,aligned digits,cui_selective_ml,selective ML,0,2,1.1706108240916446e-05,-0.0013131393188447666,0.0013073457944806914,0.046875,0.020833333333333332,0.00074218431272324607,0.00075389042096429782
emphasized,aligned_digits_cui,aligned digits,cui_selective_ml,selective ML,1,2,0,0,0,0,0,0,0
emphasized,aligned_digits_cui,aligned digits,cui_selective_ml,selective ML,2,2,0,0,0,0,0,0,0
emphasized,aligned_digits_cui,aligned digits,cui_selective_ml,selective ML,3,2,0,0,0,0,0,0,0
emphasized,aligned_digits_cui,aligned digits,cui_selective_ml,selective ML,4,2,0,0,0,0,0,0,0
emphasized,aligned_digits_cui,aligned digits,cui_selective_ml,selective ML,5,2,0,0,0,0,0,0,0
emphasized,aligned_digits_cui,aligned digits,cui_selective_ml,selective ML,6,2,0,0,0,0,0,0,0
emphasized,aligned_digits_cui,aligned digits,cui_selective_ml,selective ML,8,2,0,0,0,0,0,0,0
natural,cui_s1_aipw,Cui scenario 1,aipw,AIPW,0,4,0.016998219899500289,0.0042618974255212759,0.031168130145505572,0.028645833333333332,0.005208333333333333,0.00048905227990100582,0.017487272179401343
natural,cui_s1_aipw,Cui scenario 1,aipw,AIPW,1,4,0.0067400908664994597,0,0.014601505166900137,0.0078125,0,0,0.0067400908664994605
natural,cui_s1_aipw,Cui scenario 1,aipw,AIPW,2,4,0.0024265734043681653,0,0.0078704559443338665,0.005208333333333333,0,0,0.0024265734043681822
natural,cui_s1_aipw,Cui scenario 1,aipw,AIPW,3,4,0.0019172787447825079,0,0.0065412913943464056,0.0026041666666666665,0,0,0.0019172787447825411
natural,cui_s1_aipw,Cui scenario 1,aipw,AIPW,4,4,0.001524137552307292,0,0.0051938128126594353,0.0026041666666666665,0,0,0.0015241375523073113
natural,cui_s1_aipw,Cui scenario 1,aipw,AIPW,5,4,0.0011100229963094399,0,0.0037502846405417633,0.0026041666666666665,0,0,0.0011100229963094891
natural,cui_s1_aipw,Cui scenario 1,aipw,AIPW,6,4,0.00067493507678903497,0,0.0022830234550450662,0.0026041666666666665,0,0,0.00067493507678907227
natural,cui_s1_aipw,Cui scenario 1,aipw,AIPW,8,4,0,0,0,0,0,0,0
natural,cui_s1_tmle,Cui scenario 1,tmle,plain TMLE (projection),0,4,0,0,0,0,0,0,0
natural,cui_s1_tmle,Cui scenario 1,tmle,plain TMLE (projection),1,4,0,0,0,0,0,0,0
natural,cui_s1_tmle,Cui scenario 1,tmle,plain TMLE (projection),2,4,0,0,0,0,0,0,0
natural,cui_s1_tmle,Cui scenario 1,tmle,plain TMLE (projection),3,4,0,0,0,0,0,0,0
natural,cui_s1_tmle,Cui scenario 1,tmle,plain TMLE (projection),4,4,0,0,0,0,0,0,0
natural,cui_s1_tmle,Cui scenario 1,tmle,plain TMLE (projection),5,4,0,0,0,0,0,0,0
natural,cui_s1_tmle,Cui scenario 1,tmle,plain TMLE (projection),6,4,0,0,0,0,0,0,0
natural,cui_s1_tmle,Cui scenario 1,tmle,plain TMLE (projection),8,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,0,4,0.0031715922317693546,-1.889286830922404e-05,0.0077076212007405982,0.015625,0.0026041666666666665,0.00026486221840993981,0.0034364544501793467
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,1,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,2,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,3,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,4,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,5,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,6,4,0,0,0,0,0,0,0
natural,cui_s2_aipw,Cui scenario 2,aipw,AIPW,8,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),0,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),1,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),2,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),3,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),4,4,0,0,0,0,0,0,0
natural,cui_s2_tmle,Cui scenario 2,tmle,plain TMLE (projection),5,4,0,0,0,0,0,0,0
