dgp,rep,seed,n,h,projection_learner,ref_error,repair_error,delta,selected_gamma,fold_gammas,ref_score_variance,selected_score_variance,score_variance_gain,trimmed_fraction,propensity_gradient_norm,outcome_gradient_norm,score_max_abs,mean_control
2,0,3108423026,10000,0.05,xgboost,-0.04835578582129357,-0.04835578582129357,0.0,0.0,0;0;0,19.770355081173694,19.770355081173694,0.0,0.078,0.03052895197170369,0.3070730332382157,66.0647989740794,0.0
2,1,3108423027,10000,0.05,xgboost,-0.10505976087326407,-0.10505976087326407,0.0,0.0,0;0;0,19.856013630656363,19.856013630656363,0.0,0.0744,0.02349741983145005,0.347842397924044,50.95270175133998,0.0
2,2,3108423028,10000,0.05,xgboost,-0.02904504312656998,-0.02904504312656998,0.0,0.0,0;0;0,19.53047440920051,19.53047440920051,0.0,0.0655,0.06679888856515256,0.3142941798139562,79.12538114635741,0.0
2,3,3108423029,10000,0.05,xgboost,0.018049207300384475,0.018049207300384475,0.0,0.0,0;0;0,21.1351534860721,21.1351534860721,0.0,0.082,0.03363966990627809,0.3817516700534389,56.04041611360085,0.0
2,4,3108423030,10000,0.05,xgboost,-0.043562259404420996,-0.043562259404420996,0.0,0.0,0;0;0,20.08608470750734,20.08608470750734,0.0,0.0842,0.031223128065641478,0.3419372472026439,62.82576528436869,0.0
2,5,3108423031,10000,0.05,xgboost,0.0467197592004608,0.0467197592004608,0.0,0.0,0;0;0,21.682127453733568,21.682127453733568,0.0,0.0725,0.039169474208619756,0.3611838831710092,52.194844929783024,0.0
2,6,3108423032,10000,0.05,xgboost,0.018013520702546616,0.018013520702546616,0.0,0.0,0;0;0,20.597920327397752,20.597920327397752,0.0,0.0733,0.01848041939453545,0.34113798574573984,69.66992015836067,0.0
2,7,3108423033,10000,0.05,xgboost,-0.032321050785974574,-0.032321050785974574,0.0,0.0,0;0;0,19.012552969501918,19.012552969501918,0.0,0.0764,0.06392153098409113,0.3665329864711467,59.207414201717576,0.0
2,8,3108423034,10000,0.05,xgboost,-0.0002809550756777239,-0.0002809550756777239,0.0,0.0,0;0;0,20.373851298938636,20.373851298938636,0.0,0.0654,0.023153408072212944,0.3354207447922609,82.20677667301834,0.0
2,9,3108423035,10000,0.05,xgboost,-0.03205435226803627,-0.03205435226803627,0.0,0.0,0;0;0,20.34225978022659,20.34225978022659,0.0,0.0711,0.04600318889248093,0.33114501574664895,74.25519352520269,0.0
2,10,3108423036,10000,0.05,xgboost,0.002276368674344256,0.002276368674344256,0.0,0.0,0;0;0,20.136092933764957,20.136092933764957,0.0,0.0729,0.04075648914070466,0.33188297031352443,63.51003200581158,0.0
2,11,3108423037,10000,0.05,xgboost,0.02299739837673502,0.02299739837673502,0.0,0.0,0;0;0,23.103774116959592,23.103774116959592,0.0,0.0842,0.04009343658178146,0.3471837402608492,77.18634452171639,0.0
3,0,3108523026,10000,0.05,xgboost,-0.030963340947252893,0.024605073162707818,0.05556841410996071,0.6666666666666666,0.5;1;0.5,55.709656110483316,43.44828232491142,0.2200942285706298,0.1403,0.4271434010022708,0.3324538113331708,105.22083129307434,0.05556841410996071
3,1,3108523027,10000,0.05,xgboost,0.03915368150737397,0.059687103119728385,0.020533421612354413,0.6666666666666666,0.5;0.5;1,66.18091740842107,54.38302201488318,0.17826732924733807,0.1423,0.37503071669124116,0.36784795174856966,132.02641775989034,0.020533421612354413
3,2,3108523028,10000,0.05,xgboost,0.014801854306949691,0.024774328379457686,0.009972474072507995,0.5,0.5;0.5;0.5,61.376769563564224,49.46729663023579,0.19403877098801212,0.1408,0.38488637241196205,0.3704543355531652,105.23247744918307,0.009972474072507993
3,3,3108523029,10000,0.05,xgboost,-0.019796971534362218,-0.01712521318736805,0.0026717583469941693,0.6666666666666666,0.5;1;0.5,59.77807624057483,47.072126168268795,0.2125520068791002,0.1411,0.3662551736210782,0.32873051555999266,143.77878188718796,0.00267175834699417
3,4,3108523030,10000,0.05,xgboost,0.04703500561948332,0.013498312588517511,-0.033536693030965806,0.5,0.5;0.5;0.5,61.5722744858195,51.190543871223696,0.16861047770757248,0.1456,0.3825446210505772,0.3653337908082568,202.39606082919522,-0.033536693030965806
3,5,3108523031,10000,0.05,xgboost,0.06081649124336763,0.005366456891118247,-0.055450034352249385,0.6666666666666666,1;0.5;0.5,62.484142821170785,52.719359831317256,0.1562761774263316,0.1356,0.43258041276320025,0.3642064092740612,214.71908040475498,-0.055450034352249385
3,6,3108523032,10000,0.05,xgboost,-0.09478608349582185,-0.14578150980617316,-0.05099542631035131,0.8333333333333334,0.5;1;1,59.931967336150095,47.056589030620266,0.21483323304428864,0.1467,0.3780212457955912,0.3384316282444381,74.88105343986648,-0.05099542631035132
3,7,3108523033,10000,0.05,xgboost,-0.02803966190440388,-0.06158329763036325,-0.03354363572595937,0.6666666666666666,0.5;1;0.5,56.86810954005018,44.57465507597204,0.21617483970379386,0.1383,0.40057241578249086,0.38891965482042434,86.41305192085888,-0.03354363572595937
3,8,3108523034,10000,0.05,xgboost,0.05880063988136125,0.08325032674511183,0.024449686863750583,0.8333333333333334,1;1;0.5,56.70407533460271,46.78407969877468,0.1749432572049106,0.144,0.4339230365987955,0.3477501474880618,106.70692168224224,0.02444968686375058
3,9,3108523035,10000,0.05,xgboost,0.027177860573217916,0.03592360139519162,0.008745740821973706,0.6666666666666666,0.5;1;0.5,60.0662779804006,50.060117410437385,0.1665853271818871,0.1432,0.3915494755218716,0.3572479198539274,108.10402341698973,0.008745740821973706
3,10,3108523036,10000,0.05,xgboost,0.028611262524961822,0.07328508614840565,0.044673823623443826,0.6666666666666666,0.5;0.5;1,59.6604216458885,47.67237229514608,0.20093805943740883,0.1429,0.42256995253230095,0.33599600075821967,142.67135898636872,0.04467382362344382
3,11,3108523037,10000,0.05,xgboost,0.07337605743610831,0.08189604272960968,0.00851998529350137,0.6666666666666666,1;0.5;0.5,59.39611197211854,45.51435997079202,0.233714826449294,0.1324,0.4369113934647441,0.3378000313880926,79.1069654786995,0.00851998529350137
