method,family,c,cells,equal_cell_relative_mse_reduction,ci_lo,ci_hi,mean_harm_rate,mean_activation
ctmle,alignment,0,10,0,0,0,0,0
ctmle,kang_schafer,0,8,0.14892872052329947,0.12562431503330501,0.17151883547271449,0.24739583333333331,0.77734375
cui_selective_ml,alignment,0,10,0.0087378272510916684,0.00077611581258986732,0.016662741331160552,0.074999999999999997,0.1854166666666667
cui_selective_ml,kang_schafer,0,8,0.14051924494769016,0.1025303054422679,0.17271563534360324,0.18359375,0.47786458333333331
ctmle,alignment,1,10,0,0,0,0,0
ctmle,kang_schafer,1,8,0.060926153478550127,0.044355895264896451,0.07830502424426454,0.05078125,0.23697916666666666
cui_selective_ml,alignment,1,10,0.0032349346673828383,-0.00045156479609313293,0.0079258288218660052,0.008333333333333335,0.018749999999999996
cui_selective_ml,kang_schafer,1,8,0.096559508870063787,0.068442586319823223,0.12205890363186461,0.040364583333333329,0.16015625
ctmle,alignment,2,10,0,0,0,0,0
ctmle,kang_schafer,2,8,0.034115600553697945,0.021576219006879355,0.047787841657902973,0.027343749999999997,0.12369791666666666
cui_selective_ml,alignment,2,10,0.0028016866643748471,3.7172228276685101e-05,0.0067615785477966603,0.0031250000000000002,0.0083333333333333332
cui_selective_ml,kang_schafer,2,8,0.057579589535292283,0.035104566209824682,0.078879361246272081,0.01171875,0.09375
ctmle,alignment,3,10,0,0,0,0,0
ctmle,kang_schafer,3,8,0.023183846862217444,0.013235095692359851,0.034293687605246474,0.014322916666666666,0.069010416666666671
cui_selective_ml,alignment,3,10,0.0022536907452777922,0.00010997177986068225,0.0055891315456974826,0,0.005208333333333333
cui_selective_ml,kang_schafer,3,8,0.033505157345969858,0.014846275913699011,0.051948248608555021,0.0065104166666666661,0.057291666666666657
ctmle,alignment,4,10,0,0,0,0,0
ctmle,kang_schafer,4,8,0.016500559511917021,0.0087939299779217443,0.025670177396232174,0.010416666666666668,0.052083333333333329
cui_selective_ml,alignment,4,10,0.0016529246321874025,1.1691701533453893e-05,0.0045283605902492561,0,0.0041666666666666666
cui_selective_ml,kang_schafer,4,8,0.021803683103863908,0.0060268233169750909,0.037498787197547241,0.00390625,0.032552083333333329
ctmle,alignment,5,10,0,0,0,0,0
ctmle,kang_schafer,5,8,0.011148128211720232,0.0047541326387114009,0.019017606514466566,0.0026041666666666665,0.032552083333333336
cui_selective_ml,alignment,5,10,0.0012856742715529833,0,0.0036688790639833519,0,0.0020833333333333333
cui_selective_ml,kang_schafer,5,8,0.01438312610979095,0.0012864449961115447,0.027953623083802032,0.0026041666666666665,0.020833333333333336
ctmle,alignment,6,10,0,0,0,0,0
ctmle,kang_schafer,6,8,0.0082819530989128864,0.0028769378320041492,0.015091003136751692,0.0013020833333333333,0.020833333333333332
cui_selective_ml,alignment,6,10,0.00094824085121548714,0,0.0027749951918080158,0,0.0020833333333333333
cui_selective_ml,kang_schafer,6,8,0.0099491234822008806,-0.00042255521157194239,0.020912732616101069,0.0026041666666666665,0.010416666666666666
ctmle,alignment,8,10,0,0,0,0,0
ctmle,kang_schafer,8,8,0.0050917702030746914,0.0012614378828812345,0.010174436630681348,0,0.01171875
cui_selective_ml,alignment,8,10,0.00037005247319670253,0,0.0011754275362689409,0,0.0010416666666666667
cui_selective_ml,kang_schafer,8,8,0.0044484491989340569,-0.00012546988820659257,0.010227624821807606,0.0013020833333333333,0.00390625
