manifest_index,manifest_group,manifest_chunk,manifest_seed,manifest_shrink_c,source_file,design,mar_design,n,epsilon,strength,analysis_region,reference_method,propensity_mode,learner,propensity_learner,repair_mode,region_damp,region_damp_grid,validation_risk,validation_region_weight,validation_loss_se,selector,lepski_c,region_quantile,region_min_observed,region_kappa_floor,region_selector_ablation,region_detector_c,reps,bootstraps,rep,elapsed_s,ref_error,rt_error,shrink_error,delta,vd,gamma,weight,selected_tau,selected_region_damp,selected_repair_kind,targeting_moment,targeting_score_gap,ma_trimmed_fraction,ma_xi_derivative_1,ma_bias_correction_mean,cui_selected_propensity_learner,cui_selected_outcome_learner,cui_pseudo_risk,gl_original_bias_proxy,gl_selected_bias_proxy,gl_selected_variance_proxy,gl_selected_risk_proxy,global_dr_selected_bias_proxy,global_dr_selected_variance_proxy,global_dr_selected_risk_proxy,analysis_region_mass,true_region_mass,region_overlap_precision,region_overlap_recall,analysis_observed,true_region_observed,analysis_response_rate,true_region_response_rate,analysis_bias_ref,analysis_bias_repair,analysis_abs_bias_reduction,true_region_bias_ref,true_region_bias_repair,true_region_abs_bias_reduction,analysis_underfit_rmse_ref,analysis_underfit_rmse_repair,true_region_underfit_rmse_ref,true_region_underfit_rmse_repair
1,kang_schafer,0,1400100000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk00.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,25.970231432002038,6.0835958602514495,5.204912957857317,6.0835958602514495,-0.8786829023941323,1.4755503390007334,-1.1298915773566112,0.0,0.5,0.5,if_residual,-1.3500311979441904e-15,2.842170943040401e-14,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.45,0.1,0.2,0.9,30,2,0.3333333333333333,0.1,1.2643927856907569,0.9349356388522156,0.3294571468385412,1.3009060183514531,1.0211118246064377,0.27979419374501546,22.31512323856885,20.409631991796257,27.991764988124,24.018165152111937
1,kang_schafer,0,1400100000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk00.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,51.55500334687531,-0.20247567513698073,0.6841994689856108,-0.20247567513698073,0.8866751441225915,1.5326258388969585,-1.5292808486959029,0.0,0.5,0.5,if_residual,-2.415845301584341e-15,5.684341886080802e-14,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,2,nan,0.1,0.0,0.0,0.0,-0.9679735852460017,-0.8206646184007673,0.14730896684523442,nan,nan,22.077974344973995,23.08373240208255
1,kang_schafer,0,1400100000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk00.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,3,77.08389370515943,-1.3820183876212866,-0.929108766865653,-1.3820183876212866,0.45290962075563357,1.2000558690659844,0.17711494949328355,0.0,0.5,0.5,if_residual,4.334310688136611e-15,0.0,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,0,nan,0.0,0.0,0.0,0.0,-2.2449584683056774,-2.16120674633423,0.08375172197144742,nan,nan,37.29937588755928,35.92909942132733
1,kang_schafer,0,1400100000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk00.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,4,103.0679375869222,-2.3329831403259504,-0.41559782219937347,-2.1028923908518187,1.917385318126577,1.617596916644457,-0.6254210469084462,0.12000235283899385,0.5,1.0,if_residual,-1.4210854715202004e-16,0.0,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,2,nan,0.1,0.0,0.0,0.0,-1.367289680825672,-0.5149630973796249,0.8523265834460472,nan,nan,30.26728557903167,20.371550287115554
2,kang_schafer,1,1400200000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk01.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,27.62708309618756,-0.5856303311273621,-0.28920138191304545,-0.5856303311273621,0.2964289492143166,0.6368717766708567,-0.6108535176339389,0.0,0.5,0.5,if_residual,4.547473508864641e-15,0.0,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.37,0.1,0.17567567567567569,0.65,30,5,0.40540540540540543,0.25,-0.608019871590644,-0.5404405053608364,0.06757936622980754,-0.3999768370350621,-0.35524039651496947,0.044736440520092624,17.386994206808623,14.148593418439257,15.478548100625632,14.56722278887277
2,kang_schafer,1,1400200000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk01.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,55.384145393036306,0.5439222896455647,0.7747954933780647,0.5439222896455647,0.2308732037325001,0.8173838817650267,-0.46689659586799603,0.0,0.5,0.25,if_residual,-1.2789769243681803e-15,0.0,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,3,nan,0.15,0.0,0.0,0.0,-1.3065812959744352,-1.2207262625254804,0.08585503344895473,nan,nan,25.567915914869634,23.547800749484608
2,kang_schafer,1,1400200000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk01.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,3,80.90947501920164,1.1082115838173934,1.9388838684834582,1.1082115838173934,0.8306722846660648,0.5918961231968769,-0.2931608778716761,0.0,0.5,0.5,if_residual,-6.394884621840901e-16,2.842170943040401e-14,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,5,nan,0.25,0.0,0.0,0.0,-0.6708062016220999,-0.6966132284975036,-0.025807026875403705,nan,nan,18.789281806612983,18.237896990448586
2,kang_schafer,1,1400200000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk01.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,4,105.46410561725497,-8.500104746769892,-6.613186709611767,-8.500104746769892,1.8869180371581251,2.450592920807914,-1.8760674641752857,0.0,0.5,0.5,if_residual,-9.947598300641404e-16,5.684341886080802e-14,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.62,0.1,0.16129032258064516,1.0,30,1,0.24193548387096775,0.05,-4.6313880194206964,-3.5006883769150545,1.130699642505642,-3.312756195456812,-2.5637547839055532,0.7490014115512587,23.432124465477518,19.927155218272386,42.3191502226965,32.91895674412957
3,kang_schafer,2,1400300000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk02.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,26.285156674217433,2.7672346053871593,2.7672346053871593,2.7672346053871593,0.0,0.5850884361442112,0.08044842053142887,0.0,0.5,0.0,reference,-3.9790393202565614e-15,2.842170943040401e-14,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.485,0.1,0.17525773195876287,0.85,30,5,0.30927835051546393,0.25,-0.8249615309560173,-0.8249615309560173,0.0,-1.1275202827599877,-1.1275202827599877,0.0,17.886238847411654,17.886238847411654,23.12957181706619,23.12957181706619
3,kang_schafer,2,1400300000,2,dml_kang_schafer_kang_schafer_cc_ctmle_n200_s0_chunk02.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,53.409632723312825,-2.502348529369982,-1.6685654840689779,-2.502348529369982,0.8337830453010042,0.9040602020531594,-0.2882821727966327,0.0,0.5,0.5,if_residual,3.0553337637684308e-15,0.0,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,3,nan,0.15,0.0,0.0,0.0,-1.5973393069990975,-1.1552512376501034,0.44208806934899414,nan,nan,30.385668029708004,24.644752369810874
