release_job_id,source_manifest,source_rep_file,design,mar_design,n,epsilon,strength,analysis_region,reference_method,propensity_mode,learner,propensity_learner,repair_mode,region_damp,region_damp_grid,validation_risk,validation_region_weight,validation_loss_se,selector,lepski_c,region_quantile,region_min_observed,region_kappa_floor,region_selector_ablation,region_detector_c,reps,bootstraps,rep,elapsed_s,ref_error,rt_error,shrink_error,delta,vd,gamma,weight,selected_tau,selected_region_damp,selected_repair_kind,targeting_moment,targeting_score_gap,ma_trimmed_fraction,ma_xi_derivative_1,ma_bias_correction_mean,cui_selected_propensity_learner,cui_selected_outcome_learner,cui_pseudo_risk,gl_original_bias_proxy,gl_selected_bias_proxy,gl_selected_variance_proxy,gl_selected_risk_proxy,global_dr_selected_bias_proxy,global_dr_selected_variance_proxy,global_dr_selected_risk_proxy,analysis_region_mass,true_region_mass,region_overlap_precision,region_overlap_recall,analysis_observed,true_region_observed,analysis_response_rate,true_region_response_rate,analysis_bias_ref,analysis_bias_repair,analysis_abs_bias_reduction,true_region_bias_ref,true_region_bias_repair,true_region_abs_bias_reduction,analysis_underfit_rmse_ref,analysis_underfit_rmse_repair,true_region_underfit_rmse_ref,true_region_underfit_rmse_repair
m01-j0001,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk00.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,12.541420791298151,2.710416921026251,2.710416921026251,2.710416921026251,0.0,4.568281535361237,-3.0501240862152272,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.39,0.1,0.21794871794871795,0.85,30,2,0.38461538461538464,0.1,1.6474967150194908,1.6474967150194908,0.0,0.08767062434958184,0.08767062434958184,0.0,17.289910888426718,17.289910888426718,19.87208702990109,19.87208702990109
m01-j0001,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk00.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,24.422514169476926,2.3636094623857105,2.3636094623857105,2.3636094623857105,0.0,6.699597530068928,-6.598352390790325,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.455,0.1,0.2087912087912088,0.95,30,1,0.32967032967032966,0.05,8.432660223273112,8.432660223273112,0.0,1.2010361039634534,1.2010361039634534,0.0,21.79492412539216,21.79492412539216,31.237553385463976,31.237553385463976
m01-j0001,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk00.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,3,36.35745703428984,-6.636721848078963,-6.636721848078963,-6.636721848078963,0.0,7.614254613856872,-4.874324185877043,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,2,nan,0.1,0.0,0.0,0.0,2.6135584896183257,2.6135584896183257,0.0,nan,nan,28.04177494604561,28.04177494604561
m01-j0001,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk00.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,4,48.5396474506706,11.927714767319458,11.927714767319458,11.927714767319458,0.0,7.0111286112667415,-7.598392634620332,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.425,0.1,0.2,0.85,30,0,0.35294117647058826,0.0,5.668889398833805,5.668889398833805,0.0,1.0877188840254481,1.0877188840254481,0.0,20.83506772699227,20.83506772699227,34.11015000273745,34.11015000273745
m01-j0002,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk01.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,12.894090148620307,16.269063414285114,16.269063414285114,16.269063414285114,0.0,9.823402540339288,-5.525417022410416,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,3,nan,0.15,0.0,0.0,0.0,1.6026496566439357,1.6026496566439357,0.0,nan,nan,30.940285965738088,30.940285965738088
m01-j0002,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk01.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,25.698070945218205,3.5613557073500886,3.5613557073500886,3.5613557073500886,0.0,1.3440731281225027,-3.53805662462684,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,3,nan,0.15,0.0,0.0,0.0,0.15606266054105236,0.15606266054105236,0.0,nan,nan,23.292848889263016,23.292848889263016
m01-j0002,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk01.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,3,38.004922142252326,5.507124925928736,5.507124925928736,5.507124925928736,0.0,5.918910174100532,-5.679390722637891,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,4,nan,0.2,0.0,0.0,0.0,-0.04165754942428181,-0.04165754942428181,0.0,nan,nan,31.362435091357472,31.362435091357472
m01-j0002,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk01.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,4,50.66058567818254,8.50095111152433,8.50095111152433,8.50095111152433,0.0,4.770730079256666,-7.626807357093341,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.47,0.1,0.2127659574468085,1.0,30,0,0.3191489361702128,0.0,8.62276619789064,8.62276619789064,0.0,2.2966110774658235,2.2966110774658235,0.0,21.780529092294714,21.780529092294714,31.911326762946484,31.911326762946484
m01-j0003,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk02.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,12.427440350875258,0.6845816492165682,0.6845816492165682,0.6845816492165682,0.0,3.37662139712279,-2.4142403064051052,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1,nan,0.0,0,6,nan,0.3,0.0,0.0,0.0,-0.16849124748125058,-0.16849124748125058,0.0,nan,nan,30.036295177678436,30.036295177678436
m01-j0003,manifest.tsv,dml2_kang_schafer_kang_schafer_cc_aipw_n200_s0_chunk02.reps.csv,kang_schafer_cc,box,200,0.05,0.0,estimated_residual_lowp_supported,aipw,estimated,xgboost,xgboost,if_projection,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,24.921367052011192,-8.32531585901532,-8.32531585901532,-8.32531585901532,0.0,22.33917462596382,-20.932508695824957,0.0,0.05,0.0,reference,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.45,0.1,0.2111111111111111,0.95,30,2,0.3333333333333333,0.1,0.42975082097592293,0.42975082097592293,0.0,0.18971986867433388,0.18971986867433388,0.0,19.89000210098233,19.89000210098233,31.718399236834223,31.718399236834223
