key,block,design,method,cells,gain,ci_lo,ci_hi,gain_pct,ci_lo_pct,ci_hi_pct,source_bundle,source_file,source_selector,source_sha256
ma_dgp2,natural,Ma DGP 2,ma_dr_bc,1,0,0,0,0.000,0.000,0.000,core,ma_xgboost_summary.json,cells.2,44c5cec6243f10515dd038943f2d984c9db181f04f6b4081f0f313e3f77a000d
ma_dgp3,natural,Ma DGP 3,ma_dr_bc,1,0.17725888846401316,0.096240354124722038,0.25208250184376363,17.726,9.624,25.208,core,ma_xgboost_summary.json,cells.3,44c5cec6243f10515dd038943f2d984c9db181f04f6b4081f0f313e3f77a000d
ma_family,natural,Ma family,ma_dr_bc,2,0.088629444232006582,0.048120177062361019,0.12604125092188181,8.863,4.812,12.604,core,ma_xgboost_summary.json,family,44c5cec6243f10515dd038943f2d984c9db181f04f6b4081f0f313e3f77a000d
ks_ctmle,natural,Kang--Schafer,ctmle,8,0.034115600553697945,0.021576219006879355,0.047787841657902973,3.412,2.158,4.779,core,section4_c_sensitivity.csv,method=ctmle;family=kang_schafer;c=2,a90aed6ebd9f0e7529172025ee146ec9f71f2e6c0b350a54f8404e6af91c8284
ks_cui,natural,Kang--Schafer,cui_selective_ml,8,0.057579589535292283,0.035104566209824682,0.078879361246272081,5.758,3.510,7.888,core,section4_c_sensitivity.csv,method=cui_selective_ml;family=kang_schafer;c=2,a90aed6ebd9f0e7529172025ee146ec9f71f2e6c0b350a54f8404e6af91c8284
ks_aipw,natural,Kang--Schafer,aipw,8,0.015434375003652995,0.0027987629639554153,0.030435550770243971,1.543,0.280,3.044,ks_tmle_aipw,family_summary.csv,method=aipw;family=kang_schafer,a01c79ffd4dea551d15cae19042f858d5c6786c2156e11f874a00b7bd73d15a0
ks_tmle_residual_negative,diagnostic,Kang--Schafer,tmle,8,-0.048972136390087379,-0.12129397242982722,0.004253803939097198,-4.897,-12.129,0.425,ks_tmle_aipw,family_summary.csv,method=tmle;family=kang_schafer,a01c79ffd4dea551d15cae19042f858d5c6786c2156e11f874a00b7bd73d15a0
cui_scenarios_aipw,natural,Cui scenarios,aipw,8,0.0012132867021840826,0,0.0038505946140240332,0.121,0.000,0.385,cui_published,family_summary.csv,method=aipw;family=suite,fe8130e42a00462f13ee7c106535274f2ab7c9eb2e1bdf4b4494be5fe61f6121
tmle_projection_16,natural,Kang--Schafer + Cui scenarios,tmle,16,0,0,0,0.000,0.000,0.000,tmle_projection,family_summary.csv,method=tmle;all families,948f15885f8ead02d581e5d2b0c53501631f1e5b31eba7b041ffe86e1c2980de
real_safety_ctmle,natural,"real covariates, wider/partial",ctmle,6,0,0,0,0.000,0.000,0.000,real_safety,family_summary.csv,method=ctmle;family=real,8c0139169cea61784bb1b4af78ff813e4e19f221e8b8ad32035d108ac4a91d1d
real_safety_cui,natural,"real covariates, wider/partial",cui_selective_ml,6,0.0013073815929303678,-1.9449099124753862e-05,0.0037785463454252334,0.131,-0.002,0.378,real_safety,family_summary.csv,method=cui_selective_ml;family=real,8c0139169cea61784bb1b4af78ff813e4e19f221e8b8ad32035d108ac4a91d1d
d0_signal_ctmle,emphasized,"aligned anchor, signal",ctmle,3,0.013033987486735787,0.0055128666377434396,0.022497575943633163,1.303,0.551,2.250,d0_anchor,family_summary.csv,method=ctmle;family=d0_signal,808c4d535cb89de84691785e31daccb5e7aeed33edb414dfc45c60eda2534fd3
d0_signal_cui,emphasized,"aligned anchor, signal",cui_selective_ml,3,0.00036647749825613474,-0.00086156728829527116,0.0022114262976151303,0.037,-0.086,0.221,d0_anchor,family_summary.csv,method=cui_selective_ml;family=d0_signal,808c4d535cb89de84691785e31daccb5e7aeed33edb414dfc45c60eda2534fd3
d0_null_ctmle,emphasized,"aligned anchor, null",ctmle,1,-0.026782541029077622,-0.095580800092603571,0,-2.678,-9.558,0.000,d0_anchor,family_summary.csv,method=ctmle;family=d0_null,808c4d535cb89de84691785e31daccb5e7aeed33edb414dfc45c60eda2534fd3
placement_aligned_cui,emphasized,"placement stress, aligned",cui_selective_ml,3,0.0093389555479161581,4.6842370721192436e-05,0.022371978337490807,0.934,0.005,2.237,core,section4_family_summary.csv,method=cui_selective_ml;family=alignment_aligned,8f2ce31ce8400abdfe4e391dfdabe51ecddff1b63825ddfa22035df5c0fcbf2e
placement_all_ctmle,emphasized,placement stress,ctmle,10,0,0,0,0.000,0.000,0.000,core,section4_family_summary.csv,method=ctmle;families=alignment_aligned+alignment_partial+alignment_disjoint+alignment_null,8f2ce31ce8400abdfe4e391dfdabe51ecddff1b63825ddfa22035df5c0fcbf2e
placement_other_cui,emphasized,placement stress,cui_selective_ml,7,0,0,0,0.000,0.000,0.000,core,section4_family_summary.csv,method=cui_selective_ml;families=alignment_partial+alignment_disjoint+alignment_null,8f2ce31ce8400abdfe4e391dfdabe51ecddff1b63825ddfa22035df5c0fcbf2e
aligned_real_signal_ctmle,emphasized,"aligned real covariates, signal",ctmle,4,0,0,0,0.000,0.000,0.000,aligned_real,bootstrap_summary.csv,error_column=shrink_error;reference_method=ctmle;family=nonzero_strengths,0b6d010b104f67226dfe8890b756cc40948b5462906ec518bfdcb2b5a0fe1c18
aligned_real_null_ctmle,emphasized,"aligned real covariates, null",ctmle,2,0,0,0,0.000,0.000,0.000,aligned_real,bootstrap_summary.csv,error_column=shrink_error;reference_method=ctmle;family=strength0,0b6d010b104f67226dfe8890b756cc40948b5462906ec518bfdcb2b5a0fe1c18
aligned_real_signal_cui_selective_ml,emphasized,"aligned real covariates, signal",cui_selective_ml,4,-0.00024274752514854864,-0.00081940642077755175,0,-0.024,-0.082,0.000,aligned_real,bootstrap_summary.csv,error_column=shrink_error;reference_method=cui_selective_ml;family=nonzero_strengths,0b6d010b104f67226dfe8890b756cc40948b5462906ec518bfdcb2b5a0fe1c18
aligned_real_null_cui_selective_ml,emphasized,"aligned real covariates, null",cui_selective_ml,2,0.025708313464656709,0,0.074834693999123916,2.571,0.000,7.483,aligned_real,bootstrap_summary.csv,error_column=shrink_error;reference_method=cui_selective_ml;family=strength0,0b6d010b104f67226dfe8890b756cc40948b5462906ec518bfdcb2b5a0fe1c18
