dataset,method,aggregation,cells,rows,active_rows,active_same_sample_harm_rows,active_fresh_risk_harm_rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share,mean_abs_gain_gap_pct,min_gain_gap_pct,max_gain_gap_pct
ACIC 2016,aipw,equal_setting_method_cells,4,384,34,15,16,0.08854166666666667,0.7628807964715162,0.4000665918318956,0.36281420463962055,0.0390625,0.041666666666666664,0.45803571428571427,0.4258928571428572,1.3035949662939499,-1.8815615233086587,2.1887433167925634
ACIC 2016,ctmle,equal_setting_method_cells,4,384,2,1,1,0.005208333333333333,0.021864412854115594,0.02567660584231256,-0.0038121929881969677,0.0026041666666666665,0.0026041666666666665,0.5,0.5,0.0038121929881969677,-0.01524877195278787,0.0
ACIC 2016,cui_selective_ml,equal_setting_method_cells,4,384,105,53,30,0.2734375,0.17828648446179302,0.2625354960321902,-0.0842490115703971,0.13802083333333331,0.078125,0.4652528059278631,0.2949220878282663,1.5881914429069584,-2.4118400803911966,1.7366535145696185
ACIC 2016,ma_dr_bc,equal_setting_method_cells,4,384,34,13,16,0.08854166666666667,0.7066646256680423,0.4000665918318956,0.3065980338361467,0.033854166666666664,0.041666666666666664,0.38482142857142854,0.4258928571428572,1.0840549658740797,-1.0210195127432038,2.029903704613672
ACIC 2016,tmle,equal_setting_method_cells,4,384,24,15,11,0.0625,-0.48094857327547563,0.036138223907888185,-0.5170867971833638,0.0390625,0.028645833333333332,0.6345238095238095,0.44285714285714284,0.7676412557025148,-0.9013983996616053,0.5011089170383021
ACIC 2017,aipw,equal_setting_method_cells,4,384,36,13,12,0.09375,1.822924633089299,0.5217221125267406,1.3012025205625584,0.033854166666666664,0.03125,0.3125,0.35700757575757575,1.735671457020534,-0.8689378729159514,4.64036300276085
ACIC 2017,ctmle,equal_setting_method_cells,4,384,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
ACIC 2017,cui_selective_ml,equal_setting_method_cells,4,384,100,42,33,0.2604166666666667,0.2993248054481709,-0.8851088987267758,1.1844337041749466,0.109375,0.0859375,0.41443452380952384,0.34672619047619047,1.947591352059942,-1.5263152957699904,3.8971624244008165
ACIC 2017,ma_dr_bc,equal_setting_method_cells,4,384,36,17,12,0.09375,0.28290804674666503,0.5217221125267406,-0.23881406578007555,0.044270833333333336,0.03125,0.48579545454545453,0.35700757575757575,1.0310199654421082,-1.5006657879896408,1.5844117993240654
ACIC 2017,tmle,equal_setting_method_cells,4,384,26,7,12,0.06770833333333333,1.2528394148967326,0.09532688826910674,1.157512526627626,0.018229166666666664,0.03125,0.2242063492063492,0.46428571428571425,1.686294634364002,-1.057564215472752,4.746447138235681
IHDP,aipw,equal_setting_method_cells,4,384,58,18,24,0.15104166666666666,3.7252101804308895,1.1652156931397428,2.559994487291147,0.046875,0.0625,0.3088578088578089,0.42424242424242425,2.559994487291147,1.316341618950674,4.15154993600142
IHDP,ctmle,equal_setting_method_cells,4,384,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
IHDP,cui_selective_ml,equal_setting_method_cells,4,384,18,8,6,0.046875,-0.04603930212912476,0.2677121449862489,-0.31375144711537367,0.020833333333333332,0.015625,0.5803571428571428,0.3214285714285714,0.3632831564686252,-0.6507082874137865,0.09906341870650301
IHDP,ma_dr_bc,equal_setting_method_cells,4,384,58,22,24,0.15104166666666666,2.605732170666292,1.1652156931397428,1.4405164775265493,0.05729166666666667,0.0625,0.3966033966033966,0.42424242424242425,1.7973649330854105,-0.7136969111177225,4.508792548920456
IHDP,tmle,equal_setting_method_cells,4,384,53,18,18,0.13802083333333331,2.3467822941079164,1.4259166421625644,0.9208656519453522,0.046875,0.046875,0.3789127539127539,0.42143273393273395,1.8650588445800642,-1.888386385269424,2.7376883289292335
Kang-Schafer,aipw,equal_setting_method_cells,8,768,494,182,58,0.6432291666666666,23.55294309934858,19.967211341327268,3.585731758021316,0.23697916666666666,0.07552083333333333,0.3566183592902361,0.13187803179326568,6.047246776369249,-9.846060073391733,15.746114164285917
Kang-Schafer,ctmle,equal_setting_method_cells,8,768,610,195,76,0.7942708333333334,14.927308268053862,14.531886650058237,0.3954216179956262,0.25390625,0.09895833333333333,0.3227258709165268,0.13097631858599182,1.9574879079685632,-3.3242897208033995,3.3462021422530306
Kang-Schafer,cui_selective_ml,equal_setting_method_cells,8,768,371,145,29,0.4830729166666667,11.933892281101016,9.225026642349247,2.7088656387517687,0.18880208333333334,0.037760416666666664,0.475501397124381,0.32818559129043,10.43128103914576,-27.87415542130331,39.26489302328426
Kang-Schafer,ma_dr_bc,equal_setting_method_cells,8,768,494,175,58,0.6432291666666666,21.14060906364882,19.967211341327268,1.173397722321553,0.23307291666666666,0.07552083333333333,0.36729383216180506,0.13187803179326568,8.643797501317435,-13.24362166164785,17.164791880304406
Kang-Schafer,tmle,equal_setting_method_cells,8,768,460,255,78,0.5989583333333334,-24.437248225796647,10.445880719934582,-34.88312894573123,0.33203125,0.1015625,0.521509736592794,0.18749069269370147,36.36414949876903,-70.42762414156064,5.924082212151188
Twins,aipw,equal_setting_method_cells,4,384,9,4,6,0.0234375,0.27768306482806504,-0.006932067764937873,0.2846151325930029,0.010416666666666666,0.015625,0.5416666666666666,0.6666666666666666,0.45197632679146726,-0.3347223883969287,1.1933363211878785
Twins,ctmle,equal_setting_method_cells,4,384,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Twins,cui_selective_ml,equal_setting_method_cells,4,384,218,86,59,0.5677083333333334,6.816254313160232,-13.645193792940802,20.46144810610103,0.22395833333333334,0.15364583333333334,0.407310907413813,0.27732157269687535,20.46144810610103,0.4160738876920431,63.52293782104357
Twins,ma_dr_bc,equal_setting_method_cells,4,384,9,3,6,0.0234375,0.06924700899796898,-0.006932067764937873,0.07617907676290686,0.0078125,0.015625,0.25,0.6666666666666666,0.18342576558160964,-0.21449337763740559,0.22724498963140957
Twins,tmle,equal_setting_method_cells,4,384,7,4,5,0.018229166666666664,-0.26123749493011084,-0.0023197174509278808,-0.25891777747918293,0.010416666666666666,0.013020833333333332,0.6666666666666666,0.75,0.27843678437781727,-0.8427035557474039,0.03903801379726865
