scope,dataset,aggregation,cells,rows,active_rows,active_same_sample_harm_rows,active_fresh_risk_harm_rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share,mean_abs_gain_gap_pct,min_gain_gap_pct,max_gain_gap_pct
primary,ACIC 2016,equal_setting_method_cells,16,1536,175,82,63,0.11393229166666667,0.41742407986386676,0.27208632138457345,0.1453377584792933,0.053385416666666664,0.041015625,0.4409569073184633,0.3912947083427633,0.9949133920157962,-2.4118400803911966,2.1887433167925634
primary,ACIC 2017,equal_setting_method_cells,16,1536,172,72,57,0.11197916666666667,0.6012893713210338,0.03958383158167634,0.5617055397393574,0.046875,0.037109375,0.4042433261183261,0.35358044733044736,1.1785706936306461,-1.5263152957699904,4.64036300276085
primary,IHDP,equal_setting_method_cells,16,1536,134,48,54,0.08723958333333333,1.5712257622420143,0.6495358828164336,0.9216898794255807,0.03125,0.03515625,0.4286061161061161,0.3899711399711399,1.1801606442112957,-0.7136969111177225,4.508792548920456
primary,Kang-Schafer,equal_setting_method_cells,32,3072,1969,697,221,0.6409505208333334,17.88868817803807,15.922833993765504,1.9658541842725659,0.22819010416666666,0.07194010416666667,0.38053486487323723,0.1807294933657383,6.769953306200252,-27.87415542130331,39.26489302328426
primary,Twins,equal_setting_method_cells,16,1536,236,93,71,0.15364583333333334,1.7907960967465666,-3.4147644821176693,5.205560578864236,0.060546875,0.046223958333333336,0.39965919136015987,0.5368849686767362,5.274212549618527,-0.3347223883969287,63.52293782104357
fixed_floor_tmle,ACIC 2016,equal_setting_method_cells,4,384,24,15,11,0.0625,-0.48094857327547563,0.036138223907888185,-0.5170867971833638,0.0390625,0.028645833333333332,0.6345238095238095,0.44285714285714284,0.7676412557025148,-0.9013983996616053,0.5011089170383021
fixed_floor_tmle,ACIC 2017,equal_setting_method_cells,4,384,26,7,12,0.06770833333333333,1.2528394148967326,0.09532688826910674,1.157512526627626,0.018229166666666664,0.03125,0.2242063492063492,0.46428571428571425,1.686294634364002,-1.057564215472752,4.746447138235681
fixed_floor_tmle,IHDP,equal_setting_method_cells,4,384,53,18,18,0.13802083333333331,2.3467822941079164,1.4259166421625644,0.9208656519453522,0.046875,0.046875,0.3789127539127539,0.42143273393273395,1.8650588445800642,-1.888386385269424,2.7376883289292335
fixed_floor_tmle,Kang-Schafer,equal_setting_method_cells,8,768,460,255,78,0.5989583333333334,-24.437248225796647,10.445880719934582,-34.88312894573123,0.33203125,0.1015625,0.521509736592794,0.18749069269370147,36.36414949876903,-70.42762414156064,5.924082212151188
fixed_floor_tmle,Twins,equal_setting_method_cells,4,384,7,4,5,0.018229166666666664,-0.26123749493011084,-0.0023197174509278808,-0.25891777747918293,0.010416666666666666,0.013020833333333332,0.6666666666666666,0.75,0.27843678437781727,-0.8427035557474039,0.03903801379726865
