release_job_id,source_manifest,source_rep_file,design,mar_design,n,epsilon,strength,analysis_region,reference_method,propensity_mode,learner,propensity_learner,repair_mode,region_damp,region_damp_grid,validation_risk,validation_region_weight,validation_loss_se,selector,lepski_c,region_quantile,region_min_observed,region_kappa_floor,region_selector_ablation,region_detector_c,reps,bootstraps,rep,elapsed_s,ref_error,rt_error,shrink_error,delta,vd,gamma,weight,selected_tau,selected_region_damp,selected_repair_kind,targeting_moment,targeting_score_gap,ma_trimmed_fraction,ma_xi_derivative_1,ma_bias_correction_mean,cui_selected_propensity_learner,cui_selected_outcome_learner,cui_pseudo_risk,gl_original_bias_proxy,gl_selected_bias_proxy,gl_selected_variance_proxy,gl_selected_risk_proxy,global_dr_selected_bias_proxy,global_dr_selected_variance_proxy,global_dr_selected_risk_proxy,analysis_region_mass,true_region_mass,region_overlap_precision,region_overlap_recall,analysis_observed,true_region_observed,analysis_response_rate,true_region_response_rate,analysis_bias_ref,analysis_bias_repair,analysis_abs_bias_reduction,true_region_bias_ref,true_region_bias_repair,true_region_abs_bias_reduction,analysis_underfit_rmse_ref,analysis_underfit_rmse_repair,true_region_underfit_rmse_ref,true_region_underfit_rmse_repair
m01-j0001,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk00.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,1014.6378327216953,0.03503139517880016,0.03503139517880016,0.03503139517880016,0.0,2.2751749269322042e-05,-7.4145697720622884e-06,0.0,0.5,0.0,reference,-1.0066022089934753e-17,-2.7755575615628914e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.05,0.2678333333333333,0.9133333333333333,0.17050404480398257,43,322,0.14333333333333334,0.2003733665214686,0.004359073299954669,0.004359073299954669,0.0,0.03445835843607524,0.03445835843607524,0.0,0.5105394233628184,0.5105394233628184,0.5826790867692839,0.5826790867692839
m01-j0001,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk00.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,2030.9188618240878,0.056286033062503515,0.056286033062503515,0.056286033062503515,0.0,2.866378827963878e-05,-1.5270499083616998e-05,0.0,0.5,0.0,reference,5.921189464667501e-19,-5.551115123125783e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.27066666666666667,nan,0.0,0,318,nan,0.1958128078817734,0.0,0.0,0.0,0.042600620977332006,0.042600620977332006,0.0,nan,nan,0.5801403319624968,0.5801403319624968
m01-j0001,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk00.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,3,3063.9487694147974,0.025783939330988048,0.025783939330988048,0.025783939330988048,0.0,2.517703984185294e-05,3.1741809787720556e-06,0.0,0.5,0.0,reference,-1.1842378929335003e-18,-2.7755575615628914e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.2743333333333333,nan,0.0,0,340,nan,0.2065613608748481,0.0,0.0,0.0,0.03511617383991894,0.03511617383991894,0.0,nan,nan,0.5273055858210907,0.5273055858210907
m01-j0001,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk00.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,4,4079.091552465223,-0.0036892665132048363,-0.0036892665132048363,-0.0036892665132048363,0.0,2.7150391005963375e-05,-3.6989350370591556e-05,0.0,0.5,0.0,reference,0.0,-2.7755575615628914e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.075,0.2783333333333333,0.9355555555555556,0.25209580838323353,48,325,0.10666666666666667,0.19461077844311378,0.013015219514809825,0.013015219514809825,0.0,0.03183932811731061,0.03183932811731061,0.0,0.5381333744120657,0.5381333744120657,0.5443841804750768,0.5443841804750768
m01-j0002,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk01.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,1032.3035891158506,0.05014161454049007,0.05014161454049007,0.05014161454049007,0.0,2.632728886669774e-05,-5.306470080331167e-06,0.0,0.5,0.0,reference,1.6579330501069006e-17,-5.551115123125783e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.075,0.2688333333333333,0.9111111111111111,0.2541847489150651,80,353,0.17777777777777778,0.21884686918784874,0.010865630120473138,0.010865630120473138,0.0,0.03659692340886286,0.03659692340886286,0.0,0.5189896472167734,0.5189896472167734,0.5464029472407875,0.5464029472407875
m01-j0002,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk01.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,2048.6924887374043,0.011176741081712294,0.011176741081712294,0.011176741081712294,0.0,3.154293230439055e-05,-4.662684439629152e-05,0.0,0.5,0.0,reference,6.069219201284189e-18,2.7755575615628914e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.075,0.2768333333333333,0.9133333333333333,0.24744130042143286,62,324,0.13777777777777778,0.1950632149307646,0.009354635110367918,0.009354635110367918,0.0,0.028191788202149504,0.028191788202149504,0.0,0.5699566414254051,0.5699566414254051,0.5236914375483883,0.5236914375483883
m01-j0002,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk01.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,3,3080.7074267305434,0.055717973070732646,0.055717973070732646,0.055717973070732646,0.0,1.5981433150997148e-05,1.1142493280067302e-06,0.0,0.5,0.0,reference,3.552713678800501e-18,-5.551115123125783e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.2698333333333333,nan,0.0,0,326,nan,0.20135886349598517,0.0,0.0,0.0,0.03788563002497399,0.03788563002497399,0.0,nan,nan,0.5363132208267943,0.5363132208267943
m01-j0002,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk01.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,4,4092.9451054399833,0.07976167161380779,0.07976167161380779,0.07976167161380779,0.0,3.0048419613766986e-05,-3.363829165680142e-05,0.0,0.5,0.0,reference,4.1448326252672514e-18,-5.551115123125783e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.283,nan,0.0,0,327,nan,0.19257950530035337,0.0,0.0,0.0,0.055327381581361926,0.055327381581361926,0.0,nan,nan,0.565917631669601,0.565917631669601
m01-j0003,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk02.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,1,1028.8748159129173,0.05311961314606181,0.05311961314606181,0.05311961314606181,0.0,3.0983389015661967e-05,-2.8735839819142995e-05,0.0,0.5,0.0,reference,5.921189464667502e-18,0.0,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.2795,nan,0.0,0,303,nan,0.1806797853309481,0.0,0.0,0.0,0.042116550026950125,0.042116550026950125,0.0,nan,nan,0.5550851588184399,0.5550851588184399
m01-j0003,manifest.tsv,dml2_real_real_digits_misaligned_ctmle_n6000_s0_chunk02.reps.csv,real_digits_misaligned,box,6000,0.05,0.0,estimated_residual_lowp_supported,ctmle,estimated,xgboost,xgboost,if_residual,1.0,0.0|0.25|0.5|1.0,aipw_variance,-1.0,1.0,obsval,4.0,0.1,30,0.1,crossfit_rank_empty_standdown,1.0,4,50,2,2049.5965264039114,0.051784405606600525,0.051784405606600525,0.051784405606600525,0.0,1.659906106261336e-05,-1.5550924098994834e-06,0.0,0.5,0.0,reference,-1.0658141036401503e-17,5.551115123125783e-17,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.2798333333333333,0.925,0.33055390113162597,87,349,0.145,0.20786182251340082,0.018619553518323742,0.018619553518323742,0.0,0.03839289932589582,0.03839289932589582,0.0,0.566284785972235,0.566284785972235,0.5415911924406931,0.5415911924406931
