harm_threshold,method,c,settings,reps,gain,gain_ci_low,gain_ci_high,activation,harm,mean_weight
0.01,aipw,2.5,24,2304,0.0324063139316,0.0218486750056,0.0422996735751,0.0525173611111,0.00824652777778,0.0195661626263
0.02,aipw,1.5,24,2304,0.0518077042823,0.038058490297,0.0639451694304,0.0885416666667,0.0182291666667,0.040605475691
0.03,aipw,1,24,2304,0.0642979317501,0.0489607115397,0.0775330212555,0.116753472222,0.0282118055556,0.0611839315873
0.05,aipw,0.5,24,2304,0.0773355812371,0.0601175385289,0.0918592701509,0.157986111111,0.0473090277778,0.101560077473
0.1,aipw,0.25,24,2304,0.0835225420307,0.0651044552796,0.0990150648408,0.186631944444,0.0642361111111,0.13854611234
0.01,cui_selective_ml,6,24,2304,0.00743738967261,0.00332119231608,0.0121543290053,0.046875,0.00911458333333,0.0253207982515
0.02,cui_selective_ml,3.75,24,2304,0.0129606998307,0.00747395014692,0.019034516468,0.0707465277778,0.0182291666667,0.0372985776379
0.03,cui_selective_ml,2.25,24,2304,0.0197412362407,0.012158753516,0.0279170611211,0.104600694444,0.0299479166667,0.0586755958852
0.05,cui_selective_ml,1,24,2304,0.0290830474039,0.0192957951445,0.0391913936382,0.16015625,0.0490451388889,0.100744262456
0.1,cui_selective_ml,0.25,24,2304,0.0434075227126,0.0308321176892,0.0554280705085,0.23046875,0.078125,0.178631413278
0.01,ma_dr_bc,8,24,2304,0.0271428560103,0.0195338158081,0.0354248618791,0.0594618055556,0.00954861111111,0.0278543737233
0.02,ma_dr_bc,4.25,24,2304,0.0363735071465,0.0274912168486,0.0454838723909,0.0872395833333,0.0186631944444,0.049449405525
0.03,ma_dr_bc,2.5,24,2304,0.0440701666842,0.0343156655073,0.053750810785,0.118923611111,0.0295138888889,0.0723510849252
0.05,ma_dr_bc,0.75,24,2304,0.0538689128265,0.0423994937115,0.0646872659559,0.157552083333,0.0451388888889,0.120914887101
0.1,ma_dr_bc,0,24,2304,0.057934630067,0.0453627105513,0.0694556688517,0.223090277778,0.0811631944444,0.223090277778
0.01,ctmle,1,24,2304,0.000509944922603,-0.000514519947578,0.00187713308814,0.00217013888889,0.00130208333333,0.00113491505177
0.02,ctmle,1,24,2304,0.000509944922603,-0.000514519947578,0.00187713308814,0.00217013888889,0.00130208333333,0.00113491505177
0.03,ctmle,1,24,2304,0.000509944922603,-0.000514519947578,0.00187713308814,0.00217013888889,0.00130208333333,0.00113491505177
0.05,ctmle,1,24,2304,0.000509944922603,-0.000514519947578,0.00187713308814,0.00217013888889,0.00130208333333,0.00113491505177
0.1,ctmle,1,24,2304,0.000509944922603,-0.000514519947578,0.00187713308814,0.00217013888889,0.00130208333333,0.00113491505177
