dataset,setting,method,n,strength,c,reps,reference_mse,repaired_mse,gain,gain_ci_low,gain_ci_high,activation,harm,mean_weight
acic2016,A_s0,aipw,3000,0,0,96,0.00468792045073,0.00472270268738,-0.00741954498164,-0.0404312457441,0.0272853026148,0.0625,0.03125,0.0625
acic2016,A_s0,aipw,3000,0,0.25,96,0.00468792045073,0.00471796883315,-0.00640974665468,-0.037142390262,0.0249430993754,0.0520833333333,0.03125,0.0447188699983
acic2016,A_s0,aipw,3000,0,0.5,96,0.00468792045073,0.00471224484294,-0.00518873826318,-0.0334768930244,0.0230951712495,0.0520833333333,0.03125,0.0373544066632
acic2016,A_s0,aipw,3000,0,0.75,96,0.00468792045073,0.00470912890577,-0.0045240646181,-0.0307678717074,0.0204611459843,0.0416666666667,0.0208333333333,0.0311608261699
acic2016,A_s0,aipw,3000,0,1,96,0.00468792045073,0.00471105802811,-0.00493557380731,-0.0289989814722,0.0167482391531,0.0416666666667,0.0208333333333,0.0276588793376
acic2016,A_s0,aipw,3000,0,1.25,96,0.00468792045073,0.00471353545582,-0.00546404431677,-0.0272456826301,0.0128597753722,0.0416666666667,0.0208333333333,0.0241569325053
acic2016,A_s0,aipw,3000,0,1.5,96,0.00468792045073,0.0047165611889,-0.00610947614648,-0.0256862640757,0.00888129355283,0.0416666666667,0.0208333333333,0.020654985673
acic2016,A_s0,aipw,3000,0,1.75,96,0.00468792045073,0.00472013522734,-0.00687186929645,-0.0244842561586,0.00486690168249,0.0416666666667,0.0208333333333,0.0171530388408
acic2016,A_s0,aipw,3000,0,2,96,0.00468792045073,0.00472425757114,-0.00775122376668,-0.0235533436879,0.00100906780998,0.0416666666667,0.0208333333333,0.0136510920085
acic2016,A_s0,aipw,3000,0,2.25,96,0.00468792045073,0.00472246681629,-0.00736923032785,-0.0218347817907,0.000221848806348,0.03125,0.0208333333333,0.0111067910198
acic2016,A_s0,aipw,3000,0,2.5,96,0.00468792045073,0.00471876454185,-0.00657948261822,-0.0197355290394,9.89534270392e-05,0.03125,0.0208333333333,0.00886865668868
acic2016,A_s0,aipw,3000,0,2.75,96,0.00468792045073,0.00471506602399,-0.00579053624005,-0.017629572262,0,0.0208333333333,0.0208333333333,0.00690346732822
acic2016,A_s0,aipw,3000,0,3,96,0.00468792045073,0.00471119552806,-0.00496490449953,-0.0155515684883,0,0.0208333333333,0.0208333333333,0.00563711587321
acic2016,A_s0,aipw,3000,0,3.25,96,0.00468792045073,0.00470738487921,-0.00415203898831,-0.0135481674791,0,0.0208333333333,0.0208333333333,0.0043707644182
acic2016,A_s0,aipw,3000,0,3.5,96,0.00468792045073,0.0047044484066,-0.00352564768386,-0.0117536829839,0,0.0104166666667,0.0104166666667,0.00355755613002
acic2016,A_s0,aipw,3000,0,3.75,96,0.00468792045073,0.00470211883741,-0.00302871749416,-0.0100970342094,0,0.0104166666667,0.0104166666667,0.00306761966311
acic2016,A_s0,aipw,3000,0,4,96,0.00468792045073,0.00469980632111,-0.00253542493095,-0.00845251242892,0,0.0104166666667,0.0104166666667,0.00257768319621
acic2016,A_s0,aipw,3000,0,4.25,96,0.00468792045073,0.00469751085772,-0.00204576999423,-0.00682011764256,0,0.0104166666667,0.0104166666667,0.0020877467293
acic2016,A_s0,aipw,3000,0,4.5,96,0.00468792045073,0.00469523244723,-0.001559752684,-0.00519984985027,0,0.0104166666667,0.0104166666667,0.0015978102624
acic2016,A_s0,aipw,3000,0,4.75,96,0.00468792045073,0.00469297108965,-0.00107737300026,-0.00359170905206,0,0.0104166666667,0.0104166666667,0.0011078737955
acic2016,A_s0,aipw,3000,0,5,96,0.00468792045073,0.00469072678497,-0.000598630943015,-0.00199569524793,0,0.0104166666667,0.0104166666667,0.000617937328593
acic2016,A_s0,aipw,3000,0,6,96,0.00468792045073,0.00468792045073,0,0,0,0,0,0
acic2016,A_s0,aipw,3000,0,8,96,0.00468792045073,0.00468792045073,0,0,0,0,0,0
acic2016,A_s0,aipw,3000,0,10,96,0.00468792045073,0.00468792045073,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,0,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,0.25,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,0.5,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,0.75,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,1,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,1.25,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,1.5,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,1.75,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,2,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,2.25,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,2.5,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,2.75,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,3,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,3.25,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,3.5,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,3.75,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,4,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,4.25,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,4.5,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,4.75,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,5,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,6,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,8,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,ctmle,3000,0,10,96,0.00114003377067,0.00114003377067,0,0,0,0,0,0
acic2016,A_s0,cui_selective_ml,3000,0,0,96,0.00115690180942,0.00115269647053,0.00363500070558,-0.0167983437259,0.0237436026584,0.166666666667,0.0729166666667,0.166666666667
acic2016,A_s0,cui_selective_ml,3000,0,0.25,96,0.00115690180942,0.00116036770813,-0.00299584517994,-0.0197611757635,0.011843172234,0.114583333333,0.0625,0.0949752877421
acic2016,A_s0,cui_selective_ml,3000,0,0.5,96,0.00115690180942,0.00116097294022,-0.00351899423226,-0.0187648448278,0.00930579879297,0.104166666667,0.0520833333333,0.0755139969573
acic2016,A_s0,cui_selective_ml,3000,0,0.75,96,0.00115690180942,0.00116203512503,-0.00443712298458,-0.0183156988586,0.00647634780481,0.104166666667,0.0520833333333,0.0611876621027
acic2016,A_s0,cui_selective_ml,3000,0,1,96,0.00115690180942,0.0011631308811,-0.00538426997196,-0.0181688853047,0.00382959636386,0.09375,0.0520833333333,0.0471541262285
acic2016,A_s0,cui_selective_ml,3000,0,1.25,96,0.00115690180942,0.0011637737303,-0.00593993441957,-0.0178784195673,0.00197845512549,0.0729166666667,0.0416666666667,0.0400684201908
acic2016,A_s0,cui_selective_ml,3000,0,1.5,96,0.00115690180942,0.00116413154691,-0.00624922307963,-0.017429991203,0.000910581987742,0.0625,0.0416666666667,0.0340002098491
acic2016,A_s0,cui_selective_ml,3000,0,1.75,96,0.00115690180942,0.00116367844083,-0.00585756834059,-0.0165201674821,0.000839891399906,0.0520833333333,0.03125,0.0293839498119
acic2016,A_s0,cui_selective_ml,3000,0,2,96,0.00115690180942,0.00116338758913,-0.00560616264228,-0.0156780400996,0.000621877089251,0.0520833333333,0.03125,0.0261411807374
acic2016,A_s0,cui_selective_ml,3000,0,2.25,96,0.00115690180942,0.00116310451446,-0.0053614792441,-0.0149966221156,0.000412698297819,0.0520833333333,0.03125,0.0228984116629
