group,design,method,n,strength,reps,reference_mse,proposal_mse,repaired_mse,proposal_gain,repaired_gain,repaired_gain_ci_low,repaired_gain_ci_high,path_activation,final_activation,conditional_gain_when_active,conditional_harm_when_active,unconditional_harm,mean_shrink_weight
alignment,alignment_aligned,aipw,3000,0,96,0.00472961614261,0.00472961614261,0.00472961614261,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,aipw,3000,3,96,0.0101918826553,0.0101918826553,0.0101918826553,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,aipw,3000,5,96,0.01423142636,0.0141699052005,0.0142323373619,0.0043229088879,-6.40133958376e-05,-0.000226302487601,0,0.0625,0.0104166666667,-0.68273609077,1,0.0104166666667,0.00140798245165
alignment,alignment_aligned,aipw,3000,8,96,0.0253412499909,0.0249094193312,0.0252779676462,0.0170406219037,0.00249720691631,0,0.00876333201207,0.0416666666667,0.0104166666667,0.390343765606,0,0,0.00407970663661
alignment,alignment_aligned,ctmle,3000,0,96,0.00136539463519,0.00136539463519,0.00136539463519,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,ctmle,3000,3,96,0.014803389877,0.014803389877,0.014803389877,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,ctmle,3000,5,96,0.036016063181,0.036016063181,0.036016063181,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,ctmle,3000,8,96,0.0864636877231,0.0864636877231,0.0864636877231,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,cui_selective_ml,3000,0,96,0.00118424426316,0.00118396015664,0.00118424426316,0.000239905339198,0,0,0,0.0208333333333,0,,,0,0
alignment,alignment_aligned,cui_selective_ml,3000,3,96,0.0103163955641,0.0102565477946,0.0102885634509,0.00580122865364,0.00269785246409,-0.00047247945569,0.00839536657833,0.302083333333,0.0416666666667,0.255799889881,0.25,0.0104166666667,0.019180922586
alignment,alignment_aligned,cui_selective_ml,3000,5,96,0.0251071778274,0.0245206413985,0.0249390678158,0.023361304602,0.00669569526296,0,0.0185611135883,0.34375,0.03125,0.174616308167,0,0,0.0185116273525
alignment,alignment_aligned,cui_selective_ml,3000,8,96,0.0601233155799,0.0593977216977,0.059068960095,0.0120684276173,0.017536549252,0.00533070469198,0.0330145846518,0.354166666667,0.0833333333333,0.19934979588,0,0,0.0440392057538
alignment,alignment_aligned,ma_dr_bc,3000,0,96,0.00557335202013,0.00557335202013,0.00557335202013,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,ma_dr_bc,3000,3,96,0.0282652565744,0.0282652565744,0.0282652565744,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,ma_dr_bc,3000,5,96,0.0698216810719,0.0698216810719,0.0698216810719,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,ma_dr_bc,3000,8,96,0.160477916112,0.160477916112,0.160477916112,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,tmle,3000,0,96,0.00151548698672,0.00151548698672,0.00151548698672,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,tmle,3000,3,96,0.0103650238966,0.0103650238966,0.0103650238966,0,0,0,0,0,0,,,0,0
alignment,alignment_aligned,tmle,3000,5,96,0.0234266588557,0.0233624793916,0.0234266588557,0.00273959101454,0,0,0,0.0520833333333,0,,,0,0
alignment,alignment_aligned,tmle,3000,8,96,0.0531422489831,0.0531696039302,0.0531422489831,-0.0005147495187,0,0,0,0.0625,0,,,0,0
alignment,alignment_disjoint,aipw,3000,3,96,0.0193723595275,0.0193806980765,0.0193723595275,-0.000430435382022,0,0,0,0.0104166666667,0,,,0,0
alignment,alignment_disjoint,aipw,3000,5,96,0.0266046694948,0.0265628063134,0.0266046694948,0.00157352758842,0,0,0,0.0104166666667,0,,,0,0
alignment,alignment_disjoint,aipw,3000,8,96,0.062053360009,0.062053360009,0.062053360009,0,0,0,0,0,0,,,0,0
alignment,alignment_disjoint,ctmle,3000,3,96,0.00254504010734,0.00254504010734,0.00254504010734,0,0,0,0,0,0,,,0,0
alignment,alignment_disjoint,ctmle,3000,5,96,0.00481589531256,0.00481589531256,0.00481589531256,0,0,0,0,0,0,,,0,0
alignment,alignment_disjoint,ctmle,3000,8,96,0.0114174760492,0.0114174760492,0.0114174760492,0,0,0,0,0,0,,,0,0
alignment,alignment_disjoint,cui_selective_ml,3000,3,96,0.00217243932617,0.00216448274742,0.00217243932617,0.00366250907526,0,0,0,0.0208333333333,0,,,0,0
alignment,alignment_disjoint,cui_selective_ml,3000,5,96,0.00438571298702,0.00437258912127,0.00437534152576,0.00299241327068,0.00236482899939,-0.0180803120697,0.02887225187,0.125,0.03125,0.146289060249,0.666666666667,0.0208333333333,0.022680448205
alignment,alignment_disjoint,cui_selective_ml,3000,8,96,0.00815822466749,0.00806266710443,0.00802741769451,0.0117130340179,0.0160337546845,-0.0162235720333,0.0613955623968,0.135416666667,0.03125,0.252882752259,0.333333333333,0.0104166666667,0.020319719052
alignment,alignment_disjoint,ma_dr_bc,3000,3,96,0.0222330468673,0.0221835031841,0.0222330468673,0.00222838027763,0,0,0,0.0104166666667,0,,,0,0
alignment,alignment_disjoint,ma_dr_bc,3000,5,96,0.0531218828393,0.0529568745988,0.0531218828393,0.00310621972854,0,0,0,0.0104166666667,0,,,0,0
alignment,alignment_disjoint,ma_dr_bc,3000,8,96,0.122886030678,0.122886030678,0.122886030678,0,0,0,0,0,0,,,0,0
alignment,alignment_disjoint,tmle,3000,3,96,0.00465980372027,0.00465987553687,0.00465980372027,-1.54119364502e-05,0,0,0,0.0104166666667,0,,,0,0
alignment,alignment_disjoint,tmle,3000,5,96,0.00768946462713,0.00768946462713,0.00768946462713,0,0,0,0,0,0,,,0,0
alignment,alignment_disjoint,tmle,3000,8,96,0.0199371889334,0.0199065279691,0.0199434576045,0.00153787800306,-0.000314421010478,-0.00112194382335,0,0.0208333333333,0.0104166666667,-1.24009573593,1,0.0104166666667,0.00752873788221
alignment,alignment_partial,aipw,3000,3,96,0.0163822190776,0.0164115621063,0.0163822190776,-0.00179115103738,0,0,0,0.0416666666667,0,,,0,0
alignment,alignment_partial,aipw,3000,5,96,0.0255389790561,0.025149859144,0.0253467220097,0.015236314309,0.00752798480757,0,0.0246254708038,0.03125,0.0104166666667,0.190603148877,0,0,0.00660614588906
alignment,alignment_partial,aipw,3000,8,96,0.0631177978434,0.0625420327905,0.0630258803746,0.00912207131066,0.00145628447116,0,0.0050546748286,0.0208333333333,0.0104166666667,0.0747055039903,0,0,0.00150712207856
alignment,alignment_partial,ctmle,3000,3,96,0.00393216246828,0.00393216246828,0.00393216246828,0,0,0,0,0,0,,,0,0
alignment,alignment_partial,ctmle,3000,5,96,0.0082468049806,0.0082468049806,0.0082468049806,0,0,0,0,0,0,,,0,0
alignment,alignment_partial,ctmle,3000,8,96,0.0232563864935,0.0232563864935,0.0232563864935,0,0,0,0,0,0,,,0,0
alignment,alignment_partial,cui_selective_ml,3000,3,96,0.00385078860132,0.00381660379141,0.00383449282283,0.00887735304351,0.00423180293346,0,0.014877364286,0.09375,0.0104166666667,0.412231529941,0,0,0.00471088462098
alignment,alignment_partial,cui_selective_ml,3000,5,96,0.00687559590879,0.00681343433949,0.00684168794661,0.00904089916329,0.00493163976232,0,0.0162753659803,0.0729166666667,0.0104166666667,0.189210747958,0,0,0.00708159814994
alignment,alignment_partial,cui_selective_ml,3000,8,96,0.0235497530645,0.0218665589038,0.023409137406,0.0714739622145,0.00597100352453,-0.0010751824769,0.0163312556233,0.177083333333,0.0520833333333,0.0665277448978,0.2,0.0104166666667,0.0156422278275
alignment,alignment_partial,ma_dr_bc,3000,3,96,0.0108276649413,0.0108276649413,0.0108276649413,0,0,0,0,0,0,,,0,0
alignment,alignment_partial,ma_dr_bc,3000,5,96,0.0164310554521,0.0163445256196,0.0163620909504,0.00526623702032,0.00419720461299,0,0.0145008277052,0.0104166666667,0.0104166666667,0.368907618201,0,0,0.00801747534859
alignment,alignment_partial,ma_dr_bc,3000,8,96,0.0434688191802,0.0434688191802,0.0434688191802,0,0,0,0,0,0,,,0,0
alignment,alignment_partial,tmle,3000,3,96,0.00292964901051,0.00297218166349,0.00293897823396,-0.0145180029508,-0.0031844167742,-0.0114468377777,0,0.0208333333333,0.0104166666667,-1.06028322459,1,0.0104166666667,0.00464601827666
alignment,alignment_partial,tmle,3000,5,96,0.00529026609613,0.00528834097641,0.00529026609613,0.000363898467863,0,0,0,0.03125,0,,,0,0
alignment,alignment_partial,tmle,3000,8,96,0.0124650058561,0.0122560704305,0.0124565551917,0.0167617591238,0.000677951096673,0,0.00229242007281,0.0208333333333,0.0104166666667,0.0289377421737,0,0,0.000587122238845
anchor,regional_shift,aipw,3000,0,96,0.0046165728902,0.0046165728902,0.0046165728902,0,0,0,0,0,0,,,0,0
anchor,regional_shift,aipw,3000,3,96,0.00835638759121,0.00836802328359,0.00835638759121,-0.00139243091041,0,0,0,0.0208333333333,0,,,0,0
anchor,regional_shift,aipw,3000,5,96,0.0160093899268,0.0154786434729,0.0156761278293,0.0331521973289,0.0208166644083,0,0.0564342902912,0.03125,0.03125,0.317738166831,0,0,0.0132638887763
anchor,regional_shift,aipw,3000,8,96,0.0277308814721,0.0277193751836,0.0277308814721,0.000414926892792,0,0,0,0.0520833333333,0,,,0,0
anchor,regional_shift,ctmle,3000,0,96,0.0012531197141,0.0012531197141,0.0012531197141,0,0,0,0,0,0,,,0,0
anchor,regional_shift,ctmle,3000,3,96,0.0141424753847,0.0141424753847,0.0141424753847,0,0,0,0,0,0,,,0,0
anchor,regional_shift,ctmle,3000,5,96,0.0347604683142,0.0347604683142,0.0347604683142,0,0,0,0,0,0,,,0,0
anchor,regional_shift,ctmle,3000,8,96,0.0825343124743,0.0825343124743,0.0825343124743,0,0,0,0,0,0,,,0,0
