method,family,cells,reps,equal_cell_gain,equal_cell_gain_ci_low,equal_cell_gain_ci_high,path_activation,final_activation,unconditional_harm
aipw,all,34,3264,0.0279144540494,0.0195689399394,0.0352814499466,0.173100490196,0.0410539215686,0.00490196078431
aipw,kang_schafer,8,768,0.112401762141,0.0774737239654,0.143541031865,0.665364583333,0.157552083333,0.0182291666667
aipw,alignment,10,960,0.00114174627992,-6.07566013814e-06,0.00295521248439,0.021875,0.00416666666667,0.00104166666667
aipw,real,12,1152,0.00147026777854,4.64917250959e-05,0.00355357420254,0.0199652777778,0.00520833333333,0.000868055555556
aipw,anchor,4,384,0.00520416610208,0,0.0141085725728,0.0260416666667,0.0078125,0
tmle,all,34,3264,-0.00410353920309,-0.0120329864572,0.00234623933187,0.157169117647,0.0248161764706,0.0122549019608
tmle,kang_schafer,8,768,-0.0188638529804,-0.0526472493105,0.00862301622579,0.611979166667,0.0924479166667,0.0494791666667
tmle,alignment,10,960,-0.0002820886688,-0.00112075816425,0.000156551425583,0.021875,0.003125,0.00208333333333
tmle,real,12,1152,0.000754378357057,0.000139172936699,0.00164573961623,0.0164930555556,0.00520833333333,0
tmle,anchor,4,384,0.0012897093353,0,0.00409508825157,0.0078125,0.00260416666667,0
ctmle,all,34,3264,0.000283792467922,-0.000402899786557,0.00118516548806,0.00398284313725,0.00122549019608,0.000612745098039
ctmle,kang_schafer,8,768,0.00143607898591,-0.00143497107047,0.00527083625597,0.015625,0.00390625,0.00130208333333
ctmle,alignment,10,960,0,0,0,0,0,0
ctmle,real,12,1152,-0.00015330733149,-0.000509954510272,0,0.000868055555556,0.000868055555556,0.000868055555556
ctmle,anchor,4,384,0,0,0,0,0,0
cui_selective_ml,all,34,3264,0.0172335211175,0.011839800464,0.0225203999264,0.271139705882,0.0579044117647,0.0107230392157
cui_selective_ml,kang_schafer,8,768,0.0453907863386,0.025362203009,0.0650790190839,0.515625,0.12890625,0.03125
cui_selective_ml,alignment,10,960,0.00604631268832,0.00122427206492,0.0117938827078,0.164583333333,0.0291666666667,0.00520833333333
cui_selective_ml,real,12,1152,0.0111497404237,0.00571180562396,0.0172419204895,0.197916666667,0.0373263888889,0.00520833333333
cui_selective_ml,anchor,4,384,0.00713835382927,0.00354716536755,0.0114808566852,0.268229166667,0.0494791666667,0
ma_dr_bc,all,34,3264,0.0299899878989,0.0233726249994,0.0365564675682,0.123774509804,0.0674019607843,0.0143995098039
ma_dr_bc,kang_schafer,8,768,0.126932797994,0.0988240180428,0.1546595751,0.515625,0.28515625,0.0611979166667
ma_dr_bc,alignment,10,960,0.000419720461299,0,0.00145008277052,0.003125,0.00104166666667,0
ma_dr_bc,real,12,1152,0,0,0,0.00260416666667,0,0
ma_dr_bc,anchor,4,384,0,0,0,0.00520833333333,0,0
