dataset,method,reps,ref_mse,current_mse,augmented_mse,current_gain,augmented_gain,augmented_gain_ci_low,augmented_gain_ci_high,augmented_minus_current_gain,augmented_minus_current_gain_ci_low,augmented_minus_current_gain_ci_high,current_activation,augmented_activation,gamma_change_rate,selected_075_rate,current_harm_rate,augmented_harm_rate,significance_class
ACIC 2016,aipw,384,0.005814973099769235,0.005760255804294924,0.005760255804294924,0.009409724608439252,0.009409724608439252,nan,nan,0.0,nan,nan,0.08854166666666667,0.08854166666666667,0.0,0.0,0.0390625,0.0390625,crosses_zero
ACIC 2016,ctmle,384,0.004524202624720051,0.0045209843596300875,0.0045209843596300875,0.0007113441542999643,0.0007113441542999643,nan,nan,0.0,nan,nan,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0026041666666666665,0.0026041666666666665,crosses_zero
ACIC 2016,cui_selective_ml,384,0.0040312403740951795,0.003993125690821703,0.003994974352213797,0.009454827729549975,0.008996243963626749,nan,nan,-0.00045858376592322614,nan,nan,0.2734375,0.2734375,0.020833333333333332,0.020833333333333332,0.13802083333333334,0.13802083333333334,crosses_zero
ACIC 2016,ma_dr_bc,384,0.015787916971935077,0.015685557871538493,0.015685557871538493,0.006483382233295143,0.006483382233295143,nan,nan,0.0,nan,nan,0.08854166666666667,0.08854166666666667,0.0,0.0,0.033854166666666664,0.033854166666666664,crosses_zero
ACIC 2016,tmle,384,0.0038161074334450637,0.0038339865753102263,0.0038339865753102263,-0.004685177809321317,-0.004685177809321317,nan,nan,0.0,nan,nan,0.0625,0.0625,0.0,0.0,0.0390625,0.0390625,crosses_zero
ACIC 2017,aipw,384,0.005046479628264962,0.004957127818158006,0.004957127818158006,0.01770577049523847,0.01770577049523847,nan,nan,0.0,nan,nan,0.09375,0.09375,0.0,0.0,0.033854166666666664,0.033854166666666664,crosses_zero
ACIC 2017,ctmle,384,0.004044459664837549,0.004044459664837549,0.004044459664837549,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2017,cui_selective_ml,384,0.003780508425213752,0.003726742692184962,0.0037282294458703485,0.014221826003667726,0.013828557819031362,nan,nan,-0.0003932681846363639,nan,nan,0.2604166666666667,0.2604166666666667,0.0078125,0.0078125,0.109375,0.109375,crosses_zero
ACIC 2017,ma_dr_bc,384,0.014999762473209282,0.014912186637744428,0.014912186637744428,0.005838481484041647,0.005838481484041647,nan,nan,0.0,nan,nan,0.09375,0.09375,0.0,0.0,0.044270833333333336,0.044270833333333336,crosses_zero
ACIC 2017,tmle,384,0.0032939294584331783,0.0032529214182830586,0.0032529214182830586,0.01244958055951384,0.01244958055951384,nan,nan,0.0,nan,nan,0.06770833333333333,0.06770833333333333,0.0,0.0,0.018229166666666668,0.018229166666666668,crosses_zero
IHDP,aipw,384,0.0038845977052279616,0.003737435525433159,0.003737435525433159,0.0378835058252619,0.0378835058252619,nan,nan,0.0,nan,nan,0.15104166666666666,0.15104166666666666,0.0,0.0,0.046875,0.046875,crosses_zero
IHDP,ctmle,384,0.0038118062235042573,0.0038118062235042573,0.0038118062235042573,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
IHDP,cui_selective_ml,384,0.004500250778252562,0.0044759395559262,0.0044759395559262,0.005402192794198513,0.005402192794198513,nan,nan,0.0,nan,nan,0.046875,0.046875,0.0,0.0,0.020833333333333332,0.020833333333333332,crosses_zero
IHDP,ma_dr_bc,384,0.013224335525527556,0.012781861376177532,0.012781861376177532,0.03345908370941553,0.03345908370941553,nan,nan,0.0,nan,nan,0.15104166666666666,0.15104166666666666,0.0,0.0,0.057291666666666664,0.057291666666666664,crosses_zero
IHDP,tmle,384,0.002728142693305145,0.002642150464355123,0.002642150464355123,0.031520429323966925,0.031520429323966925,nan,nan,0.0,nan,nan,0.13802083333333334,0.13802083333333334,0.0,0.0,0.046875,0.046875,crosses_zero
Kang-Schafer,aipw,768,39.41190360268754,29.34983332444519,29.072425689516606,0.2553053610319955,0.26234403741071444,nan,nan,0.007038676378718911,nan,nan,0.6432291666666666,0.6432291666666666,0.23046875,0.23046875,0.23697916666666666,0.24088541666666666,crosses_zero
Kang-Schafer,ctmle,768,8.160419211359553,7.373208045760393,7.335007552842243,0.09646700067851155,0.10114819314286105,nan,nan,0.004681192464349504,nan,nan,0.7942708333333334,0.7942708333333334,0.3385416666666667,0.3385416666666667,0.25390625,0.2513020833333333,crosses_zero
Kang-Schafer,cui_selective_ml,768,6.433616892014606,5.334175499619669,5.37295720641574,0.17089009352726015,0.16486211463964462,nan,nan,-0.006027978887615526,nan,nan,0.4830729166666667,0.4830729166666667,0.17578125,0.17578125,0.18880208333333334,0.19140625,crosses_zero
Kang-Schafer,ma_dr_bc,768,31.454083030420282,27.376840266459222,27.173847536474653,0.12962523053105135,0.1360788515057353,nan,nan,0.006453620974683938,nan,nan,0.6432291666666666,0.6432291666666666,0.23046875,0.23046875,0.23307291666666666,0.23046875,crosses_zero
Kang-Schafer,tmle,768,6.70700976653455,8.141866885435547,8.144001601271722,-0.21393395400441984,-0.21425223531166138,nan,nan,-0.00031828130724154136,nan,nan,0.5989583333333334,0.5989583333333334,0.20442708333333334,0.20442708333333334,0.33203125,0.3359375,crosses_zero
Twins,aipw,384,0.003642474603758659,0.0036299034485223116,0.0036299034485223116,0.003451267779156386,0.003451267779156386,nan,nan,0.0,nan,nan,0.0234375,0.0234375,0.0,0.0,0.010416666666666666,0.010416666666666666,crosses_zero
Twins,ctmle,384,0.003615671348499954,0.003615671348499954,0.003615671348499954,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
Twins,cui_selective_ml,384,0.007727737616558508,0.0064519392455177705,0.00646116326588276,0.1650933862333832,0.16389976129130124,nan,nan,-0.0011936249420819722,nan,nan,0.5677083333333334,0.5677083333333334,0.059895833333333336,0.059895833333333336,0.22395833333333334,0.22395833333333334,crosses_zero
Twins,ma_dr_bc,384,0.019018947263564408,0.019000458248722846,0.019000458248722846,0.0009721366059509684,0.0009721366059509684,nan,nan,0.0,nan,nan,0.0234375,0.0234375,0.0,0.0,0.0078125,0.0078125,crosses_zero
Twins,tmle,384,0.0030680342474549947,0.0030768336018520185,0.0030757945631346138,-0.0028680756755967707,-0.0025294097306953756,nan,nan,0.0003386659449013951,nan,nan,0.018229166666666668,0.018229166666666668,0.0026041666666666665,0.0026041666666666665,0.010416666666666666,0.010416666666666666,crosses_zero
