dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,augmented_mse,current_gain,augmented_gain,augmented_gain_ci_low,augmented_gain_ci_high,augmented_minus_current_gain,augmented_minus_current_gain_ci_low,augmented_minus_current_gain_ci_high,current_activation,augmented_activation,gamma_change_rate,selected_075_rate,current_harm_rate,augmented_harm_rate,significance_class
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,aipw,3000,0.0,96,0.0046879204507257145,0.004724009961883216,0.004724009961883216,-0.007698405196255864,-0.007698405196255864,nan,nan,0.0,nan,nan,0.052083333333333336,0.052083333333333336,0.0,0.0,0.03125,0.03125,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ctmle,3000,0.0,96,0.0011400337706658095,0.0011400337706658095,0.0011400337706658095,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,cui_selective_ml,3000,0.0,96,0.001156901809422921,0.0011611011732909056,0.0011611011732909056,-0.0036298360273800956,-0.0036298360273800956,nan,nan,0.0,nan,nan,0.21875,0.21875,0.0,0.0,0.13541666666666666,0.13541666666666666,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ma_dr_bc,3000,0.0,96,0.007966825088432996,0.007959599059297216,0.007959599059297216,0.0009070149093985957,0.0009070149093985957,nan,nan,0.0,nan,nan,0.052083333333333336,0.052083333333333336,0.0,0.0,0.010416666666666666,0.010416666666666666,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,tmle,3000,0.0,96,0.001831759214887623,0.0018178173971609088,0.0018178173971609088,0.007611162871955068,0.007611162871955068,nan,nan,0.0,nan,nan,0.0625,0.0625,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,aipw,3000,3.0,96,0.008370831676548241,0.008214401742624484,0.008214401742624484,0.018687502027070035,0.018687502027070035,nan,nan,0.0,nan,nan,0.14583333333333334,0.14583333333333334,0.0,0.0,0.0625,0.0625,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,ctmle,3000,3.0,96,0.014719192833745808,0.014706319773385953,0.014706319773385953,0.0008745765141646711,0.0008745765141646711,nan,nan,0.0,nan,nan,0.020833333333333332,0.020833333333333332,0.0,0.0,0.010416666666666666,0.010416666666666666,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,cui_selective_ml,3000,3.0,96,0.01288183805550961,0.012718523126945838,0.012724439304277425,0.012677921260927705,0.012218656262711347,nan,nan,-0.0004592649982163577,nan,nan,0.23958333333333334,0.23958333333333334,0.07291666666666667,0.07291666666666667,0.03125,0.03125,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,ma_dr_bc,3000,3.0,96,0.03431678974700542,0.03416874396550804,0.03416874396550804,0.004314091807212206,0.004314091807212206,nan,nan,0.0,nan,nan,0.14583333333333334,0.14583333333333334,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,tmle,3000,3.0,96,0.00999844288340713,0.010044631292649509,0.010044631292649509,-0.004619560243628529,-0.004619560243628529,nan,nan,0.0,nan,nan,0.0625,0.0625,0.0,0.0,0.03125,0.03125,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,aipw,3000,0.0,96,0.004751397394806656,0.00469775863825417,0.00469775863825417,0.011289048693572612,0.011289048693572612,nan,nan,0.0,nan,nan,0.07291666666666667,0.07291666666666667,0.0,0.0,0.03125,0.03125,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,ctmle,3000,0.0,96,0.0010416340433206303,0.0010416340433206303,0.0010416340433206303,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,cui_selective_ml,3000,0.0,96,0.0008727575597326152,0.0008616630302638576,0.0008616630302638576,0.012712040526072999,0.012712040526072999,nan,nan,0.0,nan,nan,0.19791666666666666,0.19791666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,ma_dr_bc,3000,0.0,96,0.010874359301053979,0.010579798731631597,0.010579798731631597,0.027087625235431734,0.027087625235431734,nan,nan,0.0,nan,nan,0.07291666666666667,0.07291666666666667,0.0,0.0,0.03125,0.03125,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,tmle,3000,0.0,96,0.0015815139172649052,0.001592681373479997,0.001592681373479997,-0.007061244351491469,-0.007061244351491469,nan,nan,0.0,nan,nan,0.052083333333333336,0.052083333333333336,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,aipw,3000,3.0,96,0.005449742876996327,0.005404852874417824,0.005404852874417824,0.008237086334473953,0.008237086334473953,nan,nan,0.0,nan,nan,0.08333333333333333,0.08333333333333333,0.0,0.0,0.03125,0.03125,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,ctmle,3000,3.0,96,0.0011959498511479572,0.0011959498511479572,0.0011959498511479572,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,cui_selective_ml,3000,3.0,96,0.0012134640717155725,0.00123121543278621,0.001232693901023,-0.014628666381148792,-0.015847052875855416,nan,nan,-0.0012183864947066247,nan,nan,0.4375,0.4375,0.010416666666666666,0.010416666666666666,0.3020833333333333,0.3020833333333333,crosses_zero
