benchmark,setting,aipw_current_gain_pct,aipw_residual_gain_pct,aipw_delta_pct,selective_ml_current_gain_pct,selective_ml_residual_gain_pct,selective_ml_delta_pct,ma_dr_bc_current_gain_pct,ma_dr_bc_residual_gain_pct,ma_dr_bc_delta_pct,c_tmle_current_gain_pct,c_tmle_residual_gain_pct,c_tmle_delta_pct
Kang-Schafer,"KS CC, n=200",24.062,25.129,1.067,-0.305,0.010,0.315,11.133,16.296,5.163,-0.870,13.012,13.882
Kang-Schafer,"KS CC, n=1000",32.853,30.501,-2.351,-0.232,-0.058,0.173,30.928,47.069,16.141,0.000,30.424,30.424
Kang-Schafer,"KS CI, n=200",27.297,27.510,0.213,0.346,0.083,-0.263,24.964,13.353,-11.611,-0.016,9.664,9.680
Kang-Schafer,"KS CI, n=1000",26.447,26.836,0.390,0.038,-0.030,-0.068,41.798,52.674,10.876,0.000,25.938,25.938
Kang-Schafer,"KS IC, n=200",25.222,25.091,-0.130,16.989,15.682,-1.307,1.981,-0.807,-2.788,1.780,3.104,1.324
Kang-Schafer,"KS IC, n=1000",13.472,12.599,-0.873,10.741,9.096,-1.645,7.165,12.487,5.322,0.000,14.244,14.244
Kang-Schafer,"KS II, n=200",26.156,26.509,0.353,30.005,32.438,2.432,4.434,12.298,7.864,0.000,6.747,6.747
Kang-Schafer,"KS II, n=1000",16.446,14.248,-2.198,32.908,38.250,5.342,5.643,15.756,10.113,0.000,16.285,16.285
IHDP,"IHDP A, strength=0",1.383,1.389,0.006,-0.633,-0.633,0.000,2.518,0.681,-1.837,0.000,0.000,0.000
IHDP,"IHDP A, strength=3",4.454,4.878,0.424,0.530,0.651,0.121,1.594,4.636,3.041,0.000,0.000,0.000
IHDP,"IHDP B, strength=0",3.784,4.002,0.217,-0.631,-0.435,0.196,4.349,5.340,0.991,0.000,0.000,0.000
IHDP,"IHDP B, strength=3",4.784,4.632,-0.152,0.337,0.233,-0.104,-1.531,-0.233,1.298,0.000,0.000,0.000
ACIC 2016,"ACIC 2016 A, strength=0",-0.742,-0.770,-0.028,0.364,-0.363,-0.726,0.195,0.091,-0.104,0.000,0.000,0.000
ACIC 2016,"ACIC 2016 A, strength=3",1.230,1.869,0.639,0.420,1.268,0.848,0.309,0.431,0.123,0.000,0.087,0.087
ACIC 2016,"ACIC 2016 B, strength=0",1.129,1.129,0.000,1.244,1.271,0.027,0.992,2.709,1.716,0.000,0.000,0.000
ACIC 2016,"ACIC 2016 B, strength=3",0.682,0.824,0.142,-1.262,-1.463,-0.201,0.621,-0.404,-1.026,0.000,0.000,0.000
ACIC 2017,"ACIC 2017 A, strength=0",4.962,4.962,0.000,0.943,1.580,0.637,1.280,1.906,0.626,0.000,0.000,0.000
ACIC 2017,"ACIC 2017 A, strength=3",1.952,2.071,0.119,0.577,1.896,1.319,0.016,1.187,1.171,0.000,0.000,0.000
ACIC 2017,"ACIC 2017 B, strength=0",-0.470,-0.470,0.000,-2.099,-2.170,-0.070,-0.559,-0.564,-0.005,0.000,0.000,0.000
ACIC 2017,"ACIC 2017 B, strength=3",0.895,0.729,-0.166,0.529,-0.109,-0.638,1.053,-1.397,-2.450,0.000,0.000,0.000
Twins,"Twins A, strength=0",-0.024,-0.024,0.000,6.249,2.104,-4.145,1.244,0.162,-1.082,0.000,0.000,0.000
Twins,"Twins A, strength=3",-0.095,-0.095,0.000,12.565,18.881,6.316,-0.571,0.466,1.037,0.000,0.000,0.000
Twins,"Twins B, strength=0",1.164,1.164,0.000,6.007,2.406,-3.601,-0.023,0.068,0.090,0.000,0.000,0.000
Twins,"Twins B, strength=3",0.124,0.067,-0.057,3.120,3.874,0.754,-0.488,-0.419,0.070,0.000,0.000,0.000
