benchmark,setting,aipw_gain_pct,aipw_lo_pct,aipw_hi_pct,aipw_activation_pct,aipw_harm_pct,selective_ml_gain_pct,selective_ml_lo_pct,selective_ml_hi_pct,selective_ml_activation_pct,selective_ml_harm_pct,ma_dr_bc_gain_pct,ma_dr_bc_lo_pct,ma_dr_bc_hi_pct,ma_dr_bc_activation_pct,ma_dr_bc_harm_pct,c_tmle_gain_pct,c_tmle_lo_pct,c_tmle_hi_pct,c_tmle_activation_pct,c_tmle_harm_pct
Kang-Schafer,"KS CC, n=200",25.129,8.667,39.365,55.2,20.8,0.010,-0.061,0.077,6.2,3.1,16.296,2.799,30.311,55.2,21.9,13.012,5.386,19.340,93.8,39.6
Kang-Schafer,"KS CC, n=1000",30.501,13.328,44.506,97.9,37.5,-0.058,-0.195,0.041,11.5,6.2,47.069,35.280,57.471,97.9,30.2,30.424,16.895,41.734,100.0,30.2
Kang-Schafer,"KS CI, n=200",27.510,13.504,39.919,72.9,27.1,0.083,-0.116,0.355,6.2,3.1,13.353,-4.232,28.119,72.9,36.5,9.664,3.376,15.777,92.7,34.4
Kang-Schafer,"KS CI, n=1000",26.836,6.376,41.985,99.0,38.5,-0.030,-0.101,0.002,4.2,3.1,52.674,43.346,61.575,99.0,24.0,25.938,9.465,39.820,100.0,30.2
Kang-Schafer,"KS IC, n=200",25.091,13.380,35.268,39.6,8.3,15.682,0.174,30.870,81.2,35.4,-0.807,-13.537,9.712,39.6,17.7,3.104,0.148,6.918,40.6,17.7
Kang-Schafer,"KS IC, n=1000",12.599,6.485,18.829,56.2,16.7,9.096,-9.266,25.047,100.0,47.9,12.487,6.444,19.002,56.2,21.9,14.244,8.843,20.115,83.3,19.8
Kang-Schafer,"KS II, n=200",26.509,8.951,43.872,29.2,10.4,32.438,19.973,43.551,80.2,26.0,12.298,-0.521,25.075,29.2,12.5,6.747,2.922,11.201,38.5,10.4
Kang-Schafer,"KS II, n=1000",14.248,5.300,21.915,64.6,30.2,38.250,26.070,48.547,96.9,26.0,15.756,8.805,22.538,64.6,21.9,16.285,11.454,21.566,86.5,20.8
IHDP,"IHDP A, strength=0",1.389,0.035,3.211,11.5,4.2,-0.633,-1.998,0.000,1.0,1.0,0.681,-0.971,2.762,11.5,5.2,0.000,0.000,0.000,0.0,0.0
IHDP,"IHDP A, strength=3",4.878,-2.620,12.275,21.9,7.3,0.651,0.167,1.264,6.2,0.0,4.636,1.158,8.664,21.9,6.2,0.000,0.000,0.000,0.0,0.0
IHDP,"IHDP B, strength=0",4.002,1.039,7.862,13.5,2.1,-0.435,-1.427,0.386,4.2,3.1,5.340,0.250,13.456,13.5,4.2,0.000,0.000,0.000,0.0,0.0
IHDP,"IHDP B, strength=3",4.632,-0.036,11.441,13.5,5.2,0.233,-0.953,1.606,7.3,4.2,-0.233,-3.803,3.336,13.5,7.3,0.000,0.000,0.000,0.0,0.0
ACIC 2016,"ACIC 2016 A, strength=0",-0.770,-4.110,2.587,5.2,3.1,-0.363,-2.742,1.772,21.9,13.5,0.091,-0.770,1.117,5.2,1.0,0.000,0.000,0.000,0.0,0.0
ACIC 2016,"ACIC 2016 A, strength=3",1.869,-0.396,4.613,14.6,6.2,1.268,0.098,2.426,24.0,3.1,0.431,-0.264,1.177,14.6,4.2,0.087,-0.026,0.311,2.1,1.0
ACIC 2016,"ACIC 2016 B, strength=0",1.129,-0.580,3.482,7.3,3.1,1.271,0.059,3.040,19.8,8.3,2.709,-0.462,6.572,7.3,3.1,0.000,0.000,0.000,0.0,0.0
ACIC 2016,"ACIC 2016 B, strength=3",0.824,-0.260,2.257,8.3,3.1,-1.463,-3.898,0.855,43.8,30.2,-0.404,-1.336,0.266,8.3,5.2,0.000,0.000,0.000,0.0,0.0
ACIC 2017,"ACIC 2017 A, strength=0",4.962,0.612,11.679,6.2,0.0,1.580,-0.150,3.396,16.7,5.2,1.906,-0.945,6.287,6.2,3.1,0.000,0.000,0.000,0.0,0.0
ACIC 2017,"ACIC 2017 A, strength=3",2.071,-0.616,6.104,11.5,5.2,1.896,0.621,3.322,29.2,7.3,1.187,-0.672,3.270,11.5,3.1,0.000,0.000,0.000,0.0,0.0
ACIC 2017,"ACIC 2017 B, strength=0",-0.470,-2.263,0.605,8.3,2.1,-2.170,-6.362,0.691,14.6,8.3,-0.564,-2.090,0.645,8.3,5.2,0.000,0.000,0.000,0.0,0.0
ACIC 2017,"ACIC 2017 B, strength=3",0.729,-0.928,2.610,11.5,6.2,-0.109,-1.977,1.495,43.8,22.9,-1.397,-4.513,0.607,11.5,6.2,0.000,0.000,0.000,0.0,0.0
Twins,"Twins A, strength=0",-0.024,-0.082,0.000,1.0,1.0,2.104,-10.001,12.715,51.0,26.0,0.162,0.000,0.571,1.0,0.0,0.000,0.000,0.000,0.0,0.0
Twins,"Twins A, strength=3",-0.095,-0.364,0.023,2.1,1.0,18.881,12.065,27.384,62.5,1.0,0.466,0.000,1.317,2.1,0.0,0.000,0.000,0.000,0.0,0.0
Twins,"Twins B, strength=0",1.164,-0.285,3.631,3.1,1.0,2.406,-14.253,15.106,52.1,29.2,0.068,-0.148,0.371,3.1,1.0,0.000,0.000,0.000,0.0,0.0
Twins,"Twins B, strength=3",0.067,-0.294,0.451,3.1,1.0,3.874,-7.480,14.938,61.5,33.3,-0.419,-1.684,0.221,3.1,2.1,0.000,0.000,0.000,0.0,0.0
