group,setting,method,n,strength,reps,low_response_gain,low_response_gain_ci_low,low_response_gain_ci_high,high_response_gain,high_response_gain_ci_low,high_response_gain_ci_high,low_minus_high_gain,low_minus_high_gain_ci_low,low_minus_high_gain_ci_high,low_final_activation,high_final_activation,low_harm,high_harm
Kang--Schafer,"KS CC, $n=1000$",aipw,1000,0,96,0.148603465756,0.0305587182107,0.260346925012,0.00328322201378,-0.00311937070307,0.00991437617147,0.145320243743,0.0272442698966,0.257406064235,0.875,0.739583333333,0.385416666667,0.333333333333
Kang--Schafer,"KS CC, $n=1000$",ctmle,1000,0,96,0.233088471082,0.14472402046,0.309490680198,-0.013284415038,-0.0209453410501,-0.00663655979237,0.24637288612,0.155142580133,0.325640310504,0.958333333333,0.864583333333,0.28125,0.604166666667
Kang--Schafer,"KS CC, $n=1000$",cui_selective_ml,1000,0,96,-0.00139375114603,-0.00333298170152,7.72970511742e-05,6.5496126749e-05,-0.000133788615361,0.00029089138879,-0.00145924727278,-0.00339684523435,1.23386694997e-05,0.114583333333,0.125,0.0520833333333,0.0729166666667
Kang--Schafer,"KS CC, $n=1000$",ma_dr_bc,1000,0,96,0.23905130863,0.174472126068,0.301682213655,0.0737792908006,0.0511562660846,0.0975617927542,0.16527201783,0.10290798492,0.22515766251,0.875,0.739583333333,0.177083333333,0.145833333333
Kang--Schafer,"KS CC, $n=200$",aipw,200,0,96,0.287083759766,0.132758999535,0.420332699363,0.00378492835775,-0.0470893210567,0.0603030672245,0.283298831408,0.133285500759,0.413727097301,0.479166666667,0.489583333333,0.166666666667,0.25
Kang--Schafer,"KS CC, $n=200$",ctmle,200,0,96,0.076351808661,0.015883296107,0.131670283443,-0.0378862255828,-0.0728434725558,-0.00648636778203,0.114238034244,0.0397473608112,0.185611219875,0.78125,0.739583333333,0.28125,0.458333333333
Kang--Schafer,"KS CC, $n=200$",cui_selective_ml,200,0,96,-0.000109648705312,-0.00119214832477,0.000799929345831,-8.44357099792e-05,-0.000401774474594,0.000184135501645,-2.52129953333e-05,-0.00112736095722,0.000927065939588,0.114583333333,0.0833333333333,0.0520833333333,0.0520833333333
Kang--Schafer,"KS CC, $n=200$",ma_dr_bc,200,0,96,0.117196141092,-0.00633040696099,0.247257557712,0.0235863007767,-0.0443478211522,0.0875059864374,0.0936098403157,-0.0478051469267,0.238585408058,0.479166666667,0.489583333333,0.260416666667,0.208333333333
Kang--Schafer,"KS CI, $n=1000$",aipw,1000,0,96,0.139921952383,0.030130436565,0.240100578804,1.57871829576e-05,-0.00633303817102,0.00646199860605,0.139906165201,0.0296421401959,0.240683261666,0.822916666667,0.739583333333,0.34375,0.385416666667
Kang--Schafer,"KS CI, $n=1000$",ctmle,1000,0,96,0.218164489048,0.124447427463,0.2956174115,-0.0111170750781,-0.0188164056063,-0.00447745019197,0.229281564126,0.133991757155,0.307750793562,0.958333333333,0.75,0.291666666667,0.427083333333
Kang--Schafer,"KS CI, $n=1000$",cui_selective_ml,1000,0,96,-0.000138525142104,-0.00113882614758,0.000636552655265,-0.000112568298928,-0.00047904279873,0.000239912752054,-2.59568431757e-05,-0.0011071018388,0.000894631065675,0.104166666667,0.166666666667,0.0520833333333,0.0833333333333
Kang--Schafer,"KS CI, $n=1000$",ma_dr_bc,1000,0,96,0.16636049844,0.100334393107,0.232701255606,0.0618580053156,0.0407059558528,0.0861459573531,0.104502493125,0.0323911492021,0.175266641952,0.822916666667,0.739583333333,0.239583333333,0.166666666667
Kang--Schafer,"KS CI, $n=200$",aipw,200,0,96,0.234997132333,0.124994223443,0.344066636556,0.055798844929,0.0115232615507,0.103847365902,0.179198287404,0.0534751117711,0.305478245114,0.677083333333,0.458333333333,0.239583333333,0.1875
Kang--Schafer,"KS CI, $n=200$",ctmle,200,0,96,0.0641110620741,0.00743434141679,0.120087627858,-0.0150843977122,-0.0340650844035,0.00342811965486,0.0791954597863,0.0199400835813,0.137615531868,0.78125,0.708333333333,0.28125,0.375
Kang--Schafer,"KS CI, $n=200$",cui_selective_ml,200,0,96,0.00149117700446,-0.00157801568396,0.00590065142724,-0.00012109002993,-0.000317970777441,3.00928839361e-05,0.00161226703439,-0.0014524032818,0.00601620166383,0.09375,0.0729166666667,0.0520833333333,0.0520833333333
Kang--Schafer,"KS CI, $n=200$",ma_dr_bc,200,0,96,0.106113142188,-0.0581237091291,0.233624047357,-0.00878980987104,-0.0871993937184,0.0567831845157,0.114902952059,-0.066693085748,0.279975952313,0.677083333333,0.458333333333,0.270833333333,0.1875
Kang--Schafer,"KS IC, $n=1000$",aipw,1000,0,96,0.102144159541,0.0473301117603,0.165794669128,0.00023042651506,-0.00164949791924,0.00222388567195,0.101913733026,0.0472530470848,0.16510841256,0.5,0.354166666667,0.15625,0.177083333333
Kang--Schafer,"KS IC, $n=1000$",ctmle,1000,0,96,0.0831365628421,0.0364917179661,0.13260569809,-0.00167574659059,-0.00486230882452,0.00121042078253,0.0848123094327,0.0374378259273,0.135306508509,0.53125,0.4375,0.125,0.270833333333
Kang--Schafer,"KS IC, $n=1000$",cui_selective_ml,1000,0,96,-0.0189256823159,-0.182604504085,0.121309883741,-0.0139038988471,-0.0271366272486,-0.00019475373414,-0.00502178346885,-0.168655811575,0.134870216113,0.9375,0.947916666667,0.416666666667,0.604166666667
Kang--Schafer,"KS IC, $n=1000$",ma_dr_bc,1000,0,96,0.0622788432804,0.0244887078862,0.109526173818,0.00468014646231,-0.00589038208763,0.01330303063,0.0575986968181,0.0180551602594,0.107270180648,0.5,0.354166666667,0.145833333333,0.145833333333
Kang--Schafer,"KS IC, $n=200$",aipw,200,0,96,0.22782620935,0.118731728067,0.321421072485,0.0182139098089,0.00583646402458,0.0337030086185,0.209612299541,0.101513689238,0.303200466097,0.34375,0.3125,0.0833333333333,0.104166666667
Kang--Schafer,"KS IC, $n=200$",ctmle,200,0,96,0.0446280009883,0.0109851886599,0.0828005170784,-0.00823054966781,-0.0166159790387,-0.00131615102368,0.0528585506562,0.016532835608,0.0941553269637,0.291666666667,0.395833333333,0.104166666667,0.25
Kang--Schafer,"KS IC, $n=200$",cui_selective_ml,200,0,96,0.1372384527,0.0245871807631,0.235611019063,0.000353853963708,-0.0374240566955,0.0386525606855,0.136884598736,0.015948139127,0.241649197507,0.8125,0.760416666667,0.375,0.4375
Kang--Schafer,"KS IC, $n=200$",ma_dr_bc,200,0,96,-0.00120860722489,-0.123246630041,0.0908696984431,-0.00417258970727,-0.0752832791803,0.0506398880605,0.00296398248239,-0.117216833945,0.118387126046,0.34375,0.3125,0.145833333333,0.166666666667
Kang--Schafer,"KS II, $n=1000$",aipw,1000,0,96,0.0359772007825,-0.0189504400836,0.0892307805203,-0.000825070258832,-0.00388622155289,0.00178555920602,0.0368022710414,-0.018718486719,0.0906770919066,0.385416666667,0.395833333333,0.1875,0.197916666667
Kang--Schafer,"KS II, $n=1000$",ctmle,1000,0,96,0.0749187958907,0.0414656671106,0.112596555084,-0.00433848438868,-0.00823482448693,-0.00106957134904,0.0792572802794,0.0460841452995,0.116563315735,0.541666666667,0.40625,0.15625,0.270833333333
Kang--Schafer,"KS II, $n=1000$",cui_selective_ml,1000,0,96,0.0840351234228,-0.00842520728822,0.182974282527,0.017993162602,0.00417275226423,0.0333852995429,0.0660419608208,-0.0257726004779,0.163071573239,0.916666666667,0.96875,0.364583333333,0.479166666667
Kang--Schafer,"KS II, $n=1000$",ma_dr_bc,1000,0,96,0.0677287651569,0.0290924972343,0.110128999029,0.00378107920213,-0.00654752042217,0.0146018795545,0.0639476859548,0.0228641061148,0.109206000954,0.385416666667,0.395833333333,0.104166666667,0.177083333333
Kang--Schafer,"KS II, $n=200$",aipw,200,0,96,0.191233926147,0.0372683679431,0.352997314984,-0.02415305323,-0.0682947758936,0.00577661814041,0.215386979377,0.0583153501377,0.37359222801,0.25,0.270833333333,0.0729166666667,0.114583333333
Kang--Schafer,"KS II, $n=200$",ctmle,200,0,96,0.0530512709899,0.0116971667324,0.103064595336,0.00659586475405,-0.00571669307905,0.0220848618058,0.0464554062359,0.00325444300506,0.0971103906149,0.302083333333,0.416666666667,0.0729166666667,0.21875
Kang--Schafer,"KS II, $n=200$",cui_selective_ml,200,0,96,0.132990884041,0.0148361542428,0.241350814535,0.0833481035426,-0.00157279519082,0.15978498668,0.0496427804982,-0.0891338869641,0.179047484927,0.729166666667,0.854166666667,0.302083333333,0.354166666667
Kang--Schafer,"KS II, $n=200$",ma_dr_bc,200,0,96,0.0796893043177,-0.0197813805175,0.178173435206,0.015499951408,-0.0110861615807,0.0468910631235,0.0641893529098,-0.0429866766588,0.170574554508,0.25,0.270833333333,0.0729166666667,0.15625
Semi-synthetic benchmarks,"ACIC 2016 A, $s=0$",aipw,3000,0,96,0.00984091634496,-0.0194049090046,0.0412918202504,-0.00293469490433,-0.00754604099226,0.000310983455604,0.0127756112493,-0.016709158411,0.0442300991915,0.104166666667,0.177083333333,0.0625,0.09375
Semi-synthetic benchmarks,"ACIC 2016 A, $s=0$",ctmle,3000,0,96,0.00565284588309,0.00151610001224,0.0119165022589,-0.00425185538215,-0.0137287180176,0.00286700104159,0.00990470126524,0.000996732628152,0.0194741427285,0.0729166666667,0.125,0,0.0416666666667
Semi-synthetic benchmarks,"ACIC 2016 A, $s=0$",cui_selective_ml,3000,0,96,-0.0107151183443,-0.065156700378,0.0374775849826,-0.00162281691084,-0.00550149627713,0.00150474900504,-0.00909230143342,-0.0643430564436,0.0394349235455,0.104166666667,0.197916666667,0.0625,0.09375
Semi-synthetic benchmarks,"ACIC 2016 A, $s=0$",ma_dr_bc,3000,0,96,0.00703107429678,-0.00315912218631,0.0234944220098,-0.00196745430293,-0.00861879098572,0.00243956619332,0.00899852859971,-0.00314621830328,0.0267236152952,0.104166666667,0.177083333333,0.0416666666667,0.0729166666667
Semi-synthetic benchmarks,"ACIC 2016 A, $s=3$",aipw,3000,3,96,-0.00762531149024,-0.0230243954784,0.00180451900147,-0.000198414870818,-0.00382626209367,0.00279944089278,-0.00742689661942,-0.0229630984047,0.00279056673783,0.114583333333,0.208333333333,0.09375,0.104166666667
Semi-synthetic benchmarks,"ACIC 2016 A, $s=3$",ctmle,3000,3,96,0.00890080797006,0.00227178843051,0.0170598038893,-1.23803946019e-05,-0.00107348970093,0.00116748949899,0.00891318836466,0.00201442560974,0.0173261472195,0.0729166666667,0.104166666667,0.0104166666667,0.0625
Semi-synthetic benchmarks,"ACIC 2016 A, $s=3$",cui_selective_ml,3000,3,96,0.0217984759637,0.000282385802041,0.0436934580901,-0.00104024986229,-0.00252642557884,0.000158695981411,0.022838725826,0.000932236170449,0.0453851453386,0.260416666667,0.177083333333,0.0520833333333,0.104166666667
Semi-synthetic benchmarks,"ACIC 2016 A, $s=3$",ma_dr_bc,3000,3,96,0.0169713200522,0.00365327570201,0.0358671418114,-0.00257017098048,-0.00520182397115,-0.000527770747531,0.0195414910327,0.0060251958462,0.0384844936632,0.114583333333,0.208333333333,0.0104166666667,0.114583333333
Semi-synthetic benchmarks,"ACIC 2016 B, $s=0$",aipw,3000,0,96,0.0071857269318,0.00120746563215,0.0161985952196,8.67334760821e-05,-0.00170338312893,0.00182043499356,0.00709899345571,0.000815720949001,0.0162933864135,0.0729166666667,0.104166666667,0.0104166666667,0.0520833333333
Semi-synthetic benchmarks,"ACIC 2016 B, $s=0$",ctmle,3000,0,96,-0.00998639315759,-0.0310911905461,0.00601940187327,-0.000372777217485,-0.00318575666059,0.00214859417889,-0.00961361594011,-0.0307400088705,0.00688380245019,0.0729166666667,0.09375,0.0416666666667,0.0520833333333
Semi-synthetic benchmarks,"ACIC 2016 B, $s=0$",cui_selective_ml,3000,0,96,0.00591216855271,0.00113365126822,0.0122763387731,-0.00207483296877,-0.00868652167649,0.00241968886321,0.00798700152148,0.000963947673136,0.0169219236819,0.104166666667,0.166666666667,0.0208333333333,0.0625
