source,design,reference_method,method,n,strength,seed0,rep,ref_error,rt_error,selected_region_damp,score_selected_error,score_selected_gamma,base_residual_loss,score_selected_residual_loss,weighted_residual_selected_loss,eligible_count,gamma_changed,pair_id
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034500000,1,0.0546378676664,0.0546378676664,0,0.0546378676664,0,13.2955787502,13.2955787502,13.2955787502,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034500000|rep=1"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034500000,2,0.0906483311753,0.0906483311753,0,0.0906483311753,0,25.9899330899,25.9899330899,25.9899330899,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034500000|rep=2"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034500000,3,0.00725676849013,0.00725676849013,0,0.00725676849013,0,23.9576927686,23.9576927686,23.9576927686,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034500000|rep=3"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034500000,4,-0.0162394012317,-0.0162394012317,0,-0.0162394012317,0,17.3856141715,17.3856141715,17.3856141715,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034500000|rep=4"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034600000,1,0.138937237182,0.138937237182,0,0.138937237182,0,27.1211297434,27.1211297434,27.1211297434,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034600000|rep=1"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034600000,2,0.0798097761898,0.0798097761898,0,0.0798097761898,0,14.1030627972,14.1030627972,14.1030627972,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034600000|rep=2"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034600000,3,0.0254827692697,0.0254827692697,0,0.0254827692697,0,24.8640663289,24.8640663289,24.8640663289,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034600000|rep=3"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034600000,4,0.0116180685762,0.0116180685762,0,0.0116180685762,0,16.1088348956,16.1088348956,16.1088348956,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034600000|rep=4"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034700000,1,-0.05404545012,-0.05404545012,0,-0.05404545012,0,19.9370437662,19.9370437662,19.9370437662,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034700000|rep=1"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034700000,2,0.196274936808,0.196274936808,0,0.196274936808,0,25.5762357979,25.5762357979,25.5762357979,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034700000|rep=2"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034700000,3,0.0191313695968,0.0191313695968,0,0.0191313695968,0,20.1200222616,20.1200222616,20.1200222616,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034700000|rep=3"
weighted_residual_low_response,acic2016_misaligned,aipw,aipw,3000,0,2034700000,4,0.0707242660148,0.0707242660148,0,0.0707242660148,0,16.3514064253,16.3514064253,16.3514064253,1,False,"('Semi-synthetic benchmarks', 'ACIC 2016 B, $s=0$', 'aipw', 3000, 0.0)|seed=2034700000|rep=4"
