dataset,method,setting_methods,mean_rho,mean_selected_gain_pct,mean_weighted_residual_reduction_pct,mean_weighted_residual_square_delta,median_weighted_residual_reduction_pct,median_selected_gain_pct,wins,losses,crosses_zero,ols_intercept_gain_pct,ols_slope_gain_pct_per_rho,nonnegative_slope_gain_pct_per_rho,pearson_r,spearman_r,ols_intercept_weighted_residual_reduction_pct,ols_slope_weighted_residual_reduction_pct_per_rho,pearson_r_weighted_residual_reduction
ACIC 2016,aipw,4,4.140278557346849,0.7628807964715184,-0.3865611082752213,-0.005759740005098601,-0.47300899117570516,0.9763067514023283,0,0,4,81.65288335421658,-19.53733340337867,0.0,-0.6872975736353947,-0.39999999999999997,-13.07833575701962,3.0654397941952665,0.30492220655586605
ACIC 2016,ctmle,4,0.4820435722342605,0.021864412854116777,-0.006344874052127691,-0.00024626632688862227,0.0,0.0,0,0,4,-8.09417774247387,16.83673971153754,16.83673971153754,0.2603722207657149,0.2581988897471611,2.348864278871418,-4.885884365197958,-0.26037222076571487
ACIC 2016,cui_selective_ml,4,0.6079048494103036,0.1782864844617954,0.853704398567659,0.017276895944428466,0.6656963284016659,0.45240426167738046,2,0,2,-14.479951639996463,24.112717868063466,24.112717868063466,0.798640823853837,0.39999999999999997,13.103042695670434,-20.150091431225153,-0.7864223753424813
ACIC 2016,ma_dr_bc,4,4.140278557346849,0.7066646256680409,-0.3865611082752213,-0.005759740005098601,-0.47300899117570516,0.2610553358305401,0,0,4,91.21863079397197,-21.86132283483489,0.0,-0.6205653497788607,-0.39999999999999997,-13.07833575701962,3.0654397941952665,0.30492220655586605
ACIC 2017,aipw,4,4.130332004648725,1.8229246330892983,-0.804561602851539,-0.014944531641555292,-0.8385495820200095,1.399975127797376,1,0,3,785.773726255735,-189.8033380222951,0.0,-0.5184789481369565,-0.19999999999999998,-41.21553423030741,9.783952617361741,0.1163252693746906
ACIC 2017,ctmle,4,0.4838432177192792,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,nan,nan,nan,nan,nan
ACIC 2017,cui_selective_ml,4,0.5408488726806451,0.2993248054481701,0.46080555220120445,0.022697169777688264,0.21646496926170378,0.7354661918224925,1,0,3,-22.608824820450728,42.355916380776975,42.355916380776975,0.7405831237320706,0.7999999999999999,-30.16628732233216,56.627820490286446,0.986068676667683
ACIC 2017,ma_dr_bc,4,4.130332004648725,0.28290804674666603,-0.804561602851539,-0.014944531641555292,-0.8385495820200095,0.3115678507293662,0,0,4,484.86302458467236,-117.32231597666397,0.0,-0.490349627350902,-0.39999999999999997,-41.21553423030741,9.783952617361741,0.1163252693746906
IHDP,aipw,4,3.0378001663660887,3.725210180430888,-2.68676503692154,-0.03385154027360443,-3.008907960616247,4.316861665347544,2,0,2,12.164742196089405,-2.7781722145845253,0.0,-0.09426815987441829,0.0,26.740353491923695,-9.686982986786415,-0.4351294064224465
IHDP,ctmle,4,0.5306525994450646,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,nan,nan,nan,nan,nan
IHDP,cui_selective_ml,4,0.5042642113374777,-0.04603930212912499,-0.47634510072667724,0.0033405897871864043,-0.2272548185440093,-0.10092689424312518,1,0,3,-3.244914500319872,6.343649075761807,6.343649075761807,0.0852496873175285,0.0,29.585723036280193,-59.61570831543286,-0.42534853605493306
IHDP,ma_dr_bc,4,3.0378001663660887,2.6057321706662946,-2.68676503692154,-0.03385154027360443,-3.008907960616247,2.6582141849223087,2,0,2,151.27602484402755,-48.940116048253856,0.0,-0.952544179974858,-1.0,26.740353491923695,-9.686982986786415,-0.4351294064224465
Kang-Schafer,aipw,8,2.9736970690442606,23.55294309934858,13.080036152675115,108.012493140802,10.198526604244464,25.818947904516055,8,0,0,7.1293646999075735,5.522949385264554,5.522949385264554,0.3947655838482061,0.023809523809523815,49.83596132288779,-12.360346167347155,-0.6838774392707822
Kang-Schafer,ctmle,8,0.382691324494334,14.927308268053862,18.11349586113068,148.9973112223509,15.78099961982386,13.62813051880699,8,0,0,145.57790710009408,-341.3994268217978,0.0,-0.7997609341939247,-0.8095238095238096,164.77432560265183,-383.23531356586216,-0.7021458892311324
Kang-Schafer,cui_selective_ml,8,0.7327926445516582,11.933892281101013,15.380081103892476,338.53409219644766,11.623935009473252,4.589725684267254,3,0,5,-1.6115464978603309,18.48468168952324,18.48468168952324,0.6492152434859639,0.6666666666666669,6.685039565322753,11.865623383664804,0.24001865500194203
Kang-Schafer,ma_dr_bc,8,2.9736970690442606,21.140609063648824,13.080036152675115,108.012493140802,10.198526604244464,14.554245444284769,5,0,3,95.98431184236847,-25.168569979044392,0.0,-0.6286777351684909,-0.5952380952380953,49.83596132288779,-12.360346167347155,-0.6838774392707822
Twins,aipw,4,1.7451348876776,0.27768306482806593,-0.3622268559602182,-0.013985680821320345,-0.37261005847387674,0.02123746828484596,0,0,4,-21.469774580626215,12.46176315596755,12.46176315596755,0.7749845833408658,0.19999999999999998,0.5628927827644501,-0.5301135432320674,-0.07238033684456917
Twins,ctmle,4,0.4134833397345332,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,nan,nan,nan,nan,nan
Twins,cui_selective_ml,4,0.9712697430185853,6.816254313160233,-1.8021666776426886,0.03447031201566042,-4.401865993460308,3.140148999859116,1,0,3,-1.9020083180343514,8.976149719334725,8.976149719334725,0.994046885003622,0.19999999999999998,-9.554153781005402,7.981291663910484,0.9704396317856536
Twins,ma_dr_bc,4,1.7451348876776,0.06924700899796632,-0.3622268559602182,-0.013985680821320345,-0.37261005847387674,0.1146809081956135,0,0,4,-9.27888644405127,5.356682465668654,5.356682465668654,0.5392156122800833,0.39999999999999997,0.5628927827644501,-0.5301135432320674,-0.07238033684456917
all,all,96,1.8652982438303207,6.693018611041604,4.577363442961546,58.627218129855,0.0,1.14632996960789,34,0,62,5.081398390017733,0.864001360830358,0.864001360830358,0.11149332160632237,0.07011999560341943,6.052115534271182,-0.790625357734367,-0.10035642634172043
