method,response_bin,response_bin_label,setting_bins,mean_n_share,mean_true_pi,mean_rho,mean_action_square_contribution,mean_weighted_action_square_contribution,mean_absolute_action_contribution,mean_weighted_residual_square_delta,mean_weighted_residual_reduction_pct,median_weighted_residual_square_delta,positive_delta,negative_delta,zero_delta,mean_unweighted_residual_square_delta,share_of_mean_weighted_residual_delta,share_of_mean_action_square,share_of_mean_weighted_action_square,share_of_mean_absolute_action
aipw,1,lowest_response,24,0.25,0.24465352587270076,3.1668232923546307,5.273394765798455,36.19163039194196,0.3497024137478584,34.64726045746837,3.933173233433754,-0.0064942143776073324,9,15,0,3.1893201982502553,0.962618008219459,0.4138322147362352,0.8538971372935865,0.3289832315055189
aipw,2,response_bin_2,24,0.25,0.6271361094776274,3.1668232923546307,2.6132184217524435,3.964299673299857,0.24681116263562652,0.9951323540304245,1.1913214243651764,-0.0004160189432573583,6,18,0,0.6422269072398972,0.027648140485087683,0.20507358449194366,0.09353278936995166,0.23218808525024046
aipw,3,response_bin_3,24,0.25,0.7312892296760087,3.1668232923546307,2.2543192680009927,1.5792534450869755,0.22620185942670404,0.30670620821310146,0.830268607885821,-0.00027338200068800084,6,18,0,0.41499109062531225,0.008521335175145079,0.1769087991382655,0.03726054839798125,0.21279984284126194
aipw,4,highest_response,24,0.25,0.8430994262136471,3.1668232923546307,2.6019004559931074,0.6488798753979205,0.24026401194926886,0.043641778431826324,0.22826469157793172,-0.00019018671562613144,4,20,0,0.24450975667399225,0.0012125161203082675,0.2041854016335557,0.015309524938480477,0.22602884040297863
ctmle,1,lowest_response,24,0.25,0.24465352587270076,0.4459008963536342,4.445561546738003,30.5340482545261,0.3765749025750798,45.80083518327536,6.229244921142997,0.0,8,1,15,4.909128572084162,0.9221818700872326,0.3851352022669061,0.8390908578852805,0.31709561012214904
ctmle,2,response_bin_2,24,0.25,0.6271361094776274,0.4459008963536342,2.452886247191858,3.7104069375781603,0.27684493879679467,2.5041850291311487,4.382752177668817,0.0,8,1,15,1.6542246692501485,0.05042078433652414,0.21250247713770398,0.10196383114363018,0.2331178051874983
ctmle,3,response_bin_3,24,0.25,0.7312892296760087,0.4459008963536342,2.163981896618379,1.524438096271249,0.25795174827823514,0.9752891880351702,3.9526953453348224,0.0,8,1,15,1.3751620452193876,0.019637065649548563,0.18747364010010859,0.04189231835001234,0.21720875831881542
ctmle,4,highest_response,24,0.25,0.8430994262136471,0.4459008963536342,2.480429857401217,0.6205488889347774,0.27620367331243556,0.3854199626208213,3.637939881476519,0.0,8,1,15,1.764136230200724,0.007760279926694615,0.2148886804952812,0.017052992621076915,0.2325778263715373
cui_selective_ml,1,lowest_response,24,0.25,0.24465352587270076,0.681645494258388,12.65146125610199,86.23095189930605,0.5124437711262558,100.99410584051769,4.83229716132036,-0.00018583014136746429,11,13,0,13.057409465416079,0.8948803691698163,0.44342370874447246,0.8589338938072371,0.3535530286687079
cui_selective_ml,2,response_bin_2,24,0.25,0.6271361094776274,0.681645494258388,6.27996698433742,9.79319286153963,0.3459615984614055,8.795000571061747,6.958411018614421,0.0003491179491322289,13,11,0,5.5841709460039555,0.0779300266325338,0.2201078748626482,0.09754856106876823,0.23869110687065248
cui_selective_ml,3,response_bin_3,24,0.25,0.7312892296760087,0.681645494258388,4.394239972589834,3.157609395162304,0.28430875484966595,2.218315426536683,5.316331986688159,7.594971442723315e-05,13,11,0,3.0303592182072236,0.01965586913526428,0.15401463485644376,0.0314524851363829,0.19615463591880195
cui_selective_ml,4,highest_response,24,0.25,0.8430994262136471,0.681645494258388,5.2056462083936506,1.2112475883824954,0.30669722145283723,0.8502397219539537,6.735189734093357,0.00013426226943344822,15,9,0,4.196935798537819,0.007533735062385655,0.18245378153643574,0.012065059987611882,0.21160122854183766
ma_dr_bc,1,lowest_response,24,0.25,0.24465352587270076,3.1668232923546307,5.273394765798455,36.19163039194196,0.3497024137478584,34.64726045746837,3.933173233433754,-0.0064942143776073324,9,15,0,3.1893201982502553,0.962618008219459,0.4138322147362352,0.8538971372935865,0.3289832315055189
ma_dr_bc,2,response_bin_2,24,0.25,0.6271361094776274,3.1668232923546307,2.6132184217524435,3.964299673299857,0.24681116263562652,0.9951323540304245,1.1913214243651764,-0.0004160189432573583,6,18,0,0.6422269072398972,0.027648140485087683,0.20507358449194366,0.09353278936995166,0.23218808525024046
ma_dr_bc,3,response_bin_3,24,0.25,0.7312892296760087,3.1668232923546307,2.2543192680009927,1.5792534450869755,0.22620185942670404,0.30670620821310146,0.830268607885821,-0.00027338200068800084,6,18,0,0.41499109062531225,0.008521335175145079,0.1769087991382655,0.03726054839798125,0.21279984284126194
ma_dr_bc,4,highest_response,24,0.25,0.8430994262136471,3.1668232923546307,2.6019004559931074,0.6488798753979205,0.24026401194926886,0.043641778431826324,0.22826469157793172,-0.00019018671562613144,4,20,0,0.24450975667399225,0.0012125161203082675,0.2041854016335557,0.015309524938480477,0.22602884040297863
