dataset,setting,design,method,n,strength,response_bin,response_bin_label,reps,mean_n_share,mean_true_pi,min_true_pi,max_true_pi,mean_rho,path_activation,action_square_contribution,weighted_action_square_contribution,absolute_action_contribution,ref_weighted_residual_square_contribution,selected_weighted_residual_square_contribution,weighted_residual_square_delta,weighted_residual_square_reduction,ref_unweighted_residual_square_contribution,selected_unweighted_residual_square_contribution,unweighted_residual_square_delta,unweighted_residual_square_reduction,mean_rep_weighted_residual_square_delta
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,aipw,3000,0.0,1,lowest_response,96,0.25,0.30312721629174477,0.05,0.7104269943761716,4.1915966024293185,0.052083333333333336,0.0007328639125650438,0.008377306489234898,0.0021750441070754255,1.548384265878079,1.555770252263317,-0.007385986385237908,-0.004770124928290542,0.1366169527582495,0.13728593715705387,-0.000668984398804362,-0.004896789053611572,-0.0073859863852379845
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,aipw,3000,0.0,2,response_bin_2,96,0.25,0.736955685389618,0.6993834617787962,0.7745802957717143,4.1915966024293185,0.052083333333333336,0.0005935082049490006,0.00021207858159694504,0.001986488526597946,0.047510429262450526,0.047833513334392036,-0.00032308407194150957,-0.006800276843569986,0.13299154999736448,0.1339034309587155,-0.0009118809613510304,-0.006856683461235802,-0.000323084071941507
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,aipw,3000,0.0,3,response_bin_3,96,0.25,0.7996804315073249,0.7635825869610499,0.8363049364715684,4.1915966024293185,0.052083333333333336,0.0004944803298962127,0.0001240623000127345,0.0018429367016015023,0.03090553634547327,0.03111954695791827,-0.00021401061244500155,-0.006924669096588731,0.12268435799913967,0.12356081229240351,-0.0008764542932638425,-0.007143977500945864,-0.00021401061244500353
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,aipw,3000,0.0,4,highest_response,96,0.25,0.8646771629753061,0.827048531555926,0.899954176213289,4.1915966024293185,0.052083333333333336,0.0005654829437004575,8.811163506105891e-05,0.001986991247401142,0.022343143654913675,0.022481236667567805,-0.00013809301265413007,-0.006180554302785524,0.14294579810415478,0.14381798576802535,-0.0008721876638705661,-0.006101527120335959,-0.00013809301265412695
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ctmle,3000,0.0,1,lowest_response,96,0.25,0.30312721629174477,0.05,0.7104269943761716,0.48196138346178724,0.0,0.0,0.0,0.0,1.5497708708898983,1.5497708708898983,0.0,0.0,0.1366613123064293,0.1366613123064293,0.0,0.0,0.0
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ctmle,3000,0.0,2,response_bin_2,96,0.25,0.736955685389618,0.6993834617787962,0.7745802957717143,0.48196138346178724,0.0,0.0,0.0,0.0,0.04749573824960665,0.04749573824960665,0.0,0.0,0.1329510954401615,0.1329510954401615,0.0,0.0,0.0
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ctmle,3000,0.0,3,response_bin_3,96,0.25,0.7996804315073249,0.7635825869610499,0.8363049364715684,0.48196138346178724,0.0,0.0,0.0,0.0,0.03090197567769648,0.03090197567769648,0.0,0.0,0.12266979148017955,0.12266979148017955,0.0,0.0,0.0
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ctmle,3000,0.0,4,highest_response,96,0.25,0.8646771629753061,0.827048531555926,0.899954176213289,0.48196138346178724,0.0,0.0,0.0,0.0,0.02233625094101389,0.02233625094101389,0.0,0.0,0.14290274413299678,0.14290274413299678,0.0,0.0,0.0
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,cui_selective_ml,3000,0.0,1,lowest_response,96,0.25,0.30312721629174477,0.05,0.7104269943761716,0.630381425585144,0.21875,0.0024416015454217866,0.027562458794530845,0.007742896407625532,0.8424647219334412,0.8450160954164395,-0.002551373482998276,-0.003028463289409755,0.06910438862627515,0.06918457904189503,-8.019041561987961e-05,-0.001160424355297618,-0.002551373482998276
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,cui_selective_ml,3000,0.0,2,response_bin_2,96,0.25,0.736955685389618,0.6993834617787962,0.7745802957717143,0.630381425585144,0.21875,0.0025859938087754108,0.0009299582617890564,0.0076242029537535875,0.022522906580740035,0.02207262717981902,0.000450279400921013,0.01999206449251356,0.06327224234725616,0.061964141521531346,0.0013081008257248145,0.020674165751003115,0.00045027940092101496
