dataset,setting,design,method,n,strength,reps,ref_mse,selected_mse,c2_mse,selected_gain,selected_gain_ci_low,selected_gain_ci_high,c2_gain,path_activation,c2_activation,selected_harm_rate,c2_harm_rate,mean_rho,sd_rho,mean_rho2,mean_p_rmse,mean_abs_kappa,mean_p_floor_share,mean_selected_tau,ref_weighted_residual_square,selected_weighted_residual_square,weighted_residual_square_reduction,weighted_residual_square_delta,ref_unweighted_residual_square,selected_unweighted_residual_square,unweighted_residual_square_reduction,unweighted_residual_square_delta,mean_rep_weighted_residual_square_reduction,mean_rep_unweighted_residual_square_reduction,replay_selected_gamma_match_failures,replay_selected_tau_match_failures,cui_propensity_learners,significance_class
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,aipw,3000,0.0,96,0.0046879204507257145,0.004724009961883216,0.004724009961883216,-0.007698405196255864,-0.04075051313903588,0.027589072749457134,-0.007698405196255864,0.052083333333333336,0.052083333333333336,0.03125,0.03125,4.1915966024293185,0.30047828996799697,17.6597692802391,0.24222518733331566,0.6625510631597217,0.10932291666666666,0.05000000000000001,1.6491433751409168,1.6572045492231953,-0.004888097786882595,-0.008061174082278466,0.5352386588589084,0.5385681661761982,-0.006220603206031461,-0.0033295073172897593,-0.005019547046059394,-0.005966635523473804,0,0,,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ctmle,3000,0.0,96,0.0011400337706658095,0.0011400337706658095,0.0011400337706658095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48196138346178724,0.015498450218015682,0.23252697710756023,0.24684712191358982,0.31097352384166477,0.0,0.5,1.6505048357582153,1.6505048357582153,0.0,0.0,0.5351849433597672,0.5351849433597672,0.0,0.0,0.0,0.0,0,0,,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,cui_selective_ml,3000,0.0,96,0.001156901809422921,0.0011611011732909056,0.0011611011732909056,-0.0036298360273800956,-0.027301503140305234,0.017344019442245194,-0.0036298360273800956,0.21875,0.21875,0.13541666666666666,0.13541666666666666,0.630381425585144,0.4788047875805997,0.6266347663328616,0.17912438627472063,0.2554299320243118,0.002642361111111111,nan,0.8867613541133902,0.8888165438329633,-0.0023176356412464294,-0.0020551897195730806,0.24185975748240518,0.24026833243086357,0.006579949753143133,0.0015914250515416117,-0.001033607979963128,0.007031055414926158,0,0,gradient_boosting:29;logistic_l1:16;random_forest:51,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=0",acic2016_semisynth,ma_dr_bc,3000,0.0,96,0.007966825088432996,0.007959599059297216,0.007959599059297216,0.0009070149093985957,-0.008236580582795805,0.010539560034266442,0.0009070149093985957,0.052083333333333336,0.052083333333333336,0.010416666666666666,0.010416666666666666,4.1915966024293185,0.30047828996799697,17.6597692802391,0.24222518733331566,0.6625510631597217,0.10932291666666666,0.05000000000000001,1.6491433751409168,1.6572045492231953,-0.004888097786882595,-0.008061174082278466,0.5352386588589084,0.5385681661761982,-0.006220603206031461,-0.0033295073172897593,-0.005019547046059394,-0.005966635523473804,0,0,,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,aipw,3000,3.0,96,0.008370831676548241,0.008214401742624484,0.008214401742624484,0.018687502027070035,-0.0041711725858815715,0.04472204273030283,0.018687502027070035,0.14583333333333334,0.14583333333333334,0.0625,0.0625,4.1448576175828515,0.30624175404469595,17.273628681954968,0.24242835027106932,0.6593295593935996,0.10905902777777778,0.05000000000000001,3.917460275256699,3.910976409963802,0.0016551196023225634,0.0064838652928971285,0.6582664889674082,0.665195329858491,-0.010525890360834955,-0.006928840891082699,0.0016770113699703059,-0.01067067065765275,0,0,,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,ctmle,3000,3.0,96,0.014719192833745808,0.014706319773385953,0.014706319773385953,0.0008745765141646711,-0.0002466215076207756,0.0032720322307785796,0.0008745765141646711,0.020833333333333332,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.4823076855945003,0.013751164031767028,0.23280979809575195,0.2469634736384871,0.3109723841920076,0.0,0.5,3.8813430316411623,3.882328096948717,-0.00025379496208510766,-0.000985065307554489,0.656457678235885,0.6572557136767161,-0.0012156692918510181,-0.0007980354408311241,-0.00025835730602117674,-0.0013231456940302224,0,0,,crosses_zero
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,cui_selective_ml,3000,3.0,96,0.01288183805550961,0.012718523126945838,0.012718523126945838,0.012677921260927705,0.0011483317794418802,0.024375132649180318,0.012677921260927705,0.23958333333333334,0.23958333333333334,0.03125,0.03125,0.6389575754639641,0.28562735235005726,0.48984976765329113,0.17055228946204057,0.2478349631633501,0.0038402777777777775,nan,3.518241955540589,3.477566462684102,0.011561311976406419,0.04067549285648697,0.39598522679235976,0.4040978077083059,-0.020487079736942082,-0.008112580915946133,0.010764275320769325,-0.0224399134897406,0,0,gradient_boosting:46;logistic_l1:12;random_forest:38,win
ACIC 2016,"ACIC 2016 A, strength=3",acic2016_semisynth,ma_dr_bc,3000,3.0,96,0.03431678974700542,0.03416874396550804,0.03416874396550804,0.004314091807212206,-0.002663167209091566,0.012030380211048155,0.004314091807212206,0.14583333333333334,0.14583333333333334,0.041666666666666664,0.041666666666666664,4.1448576175828515,0.30624175404469595,17.273628681954968,0.24242835027106932,0.6593295593935996,0.10905902777777778,0.05000000000000001,3.917460275256699,3.910976409963802,0.0016551196023225634,0.0064838652928971285,0.6582664889674082,0.665195329858491,-0.010525890360834955,-0.006928840891082699,0.0016770113699703059,-0.01067067065765275,0,0,,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,aipw,3000,0.0,96,0.004751397394806656,0.00469775863825417,0.00469775863825417,0.011289048693572612,-0.00546761504783278,0.03442946498469304,0.011289048693572612,0.07291666666666667,0.07291666666666667,0.03125,0.03125,4.0986490025370825,0.35237859315856296,16.923094318914632,0.24116234052187333,0.646820008804085,0.1095451388888889,0.05000000000000001,1.6435845613030466,1.6561701196059098,-0.007657384109817311,-0.01258555830286312,0.5331622758268795,0.5384753701802508,-0.00996524809474053,-0.00531309435337135,-0.008354301213333968,-0.009781003017029161,0,0,,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,ctmle,3000,0.0,96,0.0010416340433206303,0.0010416340433206303,0.0010416340433206303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48115296462188945,0.013746309501415595,0.2316971363893419,0.24731037256775065,0.3115980369188733,0.0,0.5,1.6453397673595198,1.6453397673595198,0.0,0.0,0.5332243783673932,0.5332243783673932,0.0,0.0,0.0,0.0,0,0,,crosses_zero
